Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brennans Sliced Pan White 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250330059,https://digitalcontent.api.tesco.com/v2/media/ghs/eac6018f-787a-45a5-b5a5-5e452924a92f/fc3184a6-c2ae-43d4-99a2-497bb8cdc542.jpeg?h=225&w=225
Tesco Family White Sliced Pan 800G,€0.89,,€1.11/kg,https://www.tesco.ie/groceries/en-IE/products/309773245,https://digitalcontent.api.tesco.com/v2/media/ghs/82b9cbc3-03b2-42c1-a7ca-7049730b6aea/5189acaa-eac4-4ea3-8190-4910aa250095_1086957210.jpeg?h=225&w=225
H.W Nevills 8 Plain Tortilla Wraps,€1.19,,€0.15/each,https://www.tesco.ie/groceries/en-IE/products/304416929,https://digitalcontent.api.tesco.com/v2/media/ghs/4f58f628-0950-40fe-97e8-04edce7087c2/1022880d-76a2-4a86-a35e-88734ea33f4c_366174797.jpeg?h=225&w=225
Fitzgerald 5 Plain Bagels 425G,€2.20,,€5.18/kg,https://www.tesco.ie/groceries/en-IE/products/268947327,https://digitalcontent.api.tesco.com/v2/media/ghs/febb2c89-1f88-40bc-a6b6-20b104ac7d63/snapshotimagehandler_1931833223.jpeg?h=225&w=225
Mccambridges Stoneground Wheat 500G,€2.19,,€4.38/kg,https://www.tesco.ie/groceries/en-IE/products/250834834,https://digitalcontent.api.tesco.com/v2/media/ghs/7cb97931-3f80-4241-b038-102da47c085b/8d670a53-7b84-4a68-9a54-5882f537ed59_1749191481.jpeg?h=225&w=225
Brennans Wholegrain Sliced Bread 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250847744,https://digitalcontent.api.tesco.com/v2/media/ghs/70fb106b-1640-4433-81ce-ce8abaf80ee8/snapshotimagehandler_281560321.jpeg?h=225&w=225
Tesco Brown Soda Bread Square 500G,€0.89,,€1.78/kg,https://www.tesco.ie/groceries/en-IE/products/303544117,https://digitalcontent.api.tesco.com/v2/media/ghs/e20c0842-9e2a-4a04-969c-20245983feb8/snapshotimagehandler_1894733677.jpeg?h=225&w=225
Brennans Be Good Wholemeal Bread 600G,€2.03,,€3.38/kg,https://www.tesco.ie/groceries/en-IE/products/283506637,https://digitalcontent.api.tesco.com/v2/media/ghs/17ff2219-e9b9-4ea5-992d-c36c9e2623ec/9f5d3b45-8503-4d83-b6cf-165b760145fe.jpeg?h=225&w=225
Tesco Plain Burger Bun 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/301324979,https://digitalcontent.api.tesco.com/v2/media/ghs/27d135f9-e0fc-41f2-bea1-dc999cef1a88/snapshotimagehandler_1098459098.jpeg?h=225&w=225
H.W. Nevill's Part Baked Baguette 2 Pack,€0.99,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/299668276,https://digitalcontent.api.tesco.com/v2/media/ghs/1583b123-ead8-49d0-b43c-e21b30a141c8/15b9d98d-a021-4f15-b9dc-5a37cf648589.jpeg?h=225&w=225
Tesco Seeded Burger Bun 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/301325000,https://digitalcontent.api.tesco.com/v2/media/ghs/30586711-928a-4415-b6a1-e82d78c22b45/snapshotimagehandler_1455732549.jpeg?h=225&w=225
