Title,Price,Promotional Price,Price Per,Product URL,Image URL
Mccambridges Stoneground Wheat 500G,€2.19,,€4.38/kg,https://www.tesco.ie/groceries/en-IE/products/250834834,https://digitalcontent.api.tesco.com/v2/media/ghs/7cb97931-3f80-4241-b038-102da47c085b/8d670a53-7b84-4a68-9a54-5882f537ed59_1749191481.jpeg?h=225&w=225
Tesco Brown Soda Bread Square 500G,€0.89,,€1.78/kg,https://www.tesco.ie/groceries/en-IE/products/303544117,https://digitalcontent.api.tesco.com/v2/media/ghs/e20c0842-9e2a-4a04-969c-20245983feb8/snapshotimagehandler_1894733677.jpeg?h=225&w=225
Tesco Family Brown Sliced Pan 800G,€0.99,,€1.24/kg,https://www.tesco.ie/groceries/en-IE/products/309746589,https://digitalcontent.api.tesco.com/v2/media/ghs/8e04e433-6ce4-47f4-8aac-b3f81c5808fa/53b45e13-5fd5-4ea0-8556-e408209b846b_1364703110.jpeg?h=225&w=225
Tesco Everyday Value Brown Soda Round 454G,€0.75,,€1.65/kg,https://www.tesco.ie/groceries/en-IE/products/273423082,https://digitalcontent.api.tesco.com/v2/media/ghs/c7649683-fdc9-4f47-b934-6da639558d8e/snapshotimagehandler_415853586.jpeg?h=225&w=225
Tesco Farmhouse Wheaten 500G,€1.80,,€3.60/kg,https://www.tesco.ie/groceries/en-IE/products/297396358,https://digitalcontent.api.tesco.com/v2/media/ghs/0661c829-cd90-43c8-95ee-b21a5a965d94/8097580c-e0dc-4559-ba05-34d40ecbe15e.jpeg?h=225&w=225
Mccambridge Brown Soda 500G,€2.85,,€5.70/kg,https://www.tesco.ie/groceries/en-IE/products/291724453,https://digitalcontent.api.tesco.com/v2/media/ghs/1da0df80-4709-43c3-8502-3b215990a0a1/snapshotimagehandler_2071020302.jpeg?h=225&w=225
Gallaghers Sourdough Wholemeal Loaf 720G,€3.19,,€4.43/kg,https://www.tesco.ie/groceries/en-IE/products/308090167,https://digitalcontent.api.tesco.com/v2/media/ghs/3df6282a-1e4c-4ffb-8939-76b9f933c3cf/a263679d-eeab-43dd-8556-cbd39291d4ac_925962661.jpeg?h=225&w=225
Brennan Vitamin D Wholemeal 800G,€2.49,,€3.11/kg,https://www.tesco.ie/groceries/en-IE/products/292543141,https://digitalcontent.api.tesco.com/v2/media/ghs/42e50c1a-13a2-4a64-a276-afb742292b4e/e65e6800-f40c-4628-94d6-a16e330d9895.jpeg?h=225&w=225
Gallaghers Sourdough Wholemeal Loaf 400G,€2.39,,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/308114763,https://digitalcontent.api.tesco.com/v2/media/ghs/f3a894b7-ec9a-47d2-a298-c0282b32831b/484d794d-4c0b-46c8-b9d5-ac7661b7701d_1777979405.jpeg?h=225&w=225
Mccambridge Brown Soda 720G,€3.15,,€4.38/kg,https://www.tesco.ie/groceries/en-IE/products/291724810,https://digitalcontent.api.tesco.com/v2/media/ghs/13cadbda-9e1e-4921-9b1e-9faafc24b01b/snapshotimagehandler_22546970.jpeg?h=225&w=225
Mccloskeys Cottage Brown Bread Sliced720g,€3.85,,€5.35/kg,https://www.tesco.ie/groceries/en-IE/products/262267225,https://digitalcontent.api.tesco.com/v2/media/ghs/e67f726f-3778-484a-87b7-cae55d32cf24/1f964a39-0b0f-4a3a-8be2-fb7841411505_921673472.jpeg?h=225&w=225
Brennans Be Good Wholemeal Sandwich 160G,€1.30,€1.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/288826803,https://digitalcontent.api.tesco.com/v2/media/ghs/627c755b-3f4b-4c50-90f8-89e55de0cc43/7a3c336d-dbe5-4348-aa20-576318eae5d0.jpeg?h=225&w=225
Brennans Bakehouse Chia Wholegrain 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/310115235,https://digitalcontent.api.tesco.com/v2/media/ghs/9363506c-4a0d-4e9e-b3d7-cea6c2c06cda/69bd3d1a-6b9a-4eff-8512-84397f77b991_264506600.jpeg?h=225&w=225
Brennans Malted Bloomer 800G,€2.25,,€2.81/kg,https://www.tesco.ie/groceries/en-IE/products/302782118,https://digitalcontent.api.tesco.com/v2/media/ghs/1385d84e-e115-4f94-b369-73aee60e4e63/snapshotimagehandler_926345984.jpeg?h=225&w=225
Brennans Be Good Mini Wholemeal Bread 450G,€1.80,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/311689544,https://digitalcontent.api.tesco.com/v2/media/ghs/9e40dabc-787f-4700-b41e-05ed08ce8ad3/a5cb2b56-7cf7-4cb5-8531-8c7e57788857_1316974921.jpeg?h=225&w=225
Brennans Be Good Sesame L/Sd Sandwich 160G,€1.30,€1.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/288826890,https://digitalcontent.api.tesco.com/v2/media/ghs/82ffb67f-3398-485b-bb7e-9a127c1160ac/b24028cb-8388-428e-be75-eba4e5e575b2.jpeg?h=225&w=225
Brennans Bakehouse Multi Seed 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/310099748,https://digitalcontent.api.tesco.com/v2/media/ghs/a46f2687-e0b0-41c3-bd5c-ad6401de18b6/72fb6c39-6b64-48ac-8302-fc58c6838731_234820848.jpeg?h=225&w=225
Irish Pride Wholemeal Sandwich,€2.39,€1.80 Clubcard Price,€2.99/kg,https://www.tesco.ie/groceries/en-IE/products/250848864,https://digitalcontent.api.tesco.com/v2/media/ghs/53220c7c-c48d-4b6d-a07c-d45019dae2e0/snapshotimagehandler_83412634.jpeg?h=225&w=225
Hovis Wholemeal Medium Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/255000362,https://digitalcontent.api.tesco.com/v2/media/ghs/b3467836-07c3-4f91-829c-8a6378e7b8b3/3e0d3d72-3954-4544-9a6e-629c5c07256a.jpeg?h=225&w=225
Mccambridge Brown Soda 320G,€2.15,,€5.97/kg,https://www.tesco.ie/groceries/en-IE/products/291724787,https://digitalcontent.api.tesco.com/v2/media/ghs/f712f67a-e828-4c7f-b7fa-1ba427c468bb/snapshotimagehandler_1001392425.jpeg?h=225&w=225
Brennans Half Multigrain 400G,€1.79,,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/266588599,https://digitalcontent.api.tesco.com/v2/media/ghs/7852b6d5-3dee-4ad2-9ba3-d438f768c302/snapshotimagehandler_1115824188.jpeg?h=225&w=225
Mccambridge Spelt Bread 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/283488997,https://digitalcontent.api.tesco.com/v2/media/ghs/1cfdd575-a18a-4143-b5ab-b73236cdc44c/8ea26561-c4c0-49ca-bb82-3335bca4d769_219513328.jpeg?h=225&w=225
Mccambridge Multi Seed Bread 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/283489092,https://digitalcontent.api.tesco.com/v2/media/ghs/17aab89a-37ac-4c22-b7d1-938d41e83c4f/a3aeda45-1aaa-4e15-bf31-546287b17a13_1787025141.jpeg?h=225&w=225
Brennans Bakehouse Seeded Multigrain 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/310115189,https://digitalcontent.api.tesco.com/v2/media/ghs/bd833da3-9050-4d79-947c-e3e5cec74b33/a12080eb-230d-472b-8bbc-a02d249df386_154011465.jpeg?h=225&w=225
Brennan's Brown Malted Bloomer 400G,€1.65,,€4.12/kg,https://www.tesco.ie/groceries/en-IE/products/309885815,https://digitalcontent.api.tesco.com/v2/media/ghs/a95ed05a-56fa-488f-a287-f82b92715d26/f4692799-a19f-484c-b630-5ab29ae1ddeb.jpeg?h=225&w=225
Mccambridge Round Soda 570G,€2.85,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/291724879,https://digitalcontent.api.tesco.com/v2/media/ghs/cdbd30f8-a283-4e82-93fe-af5e2ca4d643/snapshotimagehandler_1776497366.jpeg?h=225&w=225
Brennans Half Hi Fibre Batch 400G,€1.65,,€4.12/kg,https://www.tesco.ie/groceries/en-IE/products/305496631,https://digitalcontent.api.tesco.com/v2/media/ghs/a6b5cf8d-8cf9-4a3f-9756-3c9201ba52ba/snapshotimagehandler_157508800.jpeg?h=225&w=225
Brennans Bakehouse M/Seed Wholegrain 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/311805926,https://digitalcontent.api.tesco.com/v2/media/ghs/2c21418e-d92b-41c9-aa73-0c2fa810c199/15513fcf-b305-4557-9de6-22666b633ba1_772772048.jpeg?h=225&w=225
Stapletons Brown Sourdough Loaf 600G,€2.15,,€3.58/kg,https://www.tesco.ie/groceries/en-IE/products/302687836,https://digitalcontent.api.tesco.com/v2/media/ghs/e03ac333-4662-4002-9eb5-b2ca5b011b0b/snapshotimagehandler_143014723.jpeg?h=225&w=225
Irish Pride Vitamin D Wholemeal 800G,€2.59,,€3.24/kg,https://www.tesco.ie/groceries/en-IE/products/250848639,https://digitalcontent.api.tesco.com/v2/media/ghs/60e3e15c-7cf1-448a-b916-22bb382acdd8/snapshotimagehandler_650861326.jpeg?h=225&w=225
Brennans Bakehouse Seeded Soda 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/311795700,https://digitalcontent.api.tesco.com/v2/media/ghs/de899bd4-623b-4240-9884-420b070ca974/b93dde76-7527-4aba-81d8-105fc772f678_1295287667.jpeg?h=225&w=225
