Title,Price,Promotional Price,Price Per,Product URL,Image URL
Jmob Toastie White 800G,€1.99,€1.69 Clubcard Price,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250795418,https://digitalcontent.api.tesco.com/v2/media/ghs/4716b3d7-2b07-4028-9cda-b30e71ea84b3/snapshotimagehandler_212964146.jpeg?h=225&w=225
Hovis Granary Original Medium Sliced Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/256403483,https://digitalcontent.api.tesco.com/v2/media/ghs/eecda3c8-0e98-4621-bca2-df34a8f2174e/d04c53f3-36ab-4c56-9415-c99feb83453f.jpeg?h=225&w=225
Hovis Original 7 Seeds Bread 800G,€2.45,€1.75 Clubcard Price,€3.06/kg,https://www.tesco.ie/groceries/en-IE/products/274811214,https://digitalcontent.api.tesco.com/v2/media/ghs/95b26a9e-0987-4b7c-9d95-53c88d2e6c1d/5932d3ac-ca52-43a8-ab56-1b6db7f5a0ef.jpeg?h=225&w=225
Fitzgeralds 6 M/Seed And Cereal Bagel Slims 273G,€2.29,€1.75 Clubcard Price,€8.39/kg,https://www.tesco.ie/groceries/en-IE/products/280172540,https://digitalcontent.api.tesco.com/v2/media/ghs/1167765e-e6d1-41ce-b4c6-43ebe4038f6a/snapshotimagehandler_1481405673.jpeg?h=225&w=225
Fitzgeralds 6 Plain Bagel Slims 288G,€2.24,€1.75 Clubcard Price,€7.78/kg,https://www.tesco.ie/groceries/en-IE/products/278006919,https://digitalcontent.api.tesco.com/v2/media/ghs/51f668bd-7106-4f2b-998c-b08dff56093e/snapshotimagehandler_227880984.jpeg?h=225&w=225
Fitzgeralds 6 Wholemeal Bagel Slims 263G,€2.24,€1.75 Clubcard Price,€8.52/kg,https://www.tesco.ie/groceries/en-IE/products/278020274,https://digitalcontent.api.tesco.com/v2/media/ghs/a2ccf02f-93d4-40b0-81cc-5a3f6e6859a0/snapshotimagehandler_35596949.jpeg?h=225&w=225
Brennans Be Good White 600G,€2.03,€1.60 Clubcard Price,€3.38/kg,https://www.tesco.ie/groceries/en-IE/products/287208212,https://digitalcontent.api.tesco.com/v2/media/ghs/7acb652a-592b-4ef5-b7c7-c93afd21f6a9/b9da914b-e34c-44d3-bc2b-f41c39efed26.jpeg?h=225&w=225
Pat The Baker Sliced Pan White 800G,€1.99,€1.75 Clubcard Price,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250837451,https://digitalcontent.api.tesco.com/v2/media/ghs/7bc42d68-c31d-4a3b-8fea-899c4b8a420c/de821fa1-2154-40df-b8f9-7d7a6a1f5faa_773610246.jpeg?h=225&w=225
Hovis Granary Thick Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/250871708,https://digitalcontent.api.tesco.com/v2/media/ghs/c65c3843-07d9-4ed1-b276-6ef8997a2c89/e9d11ab6-47d5-42dd-9bd7-933527aa8bcb.jpeg?h=225&w=225
Brennans Be Good Low Calorie Wholegrain 600G,€2.05,€1.60 Clubcard Price,€3.42/kg,https://www.tesco.ie/groceries/en-IE/products/292923285,https://digitalcontent.api.tesco.com/v2/media/ghs/00591dab-da28-48be-bc08-5ac33122fdf7/b7350f99-303d-47d9-bf12-588999cda004.jpeg?h=225&w=225
Tesco Ciabatta 4 Pack,€2.65,€1.50 Clubcard Price,€0.66/each,https://www.tesco.ie/groceries/en-IE/products/312703452,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Brennans Be Good Wholemeal Sandwich 160G,€1.30,€1.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/288826803,https://digitalcontent.api.tesco.com/v2/media/ghs/627c755b-3f4b-4c50-90f8-89e55de0cc43/7a3c336d-dbe5-4348-aa20-576318eae5d0.jpeg?h=225&w=225
Hovis Granary Wholemeal Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/254944133,https://digitalcontent.api.tesco.com/v2/media/ghs/7f51e02b-597e-48fa-8bec-20e6a9be3dd1/dc7eb7a6-4b4b-4775-a157-71175dd74a80.jpeg?h=225&w=225
Brennans Be Good Sesame L/Sd Sandwich 160G,€1.30,€1.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/288826890,https://digitalcontent.api.tesco.com/v2/media/ghs/82ffb67f-3398-485b-bb7e-9a127c1160ac/b24028cb-8388-428e-be75-eba4e5e575b2.jpeg?h=225&w=225
Irish Pride Wholemeal Sandwich,€2.39,€1.80 Clubcard Price,€2.99/kg,https://www.tesco.ie/groceries/en-IE/products/250848864,https://digitalcontent.api.tesco.com/v2/media/ghs/53220c7c-c48d-4b6d-a07c-d45019dae2e0/snapshotimagehandler_83412634.jpeg?h=225&w=225
Irish Pride Big Toast White 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/297793118,https://digitalcontent.api.tesco.com/v2/media/ghs/6040afb6-eddc-4f58-a08a-eb7a619043fc/snapshotimagehandler_1714190404.jpeg?h=225&w=225
Irish Pride Sandwich Half Pan 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/256210618,https://digitalcontent.api.tesco.com/v2/media/ghs/e8c2c937-2810-4c87-ac77-42104ef08038/snapshotimagehandler_1565262577.jpeg?h=225&w=225
Hovis Wholemeal Medium Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/255000362,https://digitalcontent.api.tesco.com/v2/media/ghs/b3467836-07c3-4f91-829c-8a6378e7b8b3/3e0d3d72-3954-4544-9a6e-629c5c07256a.jpeg?h=225&w=225
Irish Pride Healthy Grain Half Pan 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/261431401,https://digitalcontent.api.tesco.com/v2/media/ghs/baf99898-fa18-4201-b93a-9f3d5725ff8e/snapshotimagehandler_247655422.jpeg?h=225&w=225
Irish Pride Brown 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/256210405,https://digitalcontent.api.tesco.com/v2/media/ghs/70832fd8-867a-4d6a-97f5-a4666d5ad573/snapshotimagehandler_1876154226.jpeg?h=225&w=225
