Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brennans Wholegrain Sliced Bread 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250847744,https://digitalcontent.api.tesco.com/v2/media/ghs/70fb106b-1640-4433-81ce-ce8abaf80ee8/snapshotimagehandler_281560321.jpeg?h=225&w=225
Hovis Granary Original Medium Sliced Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/256403483,https://digitalcontent.api.tesco.com/v2/media/ghs/eecda3c8-0e98-4621-bca2-df34a8f2174e/d04c53f3-36ab-4c56-9415-c99feb83453f.jpeg?h=225&w=225
Hovis Original 7 Seeds Bread 800G,€2.45,€1.75 Clubcard Price,€3.06/kg,https://www.tesco.ie/groceries/en-IE/products/274811214,https://digitalcontent.api.tesco.com/v2/media/ghs/95b26a9e-0987-4b7c-9d95-53c88d2e6c1d/5932d3ac-ca52-43a8-ab56-1b6db7f5a0ef.jpeg?h=225&w=225
Stafford's Bkry Chia Seed And Wholegrain Bread 400G,€2.99,,€7.48/kg,https://www.tesco.ie/groceries/en-IE/products/277733221,https://digitalcontent.api.tesco.com/v2/media/ghs/bf48b968-860e-4292-8f25-6869368a23c9/snapshotimagehandler_848399533.jpeg?h=225&w=225
Brennan's Chia Wholegrain 800G,€2.50,,€3.12/kg,https://www.tesco.ie/groceries/en-IE/products/275113486,https://digitalcontent.api.tesco.com/v2/media/ghs/fd0a4846-b777-4a82-a6fd-bc532e960f10/snapshotimagehandler_1231332396.jpeg?h=225&w=225
Tesco Family Large Seeded Burger Bun 480G,€1.05,,€2.19/kg,https://www.tesco.ie/groceries/en-IE/products/268849357,https://digitalcontent.api.tesco.com/v2/media/ghs/2ffe8d1f-db93-4913-a95d-53265932c1ed/snapshotimagehandler_1673857894.jpeg?h=225&w=225
Hovis Granary Thick Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/250871708,https://digitalcontent.api.tesco.com/v2/media/ghs/c65c3843-07d9-4ed1-b276-6ef8997a2c89/e9d11ab6-47d5-42dd-9bd7-933527aa8bcb.jpeg?h=225&w=225
Tesco Wholegrain Sourdough 600G,€1.89,,€3.15/kg,https://www.tesco.ie/groceries/en-IE/products/301202192,https://digitalcontent.api.tesco.com/v2/media/ghs/2d38bdfe-76b5-44e5-bbcf-15fa1d229fb7/snapshotimagehandler_2072278404.jpeg?h=225&w=225
Gallaghers Sourdough Multigrain 400G,€2.39,,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/308117535,https://digitalcontent.api.tesco.com/v2/media/ghs/ef210c9a-5808-4354-acbc-e3a0d57dd0e2/76a2eb5d-b985-4eea-af22-5b90877dbc4b_1509093254.jpeg?h=225&w=225
Hovis Granary Wholemeal Bread 800G,€2.20,€1.75 Clubcard Price,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/254944133,https://digitalcontent.api.tesco.com/v2/media/ghs/7f51e02b-597e-48fa-8bec-20e6a9be3dd1/dc7eb7a6-4b4b-4775-a157-71175dd74a80.jpeg?h=225&w=225
Pat The Baker Wholegrain 800G,€2.39,,€2.99/kg,https://www.tesco.ie/groceries/en-IE/products/278452954,https://digitalcontent.api.tesco.com/v2/media/ghs/8d10148d-b619-4d61-aaf0-3a827719b122/snapshotimagehandler_687399356.jpeg?h=225&w=225
Irish Pride Healthy Grain 800G,€2.39,,€2.99/kg,https://www.tesco.ie/groceries/en-IE/products/253073978,https://digitalcontent.api.tesco.com/v2/media/ghs/d95d338e-7227-4a0c-83c9-67fd387a134d/snapshotimagehandler_1900389424.jpeg?h=225&w=225
Brennans Bakehouse Chia Wholegrain 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/310115235,https://digitalcontent.api.tesco.com/v2/media/ghs/9363506c-4a0d-4e9e-b3d7-cea6c2c06cda/69bd3d1a-6b9a-4eff-8512-84397f77b991_264506600.jpeg?h=225&w=225
Brennans Bakehouse Multi Seed 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/310099748,https://digitalcontent.api.tesco.com/v2/media/ghs/a46f2687-e0b0-41c3-bd5c-ad6401de18b6/72fb6c39-6b64-48ac-8302-fc58c6838731_234820848.jpeg?h=225&w=225
Brennans Wholegrain With Vitamin D 800G,€2.40,,€3.00/kg,https://www.tesco.ie/groceries/en-IE/products/288044910,https://digitalcontent.api.tesco.com/v2/media/ghs/cdfa87cb-d10f-4fa8-a0be-db1e15fb5c47/888d0ced-aef6-49cc-91b9-046cb7452f97.jpeg?h=225&w=225
Brennans Bakehouse Seeded Multigrain 500G,€2.75,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/310115189,https://digitalcontent.api.tesco.com/v2/media/ghs/bd833da3-9050-4d79-947c-e3e5cec74b33/a12080eb-230d-472b-8bbc-a02d249df386_154011465.jpeg?h=225&w=225
Tesco Finest Super Grained Loaf,€2.15,,€2.15/each,https://www.tesco.ie/groceries/en-IE/products/303869999,https://digitalcontent.api.tesco.com/v2/media/ghs/6184e74b-e2b1-46c1-85d1-db2a02f9d74a/snapshotimagehandler_1781614763.jpeg?h=225&w=225
Country Mill Granary Bread 550G,€3.25,,€5.91/kg,https://www.tesco.ie/groceries/en-IE/products/261266441,https://digitalcontent.api.tesco.com/v2/media/ghs/5918f9a4-f8c8-4a66-8f63-668257e1e16f/fdb5c9d3-0a1c-4d42-87cb-78cd2731e01a_677937752.jpeg?h=225&w=225
