Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brennans Half Pan Premium White 400G,€1.60,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/255175943,https://digitalcontent.api.tesco.com/v2/media/ghs/b96407af-e68d-486f-91fe-b90745a55559/3be389f4-2567-4e7b-83f7-df07e2fcf9cf.jpeg?h=225&w=225
Brennans Half Pan Wholemeal Bread 400G,€1.60,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/256209022,https://digitalcontent.api.tesco.com/v2/media/ghs/862de39b-5b7a-47f3-bede-db915d04a8b6/fcc0af15-3e55-48a0-a259-5ae925e7333e.jpeg?h=225&w=225
Brennans Sliced Batch Loaf 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250840008,https://digitalcontent.api.tesco.com/v2/media/ghs/727b191a-1c94-4118-b036-db761b974eee/snapshotimagehandler_868126679.jpeg?h=225&w=225
Brennans Half Pan Whole Grain Bread 400G,€1.60,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/256210181,https://digitalcontent.api.tesco.com/v2/media/ghs/5478e1bd-12d9-41ff-9c45-2b0c078e8042/3192a1b3-930d-42c5-9fa2-90bf7c0a1d10.jpeg?h=225&w=225
Brennans Hi Fibre Batch 800G,€2.50,,€3.12/kg,https://www.tesco.ie/groceries/en-IE/products/250838283,https://digitalcontent.api.tesco.com/v2/media/ghs/b7f57aec-90f4-4104-ac4a-4d21fed856d0/snapshotimagehandler_1956414351.jpeg?h=225&w=225
Johnston Mooney And Obrien Handy Toast 400G,€1.65,,€4.12/kg,https://www.tesco.ie/groceries/en-IE/products/262644810,https://digitalcontent.api.tesco.com/v2/media/ghs/e6ad4495-3076-4516-8979-2b8ae6505796/snapshotimagehandler_1888134594.jpeg?h=225&w=225
Irish Pride Big Toast White 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/297793118,https://digitalcontent.api.tesco.com/v2/media/ghs/6040afb6-eddc-4f58-a08a-eb7a619043fc/snapshotimagehandler_1714190404.jpeg?h=225&w=225
Irish Pride Sandwich Half Pan 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/256210618,https://digitalcontent.api.tesco.com/v2/media/ghs/e8c2c937-2810-4c87-ac77-42104ef08038/snapshotimagehandler_1565262577.jpeg?h=225&w=225
Irish Pride Healthy Grain Half Pan 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/261431401,https://digitalcontent.api.tesco.com/v2/media/ghs/baf99898-fa18-4201-b93a-9f3d5725ff8e/snapshotimagehandler_247655422.jpeg?h=225&w=225
Stafford's Bkry Spelt And Honey Pan 395G,€2.99,,€7.87/kg,https://www.tesco.ie/groceries/en-IE/products/273027793,https://digitalcontent.api.tesco.com/v2/media/ghs/48e84800-9263-47f4-8467-6fa0c07150e1/snapshotimagehandler_929516963.jpeg?h=225&w=225
Brennans Half Multigrain 400G,€1.79,,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/266588599,https://digitalcontent.api.tesco.com/v2/media/ghs/7852b6d5-3dee-4ad2-9ba3-d438f768c302/snapshotimagehandler_1115824188.jpeg?h=225&w=225
Pats Sliced White Half Pan 400G,€1.79,,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/250837318,https://digitalcontent.api.tesco.com/v2/media/ghs/a5db6ed8-f3ee-49bc-8a89-25110121311a/snapshotimagehandler_870984102.jpeg?h=225&w=225
Tesco Finest Oatmeal And Linseed 400G,€1.99,,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/282773413,https://digitalcontent.api.tesco.com/v2/media/ghs/6a467d98-0a1d-4a9e-bacc-baea0ed45ca1/8b71ac80-15e4-47d8-a88f-0637777bc337_537428317.jpeg?h=225&w=225
Pat The Baker 100% Wholemeal 400G,€1.79,,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/259083423,https://digitalcontent.api.tesco.com/v2/media/ghs/3d507773-179d-4241-9093-1a0d0d0e4577/snapshotimagehandler_1137736333.jpeg?h=225&w=225
Brennan's Half Brown And White 400G,€1.60,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/275113388,https://digitalcontent.api.tesco.com/v2/media/ghs/9cf15626-a451-4638-a1aa-9e3fd764177c/snapshotimagehandler_2020585832.jpeg?h=225&w=225
Mccloskeys Half Cottage Brown 300G,€2.25,,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/266826831,https://digitalcontent.api.tesco.com/v2/media/ghs/7f7bd1eb-3d54-4ec2-969a-029b93bde6e9/9d16d530-6357-4f7b-b591-dec95e797de2_1553523075.jpeg?h=225&w=225
Tesco Premium Glorious Grain 400G,€1.24,,€3.10/kg,https://www.tesco.ie/groceries/en-IE/products/277588283,https://digitalcontent.api.tesco.com/v2/media/ghs/d0663b65-2e22-484a-8195-0f558d511554/snapshotimagehandler_161824263.jpeg?h=225&w=225
Irish Pride Brown 400G,€1.79,€1.20 Clubcard Price,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/256210405,https://digitalcontent.api.tesco.com/v2/media/ghs/70832fd8-867a-4d6a-97f5-a4666d5ad573/snapshotimagehandler_1876154226.jpeg?h=225&w=225
Staffords Bakery Scotch Batch 380G,€1.79,,€4.71/kg,https://www.tesco.ie/groceries/en-IE/products/255711131,https://digitalcontent.api.tesco.com/v2/media/ghs/867b14f5-32a5-43f8-9dbf-b3f611ed3bc0/snapshotimagehandler_511455448.jpeg?h=225&w=225
Pat Half Wholegrain,€1.79,,€4.48/kg,https://www.tesco.ie/groceries/en-IE/products/277032941,https://digitalcontent.api.tesco.com/v2/media/ghs/1b02599a-4f9e-49be-b7b7-ec38fb5547c1/snapshotimagehandler_751886181.jpeg?h=225&w=225
