Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brennans Sliced Pan White 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250330059,https://digitalcontent.api.tesco.com/v2/media/ghs/eac6018f-787a-45a5-b5a5-5e452924a92f/fc3184a6-c2ae-43d4-99a2-497bb8cdc542.jpeg?h=225&w=225
Tesco Family White Sliced Pan 800G,€0.89,,€1.11/kg,https://www.tesco.ie/groceries/en-IE/products/309773245,https://digitalcontent.api.tesco.com/v2/media/ghs/82b9cbc3-03b2-42c1-a7ca-7049730b6aea/5189acaa-eac4-4ea3-8190-4910aa250095_1086957210.jpeg?h=225&w=225
Tesco Plain Burger Bun 6 Pack,€0.99,,€0.16/each,https://www.tesco.ie/groceries/en-IE/products/301324979,https://digitalcontent.api.tesco.com/v2/media/ghs/27d135f9-e0fc-41f2-bea1-dc999cef1a88/snapshotimagehandler_1098459098.jpeg?h=225&w=225
Jmob Toastie White 800G,€1.99,€1.69 Clubcard Price,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250795418,https://digitalcontent.api.tesco.com/v2/media/ghs/4716b3d7-2b07-4028-9cda-b30e71ea84b3/snapshotimagehandler_212964146.jpeg?h=225&w=225
Tesco Toaster White Thick Sliced 800G,€1.09,,€1.36/kg,https://www.tesco.ie/groceries/en-IE/products/309764249,https://digitalcontent.api.tesco.com/v2/media/ghs/3abc636e-5809-4b12-8ef2-6dd3aac827e4/cb2af495-e9c7-4f05-b3f9-7ba7bb791548_535933934.jpeg?h=225&w=225
Irish Pride Sandwich Pan White 800G,€1.99,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250800391,https://digitalcontent.api.tesco.com/v2/media/ghs/7395b234-b369-4f98-8b85-1920933595aa/snapshotimagehandler_2095551844.jpeg?h=225&w=225
Tesco Sourdough Loaf 600G,€1.29,,€2.15/kg,https://www.tesco.ie/groceries/en-IE/products/293332907,https://digitalcontent.api.tesco.com/v2/media/ghs/514bf458-0edf-4ee8-9c50-e16dde3230c4/snapshotimagehandler_195766128.jpeg?h=225&w=225
Jmob Doorstep White Bread 800G,€2.09,,€2.61/kg,https://www.tesco.ie/groceries/en-IE/products/252688698,https://digitalcontent.api.tesco.com/v2/media/ghs/f40b3c26-8229-409e-9b76-56c9c66332cd/snapshotimagehandler_1327924018.jpeg?h=225&w=225
Irish Pride Big Toast White Sl. 800G,€2.19,,€2.74/kg,https://www.tesco.ie/groceries/en-IE/products/250798749,https://digitalcontent.api.tesco.com/v2/media/ghs/2646728d-e5d6-484b-8c70-da53633c6941/snapshotimagehandler_1042782488.jpeg?h=225&w=225
Pat The Baker Sliced Pan White 800G,€1.99,€1.75 Clubcard Price,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/250837451,https://digitalcontent.api.tesco.com/v2/media/ghs/7bc42d68-c31d-4a3b-8fea-899c4b8a420c/de821fa1-2154-40df-b8f9-7d7a6a1f5faa_773610246.jpeg?h=225&w=225
Tesco Signature Large Loaf,€3.00,,€3.00/each,https://www.tesco.ie/groceries/en-IE/products/310142980,https://digitalcontent.api.tesco.com/v2/media/ghs/19dfb756-0be3-41c5-b036-548e6fe2ac07/bad31f5d-499c-4f95-a90d-75e26d420d01_635278800.jpeg?h=225&w=225
