Title,Price,Promotional Price,Price Per,Product URL,Image URL
Scotts Double Chocolate Mini Muffins 290G,€1.35,,€4.66/kg,https://www.tesco.ie/groceries/en-IE/products/310844489,https://digitalcontent.api.tesco.com/v2/media/ghs/a5c9a9e6-464c-4895-bc8e-eaad97833e4f/1ec31679-5a7d-4154-8403-ed7296dfff78_1799926084.jpeg?h=225&w=225
Cadbury Chocolate Mini Roll 10 Pack,€5.95,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/295848830,https://digitalcontent.api.tesco.com/v2/media/ghs/f267b3b5-5c63-4855-95aa-5b2dd11d4292/84a72625-f79e-4423-ac68-6e7137a585f4_1381635453.jpeg?h=225&w=225
Scotts Chocolate Chip Mini Muffins 290G,€1.35,,€4.66/kg,https://www.tesco.ie/groceries/en-IE/products/311211217,https://digitalcontent.api.tesco.com/v2/media/ghs/7086da9e-04ba-40fa-8325-5d2112f6b87a/fc9c2c73-7833-4873-8ecd-2f8875e91ecf_1319389166.jpeg?h=225&w=225
Tesco Bramley Apple Pies 6 Pack,€1.50,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/257313927,https://digitalcontent.api.tesco.com/v2/media/ghs/723f151c-d313-4907-a3b7-9f16d5199597/5aec4b8b-f9ec-4c12-bd2b-bca1729920e7.jpeg?h=225&w=225
Tesco Maderia Cake 275G,€2.00,,€7.27/kg,https://www.tesco.ie/groceries/en-IE/products/291913713,https://digitalcontent.api.tesco.com/v2/media/ghs/67f87c40-4a9f-4c2b-bb5a-f05e914cc83e/30b83003-1d73-4a55-bb97-4d11a73d79c5_401797828.jpeg?h=225&w=225
Tesco Finest Bramley Apple Tart 800G,€5.35,,€6.69/kg,https://www.tesco.ie/groceries/en-IE/products/298413666,https://digitalcontent.api.tesco.com/v2/media/ghs/54cf884f-acd1-4d14-869c-38b4a49528a9/snapshotimagehandler_658681687.jpeg?h=225&w=225
Tesco Maderia Queens 280G,€1.86,,€6.64/kg,https://www.tesco.ie/groceries/en-IE/products/291913870,https://digitalcontent.api.tesco.com/v2/media/ghs/93b7f841-f18b-4112-a4ca-9a31fed4b744/fefce1e9-ad12-45c2-b1be-b3112b5c7326_743464992.jpeg?h=225&w=225
Matte Reilly Cakes 7 Almond Fingers 325G,€1.99,,€6.12/kg,https://www.tesco.ie/groceries/en-IE/products/309486798,https://digitalcontent.api.tesco.com/v2/media/ghs/f3de44d8-a091-4bf8-ad94-e472ce31ff70/snapshotimagehandler_596314849.jpeg?h=225&w=225
Tesco Fruit Brack 454G,€2.75,,€6.06/kg,https://www.tesco.ie/groceries/en-IE/products/280139892,https://digitalcontent.api.tesco.com/v2/media/ghs/ecce3f7b-a322-475e-bf4a-5f93826c6cb0/snapshotimagehandler_1067542818.jpeg?h=225&w=225
Mr Kipling French Fancies 8 Pack,€4.49,€3.00 Clubcard Price,€0.56/each,https://www.tesco.ie/groceries/en-IE/products/254947412,https://digitalcontent.api.tesco.com/v2/media/ghs/778b2a77-59fc-44ac-942a-c0f478a13a51/f7214cd0-fc10-4616-8d63-4de581ef4489.jpeg?h=225&w=225
Tesco Cherry Bakewell Tarts 6 Pack,€2.20,,€0.37/each,https://www.tesco.ie/groceries/en-IE/products/268405088,https://digitalcontent.api.tesco.com/v2/media/ghs/3ef301eb-d9d7-4948-aebc-5583ce9ebb82/e9ec022b-4077-480f-b6a9-affe7d78402e.jpeg?h=225&w=225
Cadbury Raspberry Mini Roll 10 Pack,€5.95,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/295848818,https://digitalcontent.api.tesco.com/v2/media/ghs/008d0e7a-2d0a-4097-a771-5713875d4e59/2375e215-89d9-4e46-bb8f-b7232cfb97f3_2140113483.jpeg?h=225&w=225
Tesco Mollys Twin Pack Maderia 550G,€2.85,,€5.18/kg,https://www.tesco.ie/groceries/en-IE/products/302144172,https://digitalcontent.api.tesco.com/v2/media/ghs/d17405a6-9240-4aba-b12a-a20453cc9993/38b80c55-ed4d-4a0e-9819-a55bd0fb8921_751747702.jpeg?h=225&w=225
Tesco Fruit Queens 345G,€1.89,,€5.48/kg,https://www.tesco.ie/groceries/en-IE/products/291914015,https://digitalcontent.api.tesco.com/v2/media/ghs/2d93fbe9-b061-444f-b3d3-40a8f8adf785/1ed9f6d8-f2ce-432f-9490-c02939757034_2082547861.jpeg?h=225&w=225
Coolmore Carrot Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142686,https://digitalcontent.api.tesco.com/v2/media/ghs/9377c1d4-c806-43ce-8d36-ef50c15ade62/snapshotimagehandler_135705886.jpeg?h=225&w=225
Tesco Finest Chocolate Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/253018385,https://digitalcontent.api.tesco.com/v2/media/ghs/507a2279-47d8-4402-b2bc-6ac13d5f72e8/db47c35a-1b47-44c2-b332-06ae85d9bd8b.jpeg?h=225&w=225
Mr Kipling Bramley Apple Pies 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254948273,https://digitalcontent.api.tesco.com/v2/media/ghs/5906ee47-3011-47b1-99e1-025f8d6e91a4/ca9a27b0-a84d-42d0-86dd-ef0e780a9c4f.jpeg?h=225&w=225
Coolmore Lemon Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142707,https://digitalcontent.api.tesco.com/v2/media/ghs/09f9088b-48e2-4400-b6cd-14ff9936cf89/snapshotimagehandler_1306934745.jpeg?h=225&w=225
Coolmore Chocolate Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142696,https://digitalcontent.api.tesco.com/v2/media/ghs/bbd842ec-d014-4e24-8dd0-4f9e4ab90521/snapshotimagehandler_1106941228.jpeg?h=225&w=225
Bonne Maman La Madeleine 7 Pack,€3.25,,€18.57/kg,https://www.tesco.ie/groceries/en-IE/products/278702176,https://digitalcontent.api.tesco.com/v2/media/ghs/ae71ffbf-28bf-4e85-b476-68fbbc894d3b/6c42b8a3-de13-4e5a-bd1e-0f4e721a957b_1679690263.jpeg?h=225&w=225
Gateaux Raspberry Roll 185G,€3.49,,€3.49/each,https://www.tesco.ie/groceries/en-IE/products/301964942,https://digitalcontent.api.tesco.com/v2/media/ghs/7af235a7-0c2e-4512-88a3-c3a7685f0d10/snapshotimagehandler_1137570264.jpeg?h=225&w=225
Tesco Apple Tart 500G,€3.20,,€6.40/kg,https://www.tesco.ie/groceries/en-IE/products/304901794,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Ms Mollys Chocolate Celeb Cake 800G,€6.00,,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/302143708,https://digitalcontent.api.tesco.com/v2/media/ghs/3a9c709a-7491-4a00-8fb3-6d9a73e27c20/snapshotimagehandler_1950502180.jpeg?h=225&w=225
Tesco 6 Angel Cake Slices 160G,€2.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/311932274,https://digitalcontent.api.tesco.com/v2/media/ghs/4737f16b-f2ef-46e8-a394-49fb985c81f9/bc8636a3-df3d-434b-8ffa-01e8d54ba5f9_520327904.jpeg?h=225&w=225
Tesco Fruited Tea Loaf 600G,€2.90,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/285725985,https://digitalcontent.api.tesco.com/v2/media/ghs/51525ddc-bd5b-4cfe-a082-f9b28c406911/snapshotimagehandler_935492187.jpeg?h=225&w=225
Tesco Finest Coffee & Walnut Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/253140037,https://digitalcontent.api.tesco.com/v2/media/ghs/9329e027-fda5-45b4-bd7b-df5b0bd20bcb/82f636c8-8148-4e3a-80d9-a463797e3ebb.jpeg?h=225&w=225
Tesco Chocolate Brownie 240G,€3.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/305967495,https://digitalcontent.api.tesco.com/v2/media/ghs/5e2a9f0b-5b95-428d-8126-df676373b713/109d8f71-ae36-4cbe-a7b5-259e260957a6.jpeg?h=225&w=225
Mr Kipling Cherry Bakewells 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254947838,https://digitalcontent.api.tesco.com/v2/media/ghs/39daff34-42c1-4ce2-9710-deb3d136e062/291f6f29-c27b-42d9-850e-300e8437b396.jpeg?h=225&w=225
Mr Kipling Viennese Whirls 6 Pack,€4.65,€3.00 Clubcard Price,€0.78/each,https://www.tesco.ie/groceries/en-IE/products/252958742,https://digitalcontent.api.tesco.com/v2/media/ghs/ccf77dbf-441e-408d-bb26-40f84f7ff96d/6ce5526c-57f2-405a-b665-403b5b3124ee.jpeg?h=225&w=225
Tesco 6 Lemon Cake Slices 160G,€2.20,,€13.75/kg,https://www.tesco.ie/groceries/en-IE/products/312093285,https://digitalcontent.api.tesco.com/v2/media/ghs/8b9adc70-d85b-4990-a468-d5bc38f49db8/2a72f74f-c9a6-4f02-a4a5-22bb07d6c3f3_1710291053.jpeg?h=225&w=225
Gateaux Ripple Roll 205G,€3.49,,€3.49/each,https://www.tesco.ie/groceries/en-IE/products/301964965,https://digitalcontent.api.tesco.com/v2/media/ghs/7f910415-6e56-49c6-ab88-e356c2c5d4c4/snapshotimagehandler_2093861633.jpeg?h=225&w=225
Coolmore Coffee & Walnut Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/305825698,https://digitalcontent.api.tesco.com/v2/media/ghs/b5f82e1c-90c5-4b2f-9058-7b55609837dd/fe20e635-2a59-4831-90c8-9849fa68100f_866759235.jpeg?h=225&w=225
Tesco Assorted Jam Tarts 6 Pack,€1.65,,€0.28/each,https://www.tesco.ie/groceries/en-IE/products/254947936,https://digitalcontent.api.tesco.com/v2/media/ghs/d303eb1e-2f53-4439-822b-1e5f49fb0cfe/d2376358-2b80-4e94-b1b6-9b203891ffa8.jpeg?h=225&w=225
Tesco Portugese Pastel De Nata 4 Pack,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/309781523,https://digitalcontent.api.tesco.com/v2/media/ghs/d6660fd5-38dd-4f7c-8594-5c6ce551bbd4/28fd78a6-c8fa-4ae8-99df-d5f19bf8de24_1229475326.jpeg?h=225&w=225
Mr Kipling Angel Slice 8 Pack,€4.65,€3.50 Clubcard Price,€0.58/each,https://www.tesco.ie/groceries/en-IE/products/295848853,https://digitalcontent.api.tesco.com/v2/media/ghs/2e6dfde4-a771-4faa-8d04-4daf7711a865/045e6904-d227-41eb-bc5f-c115c6d91b89.jpeg?h=225&w=225
Matte Reilly Cakes Jam Bakes 320G,€3.50,,€10.94/kg,https://www.tesco.ie/groceries/en-IE/products/309206716,https://digitalcontent.api.tesco.com/v2/media/ghs/12df46fd-e2d4-41fe-80d9-6b18e70cb8ac/ce8bbdb5-fd8e-4ab0-8835-6a63fe00c05d_1280416255.jpeg?h=225&w=225
Tesco Finest Red Velvet Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/312222364,https://digitalcontent.api.tesco.com/v2/media/ghs/b84c15b7-a861-45da-9f68-857f0facf4f5/1550273e-4140-4d3d-b716-14c88800b3fe.jpeg?h=225&w=225
