Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco 6 Angel Cake Slices 160G,€2.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/311932274,https://digitalcontent.api.tesco.com/v2/media/ghs/4737f16b-f2ef-46e8-a394-49fb985c81f9/bc8636a3-df3d-434b-8ffa-01e8d54ba5f9_520327904.jpeg?h=225&w=225
Tesco 6 Lemon Cake Slices 160G,€2.20,,€13.75/kg,https://www.tesco.ie/groceries/en-IE/products/312093285,https://digitalcontent.api.tesco.com/v2/media/ghs/8b9adc70-d85b-4990-a468-d5bc38f49db8/2a72f74f-c9a6-4f02-a4a5-22bb07d6c3f3_1710291053.jpeg?h=225&w=225
Mr Kipling Angel Slice 8 Pack,€4.65,€3.50 Clubcard Price,€0.58/each,https://www.tesco.ie/groceries/en-IE/products/295848853,https://digitalcontent.api.tesco.com/v2/media/ghs/2e6dfde4-a771-4faa-8d04-4daf7711a865/045e6904-d227-41eb-bc5f-c115c6d91b89.jpeg?h=225&w=225
Mr Kipling Almond Slices 6 Pack,€4.35,,€0.72/each,https://www.tesco.ie/groceries/en-IE/products/254947308,https://digitalcontent.api.tesco.com/v2/media/ghs/a667793e-7205-4705-82e1-d751672e7ff2/4a7db5f0-75e1-4564-b823-71f63bba8403.jpeg?h=225&w=225
Mr Kipling Lemon Slice 8 Pack,€4.65,€3.50 Clubcard Price,€0.58/each,https://www.tesco.ie/groceries/en-IE/products/295848876,https://digitalcontent.api.tesco.com/v2/media/ghs/d9ff78f5-a2de-4677-a924-08f14834a2f0/a6925996-ad29-482f-a9c7-c0079cead9d7.jpeg?h=225&w=225
Mr Kipling Bakewell Slices 6 Pack,€4.35,,€0.72/each,https://www.tesco.ie/groceries/en-IE/products/254947337,https://digitalcontent.api.tesco.com/v2/media/ghs/a53e384c-7385-4d51-a0bc-96ea1a6eb03f/f7644605-f81c-4c58-9066-42fa61aaf804.jpeg?h=225&w=225
Stafford's Bkry Tipsy Slices 450G,€4.49,,€9.98/kg,https://www.tesco.ie/groceries/en-IE/products/289811600,https://digitalcontent.api.tesco.com/v2/media/ghs/62c40c86-b4fe-4dcd-ae7a-67b2f2a9b4ef/snapshotimagehandler_931291195.jpeg?h=225&w=225
Stafford's Bkry Lemon Meringue Tartlets 160G,€5.29,,€18.89/kg,https://www.tesco.ie/groceries/en-IE/products/295338299,https://digitalcontent.api.tesco.com/v2/media/ghs/e56be012-e3f9-4945-a959-58cc1a9ada29/snapshotimagehandler_145327574.jpeg?h=225&w=225
Plantastic Millionaire Flapjacks Chocolate & Caramel 5 Pack,€4.50,€3.50 Clubcard Price,€0.90/each,https://www.tesco.ie/groceries/en-IE/products/311279782,https://digitalcontent.api.tesco.com/v2/media/ghs/867c039f-16a8-4539-95c4-bfc92c619f66/d003842b-da4c-4d4d-a44e-ec8182237821_477102811.jpeg?h=225&w=225
Stafford's Bkry Chocolate Dipped Vieneese 300G,€4.49,,€14.97/kg,https://www.tesco.ie/groceries/en-IE/products/289811871,https://digitalcontent.api.tesco.com/v2/media/ghs/2da689fc-41ef-4182-a74b-902301a517bd/snapshotimagehandler_558060713.jpeg?h=225&w=225
Broderick's Ruby Rocky Road 6 Pack 150G,€3.35,,€22.33/kg,https://www.tesco.ie/groceries/en-IE/products/308491551,https://digitalcontent.api.tesco.com/v2/media/ghs/3111a952-dfae-4182-b49b-4ba4bf180676/4e288cfd-05b3-4a2f-a2a5-0bca7821237a_1969480357.jpeg?h=225&w=225
Broderick's Salted Caramel Crunch Slices 6 Pack 150G,€3.35,,€22.33/kg,https://www.tesco.ie/groceries/en-IE/products/308467811,https://digitalcontent.api.tesco.com/v2/media/ghs/3c762608-6d3f-4e8b-b2b8-cd205b68d044/ee038ab0-ba28-4625-af55-cf463bf990a8_1617759088.jpeg?h=225&w=225
Manorhill Bakery Rock Buns 350G,€3.49,,€9.97/kg,https://www.tesco.ie/groceries/en-IE/products/282571151,https://digitalcontent.api.tesco.com/v2/media/ghs/35113146-75fd-45da-8965-9c9b0e96ea96/snapshotimagehandler_1331467495.jpeg?h=225&w=225
