Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Bramley Apple Pies 6 Pack,€1.50,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/257313927,https://digitalcontent.api.tesco.com/v2/media/ghs/723f151c-d313-4907-a3b7-9f16d5199597/5aec4b8b-f9ec-4c12-bd2b-bca1729920e7.jpeg?h=225&w=225
Tesco Finest Bramley Apple Tart 800G,€5.35,,€6.69/kg,https://www.tesco.ie/groceries/en-IE/products/298413666,https://digitalcontent.api.tesco.com/v2/media/ghs/54cf884f-acd1-4d14-869c-38b4a49528a9/snapshotimagehandler_658681687.jpeg?h=225&w=225
Tesco Cherry Bakewell Tarts 6 Pack,€2.20,,€0.37/each,https://www.tesco.ie/groceries/en-IE/products/268405088,https://digitalcontent.api.tesco.com/v2/media/ghs/3ef301eb-d9d7-4948-aebc-5583ce9ebb82/e9ec022b-4077-480f-b6a9-affe7d78402e.jpeg?h=225&w=225
Mr Kipling Bramley Apple Pies 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254948273,https://digitalcontent.api.tesco.com/v2/media/ghs/5906ee47-3011-47b1-99e1-025f8d6e91a4/ca9a27b0-a84d-42d0-86dd-ef0e780a9c4f.jpeg?h=225&w=225
Tesco Apple Tart 500G,€3.20,,€6.40/kg,https://www.tesco.ie/groceries/en-IE/products/304901794,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Mr Kipling Cherry Bakewells 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254947838,https://digitalcontent.api.tesco.com/v2/media/ghs/39daff34-42c1-4ce2-9710-deb3d136e062/291f6f29-c27b-42d9-850e-300e8437b396.jpeg?h=225&w=225
Tesco Assorted Jam Tarts 6 Pack,€1.65,,€0.28/each,https://www.tesco.ie/groceries/en-IE/products/254947936,https://digitalcontent.api.tesco.com/v2/media/ghs/d303eb1e-2f53-4439-822b-1e5f49fb0cfe/d2376358-2b80-4e94-b1b6-9b203891ffa8.jpeg?h=225&w=225
Tesco Portugese Pastel De Nata 4 Pack,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/309781523,https://digitalcontent.api.tesco.com/v2/media/ghs/d6660fd5-38dd-4f7c-8594-5c6ce551bbd4/28fd78a6-c8fa-4ae8-99df-d5f19bf8de24_1229475326.jpeg?h=225&w=225
Apple Puff Pies 4 Pack,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/253819848,https://digitalcontent.api.tesco.com/v2/media/ghs/67f70d88-9f93-4324-b0ae-97cdf0e128bf/snapshotimagehandler_2114284674.jpeg?h=225&w=225
Manorhill Bakery Apple Tart 700G,€5.99,,€8.56/kg,https://www.tesco.ie/groceries/en-IE/products/282570935,https://digitalcontent.api.tesco.com/v2/media/ghs/4337a2c8-b21b-4c04-99a0-100c02e88d6f/snapshotimagehandler_1157365841.jpeg?h=225&w=225
Mr Kipling Jam Tarts 6 Pack,€4.65,,€0.78/each,https://www.tesco.ie/groceries/en-IE/products/254947867,https://digitalcontent.api.tesco.com/v2/media/ghs/e85aeea1-d67e-42b2-9e10-48e034cddd09/89597802-58f6-4a38-b5ad-f268513f700d.jpeg?h=225&w=225
Buttercup Bakery 4 Jam Bakewells 175G,€1.50,,€8.57/kg,https://www.tesco.ie/groceries/en-IE/products/313730469,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
