Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Maderia Cake 275G,€2.00,,€7.27/kg,https://www.tesco.ie/groceries/en-IE/products/291913713,https://digitalcontent.api.tesco.com/v2/media/ghs/67f87c40-4a9f-4c2b-bb5a-f05e914cc83e/30b83003-1d73-4a55-bb97-4d11a73d79c5_401797828.jpeg?h=225&w=225
Tesco Mollys Twin Pack Maderia 550G,€2.85,,€5.18/kg,https://www.tesco.ie/groceries/en-IE/products/302144172,https://digitalcontent.api.tesco.com/v2/media/ghs/d17405a6-9240-4aba-b12a-a20453cc9993/38b80c55-ed4d-4a0e-9819-a55bd0fb8921_751747702.jpeg?h=225&w=225
Coolmore Carrot Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142686,https://digitalcontent.api.tesco.com/v2/media/ghs/9377c1d4-c806-43ce-8d36-ef50c15ade62/snapshotimagehandler_135705886.jpeg?h=225&w=225
Tesco Finest Chocolate Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/253018385,https://digitalcontent.api.tesco.com/v2/media/ghs/507a2279-47d8-4402-b2bc-6ac13d5f72e8/db47c35a-1b47-44c2-b332-06ae85d9bd8b.jpeg?h=225&w=225
Coolmore Lemon Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142707,https://digitalcontent.api.tesco.com/v2/media/ghs/09f9088b-48e2-4400-b6cd-14ff9936cf89/snapshotimagehandler_1306934745.jpeg?h=225&w=225
Coolmore Chocolate Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/269142696,https://digitalcontent.api.tesco.com/v2/media/ghs/bbd842ec-d014-4e24-8dd0-4f9e4ab90521/snapshotimagehandler_1106941228.jpeg?h=225&w=225
Gateaux Raspberry Roll 185G,€3.49,,€3.49/each,https://www.tesco.ie/groceries/en-IE/products/301964942,https://digitalcontent.api.tesco.com/v2/media/ghs/7af235a7-0c2e-4512-88a3-c3a7685f0d10/snapshotimagehandler_1137570264.jpeg?h=225&w=225
Ms Mollys Chocolate Celeb Cake 800G,€6.00,,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/302143708,https://digitalcontent.api.tesco.com/v2/media/ghs/3a9c709a-7491-4a00-8fb3-6d9a73e27c20/snapshotimagehandler_1950502180.jpeg?h=225&w=225
Tesco Fruited Tea Loaf 600G,€2.90,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/285725985,https://digitalcontent.api.tesco.com/v2/media/ghs/51525ddc-bd5b-4cfe-a082-f9b28c406911/snapshotimagehandler_935492187.jpeg?h=225&w=225
Tesco Finest Coffee & Walnut Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/253140037,https://digitalcontent.api.tesco.com/v2/media/ghs/9329e027-fda5-45b4-bd7b-df5b0bd20bcb/82f636c8-8148-4e3a-80d9-a463797e3ebb.jpeg?h=225&w=225
Tesco Chocolate Brownie 240G,€3.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/305967495,https://digitalcontent.api.tesco.com/v2/media/ghs/5e2a9f0b-5b95-428d-8126-df676373b713/109d8f71-ae36-4cbe-a7b5-259e260957a6.jpeg?h=225&w=225
Gateaux Ripple Roll 205G,€3.49,,€3.49/each,https://www.tesco.ie/groceries/en-IE/products/301964965,https://digitalcontent.api.tesco.com/v2/media/ghs/7f910415-6e56-49c6-ab88-e356c2c5d4c4/snapshotimagehandler_2093861633.jpeg?h=225&w=225
Coolmore Coffee & Walnut Cake 400G,€4.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/305825698,https://digitalcontent.api.tesco.com/v2/media/ghs/b5f82e1c-90c5-4b2f-9058-7b55609837dd/fe20e635-2a59-4831-90c8-9849fa68100f_866759235.jpeg?h=225&w=225
Tesco Finest Red Velvet Cake,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/312222364,https://digitalcontent.api.tesco.com/v2/media/ghs/b84c15b7-a861-45da-9f68-857f0facf4f5/1550273e-4140-4d3d-b716-14c88800b3fe.jpeg?h=225&w=225
Ms Molly Jumbo Strawberry & Vanilla Swiss Roll,€1.75,,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/299999598,https://digitalcontent.api.tesco.com/v2/media/ghs/34f0d447-8446-4cd6-94f3-99db023045a9/75251f49-5e30-41aa-a51a-d13f97ef3f8b_1090328236.jpeg?h=225&w=225
Tesco Strawberry & Cream Swiss Roll,€2.20,,€2.20/each,https://www.tesco.ie/groceries/en-IE/products/299999673,https://digitalcontent.api.tesco.com/v2/media/ghs/303803cd-4eac-41df-8ace-1f04740e5a89/1288e351-d8e7-4a46-869b-74c903733cc2.jpeg?h=225&w=225
Gateaux Swiss,€3.49,,€17.90/kg,https://www.tesco.ie/groceries/en-IE/products/301210591,https://digitalcontent.api.tesco.com/v2/media/ghs/3b6aacb6-89a2-4000-9ccf-81ce54654c42/snapshotimagehandler_1201674684.jpeg?h=225&w=225
Tesco Finest Oxford Lunch Cake 500G,€3.50,,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/310689807,https://digitalcontent.api.tesco.com/v2/media/ghs/cea80ce7-e301-4570-800a-0f75224e2824/07d910f2-01de-4840-87f9-71abbd869ffa_1953503542.jpeg?h=225&w=225
Tesco Lemon Swiss Roll ..,€2.20,,€2.20/each,https://www.tesco.ie/groceries/en-IE/products/299999713,https://digitalcontent.api.tesco.com/v2/media/ghs/1c6afffd-ad35-41de-9715-445e5355496e/240d33ca-a85f-496b-8884-5b9f83bd702e.jpeg?h=225&w=225
