Title,Price,Promotional Price,Price Per,Product URL,Image URL
Scotts Double Chocolate Mini Muffins 290G,€1.35,,€4.66/kg,https://www.tesco.ie/groceries/en-IE/products/310844489,https://digitalcontent.api.tesco.com/v2/media/ghs/a5c9a9e6-464c-4895-bc8e-eaad97833e4f/1ec31679-5a7d-4154-8403-ed7296dfff78_1799926084.jpeg?h=225&w=225
Cadbury Chocolate Mini Roll 10 Pack,€5.95,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/295848830,https://digitalcontent.api.tesco.com/v2/media/ghs/f267b3b5-5c63-4855-95aa-5b2dd11d4292/84a72625-f79e-4423-ac68-6e7137a585f4_1381635453.jpeg?h=225&w=225
Scotts Chocolate Chip Mini Muffins 290G,€1.35,,€4.66/kg,https://www.tesco.ie/groceries/en-IE/products/311211217,https://digitalcontent.api.tesco.com/v2/media/ghs/7086da9e-04ba-40fa-8325-5d2112f6b87a/fc9c2c73-7833-4873-8ecd-2f8875e91ecf_1319389166.jpeg?h=225&w=225
Matte Reilly Cakes 7 Almond Fingers 325G,€1.99,,€6.12/kg,https://www.tesco.ie/groceries/en-IE/products/309486798,https://digitalcontent.api.tesco.com/v2/media/ghs/f3de44d8-a091-4bf8-ad94-e472ce31ff70/snapshotimagehandler_596314849.jpeg?h=225&w=225
Mr Kipling French Fancies 8 Pack,€4.49,€3.00 Clubcard Price,€0.56/each,https://www.tesco.ie/groceries/en-IE/products/254947412,https://digitalcontent.api.tesco.com/v2/media/ghs/778b2a77-59fc-44ac-942a-c0f478a13a51/f7214cd0-fc10-4616-8d63-4de581ef4489.jpeg?h=225&w=225
Cadbury Raspberry Mini Roll 10 Pack,€5.95,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/295848818,https://digitalcontent.api.tesco.com/v2/media/ghs/008d0e7a-2d0a-4097-a771-5713875d4e59/2375e215-89d9-4e46-bb8f-b7232cfb97f3_2140113483.jpeg?h=225&w=225
Bonne Maman La Madeleine 7 Pack,€3.25,,€18.57/kg,https://www.tesco.ie/groceries/en-IE/products/278702176,https://digitalcontent.api.tesco.com/v2/media/ghs/ae71ffbf-28bf-4e85-b476-68fbbc894d3b/6c42b8a3-de13-4e5a-bd1e-0f4e721a957b_1679690263.jpeg?h=225&w=225
Mr Kipling Viennese Whirls 6 Pack,€4.65,€3.00 Clubcard Price,€0.78/each,https://www.tesco.ie/groceries/en-IE/products/252958742,https://digitalcontent.api.tesco.com/v2/media/ghs/ccf77dbf-441e-408d-bb26-40f84f7ff96d/6ce5526c-57f2-405a-b665-403b5b3124ee.jpeg?h=225&w=225
Matte Reilly Cakes Jam Bakes 320G,€3.50,,€10.94/kg,https://www.tesco.ie/groceries/en-IE/products/309206716,https://digitalcontent.api.tesco.com/v2/media/ghs/12df46fd-e2d4-41fe-80d9-6b18e70cb8ac/ce8bbdb5-fd8e-4ab0-8835-6a63fe00c05d_1280416255.jpeg?h=225&w=225
Bonne Maman Chocolate Madeleines 210G,€3.55,,€16.90/kg,https://www.tesco.ie/groceries/en-IE/products/279422851,https://digitalcontent.api.tesco.com/v2/media/ghs/1ce125c6-a4ba-4eef-9983-255940783000/341203e0-d8de-4de7-b6b3-510e550a8422_1755925777.jpeg?h=225&w=225
Mr Kipling 8 Lemon Fancies Sponge Cakes,€4.05,€3.50 Clubcard Price,€0.51/each,https://www.tesco.ie/groceries/en-IE/products/305972367,https://digitalcontent.api.tesco.com/v2/media/ghs/915a4baa-5848-4e06-bd8b-1a8c9d436024/89275b26-7581-417f-ae5a-ced6a0044644_217815779.jpeg?h=225&w=225
Stafford's Bkry Chester Cake 450G,€3.29,,€7.31/kg,https://www.tesco.ie/groceries/en-IE/products/277082529,https://digitalcontent.api.tesco.com/v2/media/ghs/bad3d1a1-86cc-4cb6-8d26-cdd6fb9b0ef1/snapshotimagehandler_1581411966.jpeg?h=225&w=225
Broderick's Bites Rocky Road 162G,€3.35,,€20.68/kg,https://www.tesco.ie/groceries/en-IE/products/306659956,https://digitalcontent.api.tesco.com/v2/media/ghs/466dca5c-3851-4087-8c6f-41beb5da570e/6e37f0b6-22fd-4da5-bbc5-6ead08762bbf_548784770.jpeg?h=225&w=225
Scotts Mini Assorted Cupcakes 9Pack,€3.20,,€0.36/each,https://www.tesco.ie/groceries/en-IE/products/294349368,https://digitalcontent.api.tesco.com/v2/media/ghs/7e754136-7faa-4fd1-a9ee-8bc26ad44097/snapshotimagehandler_929999349.jpeg?h=225&w=225
Broderick's Double Chocolate Brownie Mini Bites 162G,€3.35,,€20.68/kg,https://www.tesco.ie/groceries/en-IE/products/306500292,https://digitalcontent.api.tesco.com/v2/media/ghs/dff8c70c-a5b7-446a-82c5-9c73d9acc926/029e56a2-022d-4407-ba37-1c9e2ee4536d_412142932.jpeg?h=225&w=225
Buttercup Bakery 9 Madeira Buns 230G,€1.50,,€6.52/kg,https://www.tesco.ie/groceries/en-IE/products/313183747,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest 4 Honeycomb Tiffin Slices,€4.00,,€1.00/each,https://www.tesco.ie/groceries/en-IE/products/305955699,https://digitalcontent.api.tesco.com/v2/media/ghs/fc25f5d7-c85c-4924-9b88-ca894c49a78d/66bb76b2-c498-4f32-9735-7d2626ef35e1_131734155.jpeg?h=225&w=225
Buttercup Bakery Fruitcake 300G,€1.50,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/313847619,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest 4 Millionaire Shortbread Slices,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/305834981,https://digitalcontent.api.tesco.com/v2/media/ghs/5cd8e72c-7ad3-40ac-b172-59f208e7ebc7/a20316bb-db8b-4d6a-b2df-3596c11edafb_275334319.jpeg?h=225&w=225
Scotts Indulgent Cupcake Platter 12 Pack,€7.50,,€0.62/each,https://www.tesco.ie/groceries/en-IE/products/304671074,https://digitalcontent.api.tesco.com/v2/media/ghs/ef0f383b-78c0-4d06-9f69-4f6b4f7d39b1/e3301d99-3aaa-4c44-975e-36dcde8bb55d_897192822.jpeg?h=225&w=225
Broderick's Salted Caramel Crispy Mini Bites 144G,€3.35,,€23.26/kg,https://www.tesco.ie/groceries/en-IE/products/306654627,https://digitalcontent.api.tesco.com/v2/media/ghs/78dc2720-c68e-4a87-bb9e-1eeeb3a3d357/snapshotimagehandler_616465269.jpeg?h=225&w=225
Mr Kipling Gooey Brownie Bites Salted Caramel 10 Pack,€4.50,,€0.45/each,https://www.tesco.ie/groceries/en-IE/products/312983712,https://digitalcontent.api.tesco.com/v2/media/ghs/17d61367-24d4-456e-8166-9abdcfdcb65a/67f9a6da-d6b6-4157-9101-9919ab338cbd.jpeg?h=225&w=225
Mr Kipling Gooey Brownie Bites Double Chocolate 10 Pack,€4.50,,€0.45/each,https://www.tesco.ie/groceries/en-IE/products/312696568,https://digitalcontent.api.tesco.com/v2/media/ghs/45de25fa-a4db-4098-9949-20146117316e/f35a9cfd-e611-4b38-bec3-357e5b77f741.jpeg?h=225&w=225
Comerfords Cakes 9 Pack Chocolate Chip Buns 250G,€2.49,,€9.96/kg,https://www.tesco.ie/groceries/en-IE/products/311214404,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Broderick's High Prtn Caramel Crspy 6 Mini Bites 96G,€4.00,€3.00 Clubcard Price,€41.67/kg,https://www.tesco.ie/groceries/en-IE/products/315389449,https://digitalcontent.api.tesco.com/v2/media/ghs/4a480729-87cf-4b2f-9df6-bbd6d9fb4a92/faf8734d-9cf8-4a83-ae46-613cca9d9602_38656575.jpeg?h=225&w=225
Stafford's Bkry Luxury Cake Selection 350G,€10.50,,€13.12/kg,https://www.tesco.ie/groceries/en-IE/products/294898570,https://digitalcontent.api.tesco.com/v2/media/ghs/68309d70-f309-4750-bd46-7921216538d0/snapshotimagehandler_2099809596.jpeg?h=225&w=225
Broderick's Slam Dunk Peanut Chunk 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236754,https://digitalcontent.api.tesco.com/v2/media/ghs/67c4c21e-be16-4a50-980c-6b788a79fc48/snapshotimagehandler_550107623.jpeg?h=225&w=225
Stafford's Bkry Coffee Layer Cake 550G,€7.99,,€13.32/kg,https://www.tesco.ie/groceries/en-IE/products/312570247,https://digitalcontent.api.tesco.com/v2/media/ghs/29cba0a2-bf90-4edb-8bbf-7d9605887da0/5d8b4053-14c9-43c8-ade5-2773aa911a2c_2134505704.jpeg?h=225&w=225
Buttercup Bakery Chocolate Roll 350G,€2.50,,€7.14/kg,https://www.tesco.ie/groceries/en-IE/products/313852060,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Buttercup Bakery Raspberry Ripple Roll 350G,€2.50,,€7.14/kg,https://www.tesco.ie/groceries/en-IE/products/313839249,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Staffords Bakery Luxury Chocolate Gateau 925G,€12.00,,€12.97/kg,https://www.tesco.ie/groceries/en-IE/products/294910809,https://digitalcontent.api.tesco.com/v2/media/ghs/e335ca70-969e-4d9f-9e0b-99eb06bfaef5/0041b43a-a498-4bb4-ba9a-fed963c64efe_1997790081.jpeg?h=225&w=225
Broderick's Road Rockin Chocolate Chocolate Block 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236459,https://digitalcontent.api.tesco.com/v2/media/ghs/73b6dedb-f26a-493b-9de5-9839771eb9a9/snapshotimagehandler_965236900.jpeg?h=225&w=225
Staffords Bakery Luxury Coffee Gateau 925G,€12.00,,€12.97/kg,https://www.tesco.ie/groceries/en-IE/products/294910821,https://digitalcontent.api.tesco.com/v2/media/ghs/4de8bab6-86dd-4821-8e9e-2a6c7ba8dc98/3d811b4d-42b0-480c-9e55-a94eead13cb8_1945049096.jpeg?h=225&w=225
Stafford's Bkry Choco And Caramel Layer Cake 550G,€7.99,,€13.32/kg,https://www.tesco.ie/groceries/en-IE/products/312564523,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
