Title,Price,Promotional Price,Price Per,Product URL,Image URL
Mr Kipling French Fancies 8 Pack,€4.49,€3.00 Clubcard Price,€0.56/each,https://www.tesco.ie/groceries/en-IE/products/254947412,https://digitalcontent.api.tesco.com/v2/media/ghs/778b2a77-59fc-44ac-942a-c0f478a13a51/f7214cd0-fc10-4616-8d63-4de581ef4489.jpeg?h=225&w=225
Mr Kipling Bramley Apple Pies 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254948273,https://digitalcontent.api.tesco.com/v2/media/ghs/5906ee47-3011-47b1-99e1-025f8d6e91a4/ca9a27b0-a84d-42d0-86dd-ef0e780a9c4f.jpeg?h=225&w=225
Mr Kipling Cherry Bakewells 6 Pack,€5.55,€3.00 Clubcard Price,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/254947838,https://digitalcontent.api.tesco.com/v2/media/ghs/39daff34-42c1-4ce2-9710-deb3d136e062/291f6f29-c27b-42d9-850e-300e8437b396.jpeg?h=225&w=225
Mr Kipling Viennese Whirls 6 Pack,€4.65,€3.00 Clubcard Price,€0.78/each,https://www.tesco.ie/groceries/en-IE/products/252958742,https://digitalcontent.api.tesco.com/v2/media/ghs/ccf77dbf-441e-408d-bb26-40f84f7ff96d/6ce5526c-57f2-405a-b665-403b5b3124ee.jpeg?h=225&w=225
Mr Kipling Angel Slice 8 Pack,€4.65,€3.50 Clubcard Price,€0.58/each,https://www.tesco.ie/groceries/en-IE/products/295848853,https://digitalcontent.api.tesco.com/v2/media/ghs/2e6dfde4-a771-4faa-8d04-4daf7711a865/045e6904-d227-41eb-bc5f-c115c6d91b89.jpeg?h=225&w=225
Mr Kipling 8 Lemon Fancies Sponge Cakes,€4.05,€3.50 Clubcard Price,€0.51/each,https://www.tesco.ie/groceries/en-IE/products/305972367,https://digitalcontent.api.tesco.com/v2/media/ghs/915a4baa-5848-4e06-bd8b-1a8c9d436024/89275b26-7581-417f-ae5a-ced6a0044644_217815779.jpeg?h=225&w=225
Mr Kipling Lemon Slice 8 Pack,€4.65,€3.50 Clubcard Price,€0.58/each,https://www.tesco.ie/groceries/en-IE/products/295848876,https://digitalcontent.api.tesco.com/v2/media/ghs/d9ff78f5-a2de-4677-a924-08f14834a2f0/a6925996-ad29-482f-a9c7-c0079cead9d7.jpeg?h=225&w=225
Cadbury Chocolate Cake Bar 5 Pack,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/259238028,https://digitalcontent.api.tesco.com/v2/media/ghs/b28f5c14-a8f7-4c68-b63b-6cb162f83dd3/7277fc31-4fca-40b0-a168-32c98bde2aea_50946578.jpeg?h=225&w=225
Cadbury Caramel Cake Bars 5 Pac,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/254576286,https://digitalcontent.api.tesco.com/v2/media/ghs/c606de22-5075-490b-9f48-a209b152914f/25721f09-1839-430b-88f4-01a4d85e25e7.jpeg?h=225&w=225
Cadbury Crunchie Cake Bars 5 Pack,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/306928539,https://digitalcontent.api.tesco.com/v2/media/ghs/63320429-73dd-4905-8eaa-559aa6a3b056/eb848435-972a-4548-8b21-fdc25f080939_875963169.jpeg?h=225&w=225
Plantastic Millionaire Flapjacks Chocolate & Caramel 5 Pack,€4.50,€3.50 Clubcard Price,€0.90/each,https://www.tesco.ie/groceries/en-IE/products/311279782,https://digitalcontent.api.tesco.com/v2/media/ghs/867c039f-16a8-4539-95c4-bfc92c619f66/d003842b-da4c-4d4d-a44e-ec8182237821_477102811.jpeg?h=225&w=225
Broderick's High Prtn Caramel Crspy 6 Mini Bites 96G,€4.00,€3.00 Clubcard Price,€41.67/kg,https://www.tesco.ie/groceries/en-IE/products/315389449,https://digitalcontent.api.tesco.com/v2/media/ghs/4a480729-87cf-4b2f-9df6-bbd6d9fb4a92/faf8734d-9cf8-4a83-ae46-613cca9d9602_38656575.jpeg?h=225&w=225
Broderick's Slam Dunk Peanut Chunk 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236754,https://digitalcontent.api.tesco.com/v2/media/ghs/67c4c21e-be16-4a50-980c-6b788a79fc48/snapshotimagehandler_550107623.jpeg?h=225&w=225
Broderick's Road Rockin Chocolate Chocolate Block 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236459,https://digitalcontent.api.tesco.com/v2/media/ghs/73b6dedb-f26a-493b-9de5-9839771eb9a9/snapshotimagehandler_965236900.jpeg?h=225&w=225
