Title,Price,Promotional Price,Price Per,Product URL,Image URL
Scotts Double Chocolate Mini Muffins 290G,€1.35,,€4.66/kg,https://www.tesco.ie/groceries/en-IE/products/310844489,https://digitalcontent.api.tesco.com/v2/media/ghs/a5c9a9e6-464c-4895-bc8e-eaad97833e4f/1ec31679-5a7d-4154-8403-ed7296dfff78_1799926084.jpeg?h=225&w=225
Tesco Maderia Queens 280G,€1.86,,€6.64/kg,https://www.tesco.ie/groceries/en-IE/products/291913870,https://digitalcontent.api.tesco.com/v2/media/ghs/93b7f841-f18b-4112-a4ca-9a31fed4b744/fefce1e9-ad12-45c2-b1be-b3112b5c7326_743464992.jpeg?h=225&w=225
Tesco Fruit Queens 345G,€1.89,,€5.48/kg,https://www.tesco.ie/groceries/en-IE/products/291914015,https://digitalcontent.api.tesco.com/v2/media/ghs/2d93fbe9-b061-444f-b3d3-40a8f8adf785/1ed9f6d8-f2ce-432f-9490-c02939757034_2082547861.jpeg?h=225&w=225
Mr Kipling 8 Lemon Fancies Sponge Cakes,€4.05,€3.50 Clubcard Price,€0.51/each,https://www.tesco.ie/groceries/en-IE/products/305972367,https://digitalcontent.api.tesco.com/v2/media/ghs/915a4baa-5848-4e06-bd8b-1a8c9d436024/89275b26-7581-417f-ae5a-ced6a0044644_217815779.jpeg?h=225&w=225
Gateaux Mini Cakes Chocolate Flavoured 10X35g,€4.09,,€11.69/kg,https://www.tesco.ie/groceries/en-IE/products/310182845,https://digitalcontent.api.tesco.com/v2/media/ghs/fa4d3204-1dcb-4581-9185-22767e98967c/66d1370e-530c-41d1-98c3-fe15eaa541e2_1479479003.jpeg?h=225&w=225
Buttercup Bakery 6 Iced Queens Buns 175G,€1.50,,€8.57/kg,https://www.tesco.ie/groceries/en-IE/products/313160354,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Cadbury Chocolate Cake Bar 5 Pack,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/259238028,https://digitalcontent.api.tesco.com/v2/media/ghs/b28f5c14-a8f7-4c68-b63b-6cb162f83dd3/7277fc31-4fca-40b0-a168-32c98bde2aea_50946578.jpeg?h=225&w=225
Cadbury Caramel Cake Bars 5 Pac,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/254576286,https://digitalcontent.api.tesco.com/v2/media/ghs/c606de22-5075-490b-9f48-a209b152914f/25721f09-1839-430b-88f4-01a4d85e25e7.jpeg?h=225&w=225
Cadbury Crunchie Cake Bars 5 Pack,€4.35,€3.00 Clubcard Price,€0.87/each,https://www.tesco.ie/groceries/en-IE/products/306928539,https://digitalcontent.api.tesco.com/v2/media/ghs/63320429-73dd-4905-8eaa-559aa6a3b056/eb848435-972a-4548-8b21-fdc25f080939_875963169.jpeg?h=225&w=225
Tesco Finest 4 Honeycomb Tiffin Slices,€4.00,,€1.00/each,https://www.tesco.ie/groceries/en-IE/products/305955699,https://digitalcontent.api.tesco.com/v2/media/ghs/fc25f5d7-c85c-4924-9b88-ca894c49a78d/66bb76b2-c498-4f32-9735-7d2626ef35e1_131734155.jpeg?h=225&w=225
Tesco Finest 4 Millionaire Shortbread Slices,€4.00,,€4.00/each,https://www.tesco.ie/groceries/en-IE/products/305834981,https://digitalcontent.api.tesco.com/v2/media/ghs/5cd8e72c-7ad3-40ac-b172-59f208e7ebc7/a20316bb-db8b-4d6a-b2df-3596c11edafb_275334319.jpeg?h=225&w=225
Buttercup Bakery 9 Chocolate Chip Buns 250G,€1.50,,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/313856879,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Gateaux Mini Cake Original 10X35g,€4.09,,€11.69/kg,https://www.tesco.ie/groceries/en-IE/products/310137946,https://digitalcontent.api.tesco.com/v2/media/ghs/3cf01c02-768a-4dca-8e70-f21fe52c9ec1/899dc5a5-2729-4e25-b357-2bdce005b5a3_1238791236.jpeg?h=225&w=225
The Stone Oven 12 Madeira Queens 300G,€3.39,,€11.30/kg,https://www.tesco.ie/groceries/en-IE/products/311214214,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
The Stone Oven 12 Pack Iced Queens 335G,€4.99,,€14.90/kg,https://www.tesco.ie/groceries/en-IE/products/311273448,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Stafford Pavlova Nest 4Pack,€3.10,,€0.78/each,https://www.tesco.ie/groceries/en-IE/products/272052032,https://digitalcontent.api.tesco.com/v2/media/ghs/b550bf8f-cc79-4e57-9fdc-34ac243ce199/snapshotimagehandler_582576358.jpeg?h=225&w=225
Broderick's Slam Dunk Peanut Chunk 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236754,https://digitalcontent.api.tesco.com/v2/media/ghs/67c4c21e-be16-4a50-980c-6b788a79fc48/snapshotimagehandler_550107623.jpeg?h=225&w=225
Stafford's Bkry Coffee Layer Cake 550G,€7.99,,€13.32/kg,https://www.tesco.ie/groceries/en-IE/products/312570247,https://digitalcontent.api.tesco.com/v2/media/ghs/29cba0a2-bf90-4edb-8bbf-7d9605887da0/5d8b4053-14c9-43c8-ade5-2773aa911a2c_2134505704.jpeg?h=225&w=225
Broderick's Road Rockin Chocolate Chocolate Block 50G,€1.99,€1.50 Clubcard Price,€39.80/kg,https://www.tesco.ie/groceries/en-IE/products/306236459,https://digitalcontent.api.tesco.com/v2/media/ghs/73b6dedb-f26a-493b-9de5-9839771eb9a9/snapshotimagehandler_965236900.jpeg?h=225&w=225
