Title,Price,Promotional Price,Price Per,Product URL,Image URL
Cadbury Dairy Milk Brownie Bites 14,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/313513738,https://digitalcontent.api.tesco.com/v2/media/ghs/72ec9483-2ba8-45cb-bb88-be4450b1b1d6/b379805f-25f1-4d5c-8f74-20fe4a8db7df_1708083729.jpeg?h=225&w=225
Tesco Brookie Bites 20 Pack,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.14/each,https://www.tesco.ie/groceries/en-IE/products/309177640,https://digitalcontent.api.tesco.com/v2/media/ghs/6bdafd4a-0864-498a-8c34-9d66b942b341/cbeaf0c0-02ab-430c-a38f-448c3e9bea31_2080497068.jpeg?h=225&w=225
Tesco Rocky Road Bites 195G,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€14.10/kg,https://www.tesco.ie/groceries/en-IE/products/309177980,https://digitalcontent.api.tesco.com/v2/media/ghs/53009213-1cf8-4c4d-a108-eca3d0314d7e/ac58925b-40c9-4e1d-811f-ce590c2da936_294843042.jpeg?h=225&w=225
Tesco Chocolate Tray Bake,€9.00,,€9.00/each,https://www.tesco.ie/groceries/en-IE/products/314841359,https://digitalcontent.api.tesco.com/v2/media/ghs/b053758d-595c-44b5-892b-da781c851fdb/21c2e174-27ab-4e82-a079-f5118317a567.jpeg?h=225&w=225
Coolmore Strawberries And Cream Cake 380G,€4.00,,€10.53/kg,https://www.tesco.ie/groceries/en-IE/products/315152608,https://digitalcontent.api.tesco.com/v2/media/ghs/278911be-06f0-487e-bdd1-5d6455495504/e4554499-4a8a-425f-acff-8124b982abf0_104846305.jpeg?h=225&w=225
Tesco Rainbow Cake,€19.00,,€19.00/each,https://www.tesco.ie/groceries/en-IE/products/314689188,https://digitalcontent.api.tesco.com/v2/media/ghs/bcc6943e-0d01-4ac5-aaea-8d3789850c22/37aa08a5-89be-4d57-a7dd-f656ffb22b93.jpeg?h=225&w=225
Tesco Vanilla Tray Bake,€9.00,,€9.00/each,https://www.tesco.ie/groceries/en-IE/products/314955461,https://digitalcontent.api.tesco.com/v2/media/ghs/be4257b5-30f4-4a6a-a5ee-b5bdb49bd7e3/a61ec69a-3d78-41c3-a2de-9ea96b91ead0.jpeg?h=225&w=225
Tesco Birthday Cake Cubes 15 Pack,€14.00,,€0.93/each,https://www.tesco.ie/groceries/en-IE/products/284515383,https://digitalcontent.api.tesco.com/v2/media/ghs/e6a7fb98-844a-440e-b702-03983c808aba/36dfe91b-4916-42f2-a89b-cb61a3c30c43.jpeg?h=225&w=225
Broderick's High Prtn Caramel Crspy 6 Mini Bites 96G,€4.00,€3.00 Clubcard Price,€41.67/kg,https://www.tesco.ie/groceries/en-IE/products/315389449,https://digitalcontent.api.tesco.com/v2/media/ghs/4a480729-87cf-4b2f-9df6-bbd6d9fb4a92/faf8734d-9cf8-4a83-ae46-613cca9d9602_38656575.jpeg?h=225&w=225
Tesco Finest Chocolate Cake,€20.00,,€20.00/each,https://www.tesco.ie/groceries/en-IE/products/314435380,https://digitalcontent.api.tesco.com/v2/media/ghs/8bfe86af-29b9-4a34-a0bb-c57efe86ce80/7380e66f-ac0a-4cda-b983-52d0247a205f.jpeg?h=225&w=225
Tesco Golden Unicorn Cake,€18.00,,€18.00/each,https://www.tesco.ie/groceries/en-IE/products/314838519,https://digitalcontent.api.tesco.com/v2/media/ghs/7189c9d7-02d6-4407-bf26-7e41b9fd004a/2ed6c2b0-43ed-448c-ad16-5c067f2854ac.jpeg?h=225&w=225
Tesco Finest Red Velvet Cake Cake,€20.00,,€20.00/each,https://www.tesco.ie/groceries/en-IE/products/314600714,https://digitalcontent.api.tesco.com/v2/media/ghs/91c62071-0b62-45be-8580-0ece2b8c340a/5e7ac877-3588-4109-8fec-886b3084b2c8.jpeg?h=225&w=225
Tesco Chocolate Safari Cake,€15.00,,€15.00/each,https://www.tesco.ie/groceries/en-IE/products/314834656,https://digitalcontent.api.tesco.com/v2/media/ghs/b58093b1-b202-41e9-8439-3c9bc25bb51e/6efd96ac-ac3c-4350-99bf-f3bd70c49b67.jpeg?h=225&w=225
Tesco Finest White Chocolate & Raspberry Cake,€20.00,,€20.00/each,https://www.tesco.ie/groceries/en-IE/products/314690554,https://digitalcontent.api.tesco.com/v2/media/ghs/b98eed6c-79d7-498d-84fa-5182d625ab85/fed421c8-cb7e-499c-ac63-3adb44391896.jpeg?h=225&w=225
Tesco Finest Lemon Cake,€20.00,,€20.00/each,https://www.tesco.ie/groceries/en-IE/products/314829790,https://digitalcontent.api.tesco.com/v2/media/ghs/b1d599c4-492c-434b-8fdd-578aeffae527/23bc5df3-0a0a-41be-900b-da884961149c.jpeg?h=225&w=225
Disney Encanto Cake,€18.00,,€18.00/each,https://www.tesco.ie/groceries/en-IE/products/315073713,https://digitalcontent.api.tesco.com/v2/media/ghs/0e025845-b746-4192-852f-7b926b9ae63a/b3e3ffed-4932-4e1a-8113-30d72290b525.jpeg?h=225&w=225
