Title,Price,Promotional Price,Price Per,Product URL,Image URL
Et Voila Chocolate And Hazelnut Filled Croissant,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/314429042,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila 24% Butter Croissant,€1.25,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.25/each,https://www.tesco.ie/groceries/en-IE/products/314426229,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Cinnamon Swirl,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/313847809,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Pain Au Chocolate,€1.25,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.25/each,https://www.tesco.ie/groceries/en-IE/products/314311137,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Maple And Pecan Plait,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/314416155,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Chocolate Twist,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/314416604,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Raspberry And Custard Basket,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/314411926,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Et Voila Pain Aux Raisin,€1.75,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.75/each,https://www.tesco.ie/groceries/en-IE/products/314425841,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Broghies Wheat Premade 75G,€2.99,€2.79 Clubcard Price,€39.87/kg,https://www.tesco.ie/groceries/en-IE/products/298821420,https://digitalcontent.api.tesco.com/v2/media/ghs/ccd053cf-bd75-4bac-bae4-826867bbaf1e/38e70e42-5d4e-4b66-9a11-c94c0b62c208_924005918.jpeg?h=225&w=225
Broghies Corn Premade 75G,€2.99,€2.79 Clubcard Price,€39.87/kg,https://www.tesco.ie/groceries/en-IE/products/297755239,https://digitalcontent.api.tesco.com/v2/media/ghs/6742fa0a-095a-4ece-9823-a2fd2a09bd42/9939bd55-587b-4cbb-aff3-0ea1f0278940_236991096.jpeg?h=225&w=225
