Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Pancakes 8Pk,€1.20,,€0.15/each,https://www.tesco.ie/groceries/en-IE/products/254329113,https://digitalcontent.api.tesco.com/v2/media/ghs/646e0d1c-c122-4722-ab7c-901fe1fd15a5/649ea5af-e6f1-4ce6-b27a-ddd698072295.jpeg?h=225&w=225
Tesco 6 Crumpets,€1.20,,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/304377935,https://digitalcontent.api.tesco.com/v2/media/ghs/11923628-11cc-4337-9a51-c301f083e5fa/5041e92b-8a8c-4e66-b4ee-5bdab275005e.jpeg?h=225&w=225
Tesco Potato Farls 4 Pack,€0.85,,€0.21/each,https://www.tesco.ie/groceries/en-IE/products/305980599,https://digitalcontent.api.tesco.com/v2/media/ghs/2779e901-bd6f-471f-8269-60e0dbefcdfe/0155c823-e566-4919-affc-7fc262f04e9c.jpeg?h=225&w=225
Tesco 8 Egg Waffles 200G,€1.70,,€8.50/kg,https://www.tesco.ie/groceries/en-IE/products/310121170,https://digitalcontent.api.tesco.com/v2/media/ghs/9c6fd228-f293-4425-a230-69e3da060397/8372fc29-8c19-42cc-a009-ce0345b54efa_739396339.jpeg?h=225&w=225
Galberts Sweet Pancake 6 Pack 450G,€3.99,,€9.98/kg,https://www.tesco.ie/groceries/en-IE/products/268307613,https://digitalcontent.api.tesco.com/v2/media/ghs/219ad0c6-226d-41be-901c-f48d9abe0c28/e1323f74-2846-4d22-8d7a-e5ec233f540a_396355806.jpeg?h=225&w=225
Tesco 6 Classic Egg Waffles 250G,€1.70,,€6.80/kg,https://www.tesco.ie/groceries/en-IE/products/310685247,https://digitalcontent.api.tesco.com/v2/media/ghs/a91669e9-4c4c-4d16-a0ca-8563b54c3988/5b4b31ec-664b-4dda-a0cd-b217b682f8e4_1199906393.jpeg?h=225&w=225
Galberts American Pancake 6 Pack 300G,€3.99,,€13.30/kg,https://www.tesco.ie/groceries/en-IE/products/268307521,https://digitalcontent.api.tesco.com/v2/media/ghs/27680010-a0bf-4f60-aead-b0eff4289293/4c1cd6f9-fb8e-4cf0-ba80-54870bfa675e_263201972.jpeg?h=225&w=225
Galberts Mini Pancakes 200G,€3.99,,€13.30/kg,https://www.tesco.ie/groceries/en-IE/products/268403516,https://digitalcontent.api.tesco.com/v2/media/ghs/89a67446-fa88-438a-9725-336e0ad248a2/99563683-c908-4064-a824-e789b8d3b168.jpeg?h=225&w=225
Pat The Baker Pancakes 320G 6 Plus 2 Free,€2.98,€2.00 Clubcard Price,€9.31/kg,https://www.tesco.ie/groceries/en-IE/products/285711609,https://digitalcontent.api.tesco.com/v2/media/ghs/0fc171b5-a059-4ad4-94c4-c7279a12138b/snapshotimagehandler_491573952.jpeg?h=225&w=225
Tesco Flapjack 240G,€3.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/305968062,https://digitalcontent.api.tesco.com/v2/media/ghs/ce0a93ea-8722-4051-9b8a-9b8492de553d/7f9b387c-c455-401e-9c8d-67d5037f69bf_1586456541.jpeg?h=225&w=225
