Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Chocolate Brownie Bites 20 Pack,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.14/each,https://www.tesco.ie/groceries/en-IE/products/268394928,https://digitalcontent.api.tesco.com/v2/media/ghs/87a43cee-d746-4763-950b-e000f1bdc0b9/850d36c0-44a3-408d-8103-42bd3579e3fc.jpeg?h=225&w=225
Cadbury Dairy Milk Brownie Bites 14,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/313513738,https://digitalcontent.api.tesco.com/v2/media/ghs/72ec9483-2ba8-45cb-bb88-be4450b1b1d6/b379805f-25f1-4d5c-8f74-20fe4a8db7df_1708083729.jpeg?h=225&w=225
Tesco Millionaire Bites 22 Pack,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.12/each,https://www.tesco.ie/groceries/en-IE/products/268770627,https://digitalcontent.api.tesco.com/v2/media/ghs/fd54ac59-1980-46fa-af6a-55cfcec1a5f7/6bf248b0-eba3-4496-88bc-827d201d0cf0.jpeg?h=225&w=225
Tesco 20 Flapjack Bites,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.14/each,https://www.tesco.ie/groceries/en-IE/products/268394986,https://digitalcontent.api.tesco.com/v2/media/ghs/0930f9f0-173c-4902-8068-02bc3576355a/5b983232-7a0f-43cf-9622-a5d017da1808.jpeg?h=225&w=225
Tesco Finest Belgian Chocolate Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315387097,https://digitalcontent.api.tesco.com/v2/media/ghs/079b03cb-b52c-429a-b801-ac0ea34e1740/002c5f80-1df6-4d1a-8018-45e2a7e4e3e0_2141518600.jpeg?h=225&w=225
Tesco Brookie Bites 20 Pack,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.14/each,https://www.tesco.ie/groceries/en-IE/products/309177640,https://digitalcontent.api.tesco.com/v2/media/ghs/6bdafd4a-0864-498a-8c34-9d66b942b341/cbeaf0c0-02ab-430c-a38f-448c3e9bea31_2080497068.jpeg?h=225&w=225
Tesco Finest Sicilian Lemon Curd Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315360189,https://digitalcontent.api.tesco.com/v2/media/ghs/6f0a40e6-2882-4198-b6cf-4976fe6d9889/3a972e2c-e253-45ab-8fb4-aeec77c41ad8_754334572.jpeg?h=225&w=225
Cadbury Dairy Milk Caramel Mini Cookies X14,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.20/each,https://www.tesco.ie/groceries/en-IE/products/313755123,https://digitalcontent.api.tesco.com/v2/media/ghs/e79363bf-4a09-42bc-b4fe-2907053e00b0/fa5bd3de-484f-425f-9a09-65dba2347085_1638733651.jpeg?h=225&w=225
Tesco 15 Chocolate Cornflake Clusters,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.18/each,https://www.tesco.ie/groceries/en-IE/products/268322208,https://digitalcontent.api.tesco.com/v2/media/ghs/8e715440-32fc-4236-ac23-6d2383d95758/42f62c4b-10e1-4f14-b4b0-e8243610ca51.jpeg?h=225&w=225
Tesco Mini Milk Chocolate Cookies 20 Pack,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€0.14/each,https://www.tesco.ie/groceries/en-IE/products/268395167,https://digitalcontent.api.tesco.com/v2/media/ghs/cc584f80-da05-42d0-ae66-712e31e76fb0/1ef37c42-2bf8-43b4-867e-5017d4e78f27.jpeg?h=225&w=225
Tesco Finest Blueberry Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315340910,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Rocky Road Bites 195G,€2.75,Any 2 for €4.50 Clubcard Price - Selected Tesco Cakes And Pastries,€14.10/kg,https://www.tesco.ie/groceries/en-IE/products/309177980,https://digitalcontent.api.tesco.com/v2/media/ghs/53009213-1cf8-4c4d-a108-eca3d0314d7e/ac58925b-40c9-4e1d-811f-ce590c2da936_294843042.jpeg?h=225&w=225
