Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Ready Rolled Puff Pastry 320G,€1.29,,€4.03/kg,https://www.tesco.ie/groceries/en-IE/products/312713152,https://digitalcontent.api.tesco.com/v2/media/ghs/c1a3e137-313a-4455-b065-abfddc178d7c/3e9ffe84-7605-45b7-8c7e-4e575b824107.jpeg?h=225&w=225
Odlums Mini Mallows Pink And White 125G,€2.59,,€20.72/kg,https://www.tesco.ie/groceries/en-IE/products/307754006,https://digitalcontent.api.tesco.com/v2/media/ghs/a84dc7eb-8f78-4419-b1cf-c3b4681a3d6e/snapshotimagehandler_1281636948.jpeg?h=225&w=225
Jus-Rol Pains Au Chocolat Dough 6 Pack 275G,€3.79,,€13.78/kg,https://www.tesco.ie/groceries/en-IE/products/273798639,https://digitalcontent.api.tesco.com/v2/media/ghs/473ac12c-df95-446e-b415-55619fb4a323/2826518a-5142-4a24-a8a1-c02e8ebf43ed.jpeg?h=225&w=225
Jus-Rol Shortcrust Pastry Ready Rolled Sheet 320G,€3.91,,€12.22/kg,https://www.tesco.ie/groceries/en-IE/products/268973059,https://digitalcontent.api.tesco.com/v2/media/ghs/d131a283-7370-4a86-8468-2de9572fc471/b9ef7f09-d59a-4844-8d1c-4a2c6805b859.jpeg?h=225&w=225
Jus Rol Vol au Vents Medium 313G,€4.50,,€14.38/kg,https://www.tesco.ie/groceries/en-IE/products/259805659,https://digitalcontent.api.tesco.com/v2/media/ghs/d43f5729-276a-48bb-aa9d-75ec88c2462e/0983cf68-7b84-41db-91b1-73ff8ff41fea.jpeg?h=225&w=225
Tesco Ready Rolled Reduced Fat Pastry 320G,€1.29,,€4.03/kg,https://www.tesco.ie/groceries/en-IE/products/312988269,https://digitalcontent.api.tesco.com/v2/media/ghs/750763ba-b351-4fc2-8c82-39e3abb2e51c/bb18b65c-8579-4525-add2-58507dd45dd2.jpeg?h=225&w=225
Dr Oetker Platinum Grdleaf Gelatine 13G,€2.60,,€200.00/kg,https://www.tesco.ie/groceries/en-IE/products/304724456,https://digitalcontent.api.tesco.com/v2/media/ghs/a95a2a1d-6d3f-418b-a582-61d36b601d32/923217cf-453b-4804-8d9e-3452e2b869ab_817701173.jpeg?h=225&w=225
Hot Chip Original Chocolate Chip Cookie Dough 270G,€4.99,,€18.48/kg,https://www.tesco.ie/groceries/en-IE/products/315395954,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Betty Crocker Chocolate Chunk Muffin Mix 335G,€3.49,,€10.42/kg,https://www.tesco.ie/groceries/en-IE/products/260509940,https://digitalcontent.api.tesco.com/v2/media/ghs/de499567-5509-4e5a-82bf-5ac5afa486ec/c8f30234-3cc5-484b-aafd-6eb03026d45a_130253046.jpeg?h=225&w=225
Hot Chip White Chocolate Chip Cookie Dough 270G,€4.99,,€18.48/kg,https://www.tesco.ie/groceries/en-IE/products/315566758,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Hot Chip Salted Caramel Cookie Dough 270G,€5.50,,€20.37/kg,https://www.tesco.ie/groceries/en-IE/products/315456566,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Delice De France 4 Pack Pain Au Chocolate 320G,€3.89,,€12.16/kg,https://www.tesco.ie/groceries/en-IE/products/312832621,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
