Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Signature Large Loaf,€3.00,,€3.00/each,https://www.tesco.ie/groceries/en-IE/products/310142980,https://digitalcontent.api.tesco.com/v2/media/ghs/19dfb756-0be3-41c5-b036-548e6fe2ac07/bad31f5d-499c-4f95-a90d-75e26d420d01_635278800.jpeg?h=225&w=225
Tesco Apple Turnover 2 Pack,€2.00,,€1.00/each,https://www.tesco.ie/groceries/en-IE/products/254654263,https://digitalcontent.api.tesco.com/v2/media/ghs/0a8cea38-e1bb-40a6-b1a3-7ff9ddda0ad8/65a64291-01e7-4b71-b02e-8a0233334b0e_442235057.jpeg?h=225&w=225
Tesco Finest Fruit Scone,€1.50,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/315371965,https://digitalcontent.api.tesco.com/v2/media/ghs/045f6088-c0a7-49ee-8926-b5c62c363b08/3180a6bc-fa8e-4c38-8b90-7823949f655e_802741297.jpeg?h=225&w=225
Tesco Finest Plain Scone,€1.50,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/315379778,https://digitalcontent.api.tesco.com/v2/media/ghs/0c231d47-944c-40c6-91e2-b346ec1e6649/c879dc4b-a22b-4b66-b5b0-8c840ca629b6_1955644449.jpeg?h=225&w=225
"Tesco Finest Cheddar, Sundried Tomato And Chilli Sourdough Bloomer 500G",€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/314950322,https://digitalcontent.api.tesco.com/v2/media/ghs/42990c32-bacf-4c34-b335-2731a8d0fcdd/25abf016-18b4-4ab9-849c-ab992473e55c_284408080.jpeg?h=225&w=225
Tesco Finest Ciabatta Loaf,€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/315378422,https://digitalcontent.api.tesco.com/v2/media/ghs/2f443181-6881-4f37-b874-c1f1453b1e85/e8575fe5-69c3-49fe-91d3-8303de0ce49a_2025160779.jpeg?h=225&w=225
Tesco Finest Klmta And Hldiki Olive Batard,€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/315340947,https://digitalcontent.api.tesco.com/v2/media/ghs/1fb8a605-2d42-4fa2-8673-7958749bc1f0/89062ecc-65a0-4a67-9f99-fa6930c4f727_1348414810.jpeg?h=225&w=225
Tesco Finest Belgian Chocolate Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315387097,https://digitalcontent.api.tesco.com/v2/media/ghs/079b03cb-b52c-429a-b801-ac0ea34e1740/002c5f80-1df6-4d1a-8018-45e2a7e4e3e0_2141518600.jpeg?h=225&w=225
Tesco Finest Sicilian Lemon Curd Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315360189,https://digitalcontent.api.tesco.com/v2/media/ghs/6f0a40e6-2882-4198-b6cf-4976fe6d9889/3a972e2c-e253-45ab-8fb4-aeec77c41ad8_754334572.jpeg?h=225&w=225
Tesco Finest Vintage Cheese Boule,€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/315360039,https://digitalcontent.api.tesco.com/v2/media/ghs/25fc5c02-e5c2-47c1-a9f0-92f55096766c/89559e3c-d85a-411a-8cc4-199d67c6d17e_339427881.jpeg?h=225&w=225
Tesco Finest Blueberry Muffin,€2.00,Any 2 for €3 Clubcard Price - Selected Tesco Finest* Muffin Cakes,€2.00/each,https://www.tesco.ie/groceries/en-IE/products/315340910,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest Multiberry Scone,€1.50,Any 3 for €3 Clubcard Price - Selected *tesco Finest Scone Or Et Voila Croissant Or Danish,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/315448069,https://digitalcontent.api.tesco.com/v2/media/ghs/f4789486-e203-4721-846a-40d959d6bf76/d500c1f4-cda3-4990-85d9-5da8b613f098_1529311154.jpeg?h=225&w=225
Europastry Pop Dots Triple Chocolate 5 Pack,€2.50,,€2.50/each,https://www.tesco.ie/groceries/en-IE/products/314408608,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Europastry Pop Dots Strawberry Sensation 5 Pack,€2.50,,€2.50/each,https://www.tesco.ie/groceries/en-IE/products/314695937,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Cuisine De France Blueberry Muffin,€2.30,"COFFEE Meal Deal for €3 - Buy Tesco Smokin Bean Regular Coffee & Any 1 Tesco Scone, Kit Kat Csine De France Or Denny Products",€2.30/each,https://www.tesco.ie/groceries/en-IE/products/308488544,https://digitalcontent.api.tesco.com/v2/media/ghs/01ffff92-35d3-430e-ac95-08a3fdd4ffba/snapshotimagehandler_724583191.jpeg?h=225&w=225
Europastry Pop Dots Stractlla Bomb 5 Pack,€2.50,,€2.50/each,https://www.tesco.ie/groceries/en-IE/products/315395228,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
