Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Demi Baguette 3 Pack,€1.20,,€0.40/each,https://www.tesco.ie/groceries/en-IE/products/259578201,https://digitalcontent.api.tesco.com/v2/media/ghs/4bc73e9b-4cc4-4f6d-8da9-d8cd786974e9/snapshotimagehandler_1093192915.jpeg?h=225&w=225
Tesco Finest Sourdough,€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/297905472,https://digitalcontent.api.tesco.com/v2/media/ghs/80e59e33-90e9-40b9-9bfa-b8d4de245ff8/08914e1c-fd0c-4f1d-a472-67bb29a61dcb_976894774.jpeg?h=225&w=225
Tesco Monster Baguette 410G,€1.15,,€2.80/kg,https://www.tesco.ie/groceries/en-IE/products/289239425,https://digitalcontent.api.tesco.com/v2/media/ghs/48c7837a-3583-410a-b7fb-1264b5cb603a/snapshotimagehandler_84031817.jpeg?h=225&w=225
Tesco White Baguette 330G,€0.75,,€2.27/kg,https://www.tesco.ie/groceries/en-IE/products/289697164,https://digitalcontent.api.tesco.com/v2/media/ghs/647a00e0-b1d7-444d-87de-6ff07f0822ba/snapshotimagehandler_1063692319.jpeg?h=225&w=225
Tesco Fruit Scone 4 Pack,€2.00,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/291929159,https://digitalcontent.api.tesco.com/v2/media/ghs/46805068-0d55-4a81-8ce8-2974ef652079/snapshotimagehandler_639472774.jpeg?h=225&w=225
Tesco White Crusty Roll,€0.65,Any 3 for €1.50 Clubcard Price - Selected Tesco Rolls,€0.65/each,https://www.tesco.ie/groceries/en-IE/products/309469259,https://digitalcontent.api.tesco.com/v2/media/ghs/cab6b1b8-e036-493f-85c4-396ec078f750/d8017e7f-ae26-40c0-90a2-961a0a87c48f_750442536.jpeg?h=225&w=225
Tesco Signature Large Loaf,€3.00,,€3.00/each,https://www.tesco.ie/groceries/en-IE/products/310142980,https://digitalcontent.api.tesco.com/v2/media/ghs/19dfb756-0be3-41c5-b036-548e6fe2ac07/bad31f5d-499c-4f95-a90d-75e26d420d01_635278800.jpeg?h=225&w=225
Tesco White Stone Baked Baguette,€1.50,,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/308495944,https://digitalcontent.api.tesco.com/v2/media/ghs/21e26221-5538-4c92-bfc4-89bfce068ad9/8cde802e-d6f1-4ceb-8060-58f5d2f01c45.jpeg?h=225&w=225
Heat & Eat White Baguette 3 Pack,€2.55,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/309461614,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5b6f5a-5e37-45f6-b377-e3978c7b298f/730f4d0c-e60c-4f7c-8bc3-a99e6d02c7ae_1778719438.jpeg?h=225&w=225
Tesco Poppy Seed Kaiser Roll,€0.65,Any 3 for €1.50 Clubcard Price - Selected Tesco Rolls,€0.65/each,https://www.tesco.ie/groceries/en-IE/products/309788752,https://digitalcontent.api.tesco.com/v2/media/ghs/4d98c592-e7ec-4cdd-a1ef-3dfebf06827f/803b42ce-8ac4-4d1e-bbc1-536370165d2a_884161930.jpeg?h=225&w=225
Tesco Chunky Cheese Rolls 4 Pack,€2.45,,€0.61/each,https://www.tesco.ie/groceries/en-IE/products/306661492,https://digitalcontent.api.tesco.com/v2/media/ghs/92969989-62c0-4dfe-8c2d-904b09f0cc91/94070170-77cf-49af-8e73-6092e9334b03.jpeg?h=225&w=225
Tesco Finest* Sweet Tomato And Mixed Herb Sourdough 505G,€3.50,,€6.93/kg,https://www.tesco.ie/groceries/en-IE/products/303674049,https://digitalcontent.api.tesco.com/v2/media/ghs/5c8f3c69-da67-4cfa-9b68-bc74063702aa/snapshotimagehandler_1871168404.jpeg?h=225&w=225
Tesco Berry Scone 4 Pack,€2.00,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/291929257,https://digitalcontent.api.tesco.com/v2/media/ghs/fe175654-9fe1-4817-9872-530b349b703d/snapshotimagehandler_796399073.jpeg?h=225&w=225
Tesco Plain Scone 4 Pack,€2.00,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/291929067,https://digitalcontent.api.tesco.com/v2/media/ghs/e75a2d6b-2239-4094-acf0-7fec6596806e/snapshotimagehandler_398017119.jpeg?h=225&w=225
