Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Demi Baguette 3 Pack,€1.20,,€0.40/each,https://www.tesco.ie/groceries/en-IE/products/259578201,https://digitalcontent.api.tesco.com/v2/media/ghs/4bc73e9b-4cc4-4f6d-8da9-d8cd786974e9/snapshotimagehandler_1093192915.jpeg?h=225&w=225
Tesco Monster Baguette 410G,€1.15,,€2.80/kg,https://www.tesco.ie/groceries/en-IE/products/289239425,https://digitalcontent.api.tesco.com/v2/media/ghs/48c7837a-3583-410a-b7fb-1264b5cb603a/snapshotimagehandler_84031817.jpeg?h=225&w=225
Tesco White Baguette 330G,€0.75,,€2.27/kg,https://www.tesco.ie/groceries/en-IE/products/289697164,https://digitalcontent.api.tesco.com/v2/media/ghs/647a00e0-b1d7-444d-87de-6ff07f0822ba/snapshotimagehandler_1063692319.jpeg?h=225&w=225
Tesco White Stone Baked Baguette,€1.50,,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/308495944,https://digitalcontent.api.tesco.com/v2/media/ghs/21e26221-5538-4c92-bfc4-89bfce068ad9/8cde802e-d6f1-4ceb-8060-58f5d2f01c45.jpeg?h=225&w=225
Heat & Eat White Baguette 3 Pack,€2.55,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/309461614,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5b6f5a-5e37-45f6-b377-e3978c7b298f/730f4d0c-e60c-4f7c-8bc3-a99e6d02c7ae_1778719438.jpeg?h=225&w=225
Tesco Demi Baguette 115G,€0.49,,€4.26/kg,https://www.tesco.ie/groceries/en-IE/products/252019126,https://digitalcontent.api.tesco.com/v2/media/ghs/2e15e6d6-a8b7-448e-addb-9983414f95f6/snapshotimagehandler_1190900984.jpeg?h=225&w=225
Heat & Eat Seeded Baguette 3 Pack,€2.55,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/309454139,https://digitalcontent.api.tesco.com/v2/media/ghs/da44d9c9-41c6-4ecb-af05-ea584bd803a8/f2643135-f70b-4b5a-abe8-3aac27624c65_14738431.jpeg?h=225&w=225
Tesco Petit Pain 70G,€0.35,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/252017128,https://digitalcontent.api.tesco.com/v2/media/ghs/52b4d61b-13b3-4131-852e-061290dcaecf/snapshotimagehandler_1265770760.jpeg?h=225&w=225
Tesco Seeded Stone Baked Baguette,€1.50,,€1.50/each,https://www.tesco.ie/groceries/en-IE/products/308477851,https://digitalcontent.api.tesco.com/v2/media/ghs/5cee8b5d-cf24-4c3d-ada6-38f62a608a30/60c3bab9-48f7-497c-b3cc-25045122adb1.jpeg?h=225&w=225
Tesco Malted Malted Wheat Crusty Roll,€0.40,,€0.40/each,https://www.tesco.ie/groceries/en-IE/products/312986029,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
