Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Sourdough,€3.50,,€3.50/each,https://www.tesco.ie/groceries/en-IE/products/297905472,https://digitalcontent.api.tesco.com/v2/media/ghs/80e59e33-90e9-40b9-9bfa-b8d4de245ff8/08914e1c-fd0c-4f1d-a472-67bb29a61dcb_976894774.jpeg?h=225&w=225
Tesco Signature Large Loaf,€3.00,,€3.00/each,https://www.tesco.ie/groceries/en-IE/products/310142980,https://digitalcontent.api.tesco.com/v2/media/ghs/19dfb756-0be3-41c5-b036-548e6fe2ac07/bad31f5d-499c-4f95-a90d-75e26d420d01_635278800.jpeg?h=225&w=225
"Tesco Finest C/Berry,S/Flwr& Pumpkinblmer505g",€3.50,,€6.93/kg,https://www.tesco.ie/groceries/en-IE/products/297905512,https://digitalcontent.api.tesco.com/v2/media/ghs/5165266b-4257-4ec3-b2b9-a849d2900bf3/c7692317-76cc-4c92-b045-720b53915eee_1166105468.jpeg?h=225&w=225
Staffords Batch Crusty Rolls 4 Pack,€2.50,,€0.62/each,https://www.tesco.ie/groceries/en-IE/products/308111599,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest Ancient Grains Pave 450G,€3.50,,€7.78/kg,https://www.tesco.ie/groceries/en-IE/products/297905443,https://digitalcontent.api.tesco.com/v2/media/ghs/d3d4e4b5-0499-4459-81ba-9b25e00d922e/671aea89-17fc-41d9-93be-495c9afeaa8c_1802825474.jpeg?h=225&w=225
Staffords French Style Vienna Loaf,€2.75,,€2.75/each,https://www.tesco.ie/groceries/en-IE/products/308822846,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Stafford's Bkry Stafford's Bkry White Pan 700G,€2.50,,€3.57/kg,https://www.tesco.ie/groceries/en-IE/products/313615664,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Stafford's Bkry Batch Bread 440G,€2.50,,€2.50/each,https://www.tesco.ie/groceries/en-IE/products/313835599,https://digitalcontent.api.tesco.com/v2/media/ghs/2079d3c6-1aa1-44b4-8956-e4fc5698562f/785203de-6c5d-4c86-ab91-3b31b447dbe8_1682627504.jpeg?h=225&w=225
Batch Large 650G,€2.35,,€3.62/kg,https://www.tesco.ie/groceries/en-IE/products/264299627,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
High Fibre Small Pan 350G,€1.49,,€4.26/kg,https://www.tesco.ie/groceries/en-IE/products/264299437,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
