Title,Price,Promotional Price,Price Per,Product URL,Image URL
Mccambridge Gluten Free Soda Bread 550G,€3.95,,€7.18/kg,https://www.tesco.ie/groceries/en-IE/products/296466358,https://digitalcontent.api.tesco.com/v2/media/ghs/6b1b4f34-ec80-4d2b-b275-349dfe4fc1f0/snapshotimagehandler_798506306.jpeg?h=225&w=225
Genius Gut Lovin Tiger Bloomer Loaf 400G,€3.50,,€8.75/kg,https://www.tesco.ie/groceries/en-IE/products/308495760,https://digitalcontent.api.tesco.com/v2/media/ghs/a73370ab-a89d-426a-9b09-8c131a8ef27a/651983b3-777d-4ecf-a222-4e15af2c7500.jpeg?h=225&w=225
Livfree Gluten Free White Bread 400G,€2.25,,€5.62/kg,https://www.tesco.ie/groceries/en-IE/products/308846956,https://digitalcontent.api.tesco.com/v2/media/ghs/38f456ff-7628-4787-b464-de5231b95587/a1da6fd0-ec73-40f5-b905-cf719196e56c_164520071.jpeg?h=225&w=225
Genius Gluten Free Brioche Burger Buns 2 Pack,€2.10,,€0.70/each,https://www.tesco.ie/groceries/en-IE/products/301810791,https://digitalcontent.api.tesco.com/v2/media/ghs/2cab071c-5c36-4f2e-9ab1-dee00a8c53aa/10a425ea-7747-4d8e-83c8-b6ed46aa60ca_91433647.jpeg?h=225&w=225
Livfree Gluten Free Multi Seed Bread 400G,€2.25,,€5.62/kg,https://www.tesco.ie/groceries/en-IE/products/308462309,https://digitalcontent.api.tesco.com/v2/media/ghs/fc68bf2f-9b26-4e08-b53b-824a6be97eb9/4e417f1b-7b0b-4446-ac57-29124cc60c28_1903351549.jpeg?h=225&w=225
Tesco Free From 4 White Tortilla Wraps,€3.70,,€0.92/each,https://www.tesco.ie/groceries/en-IE/products/303579681,https://digitalcontent.api.tesco.com/v2/media/ghs/f2a6742e-512a-4f7f-8a47-994af8e6f053/8e2b15e0-3ed0-49cd-8ece-508e65db4ebb.jpeg?h=225&w=225
Schar White Ciabatta Rolls 200G,€3.59,,€17.95/kg,https://www.tesco.ie/groceries/en-IE/products/291228310,https://digitalcontent.api.tesco.com/v2/media/ghs/cc36369d-7a0f-49ec-8a8c-6e2fe0832b56/c11c9add-77c2-4ecc-9490-9da7ce1ef44b_1642856083.jpeg?h=225&w=225
Genius Gluten Free Soft White Toastie Loaf 430G,€4.00,,€9.30/kg,https://www.tesco.ie/groceries/en-IE/products/313615192,https://digitalcontent.api.tesco.com/v2/media/ghs/c8c9fb2f-5d1b-45a6-b1e1-d56b37a26a91/ed2693db-aa8e-4fb6-ae64-5b672d65b955.jpeg?h=225&w=225
Tesco Free From Sliced White Bread 550G,€3.00,,€5.46/kg,https://www.tesco.ie/groceries/en-IE/products/276605133,https://digitalcontent.api.tesco.com/v2/media/ghs/445ab528-457c-4d6e-84ab-b86f4c21712f/b2acbb40-8bbf-4509-b68d-7e8cb0bf4f7b.jpeg?h=225&w=225
Schar Wholesome White Loaf,€4.59,,€15.30/kg,https://www.tesco.ie/groceries/en-IE/products/290819809,https://digitalcontent.api.tesco.com/v2/media/ghs/4ab8713c-2602-4ff1-a845-dfd3f8879f16/932fa3cb-06f7-4c95-a6f2-39087154f7c9_263765913.jpeg?h=225&w=225
