Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Grated Mix Mozzarella And Cheddar 250G,€2.09,,€8.36/kg,https://www.tesco.ie/groceries/en-IE/products/277074332,https://digitalcontent.api.tesco.com/v2/media/ghs/42218733-948e-40c7-9f52-ac3911a785f5/5aff8996-5c9a-4eca-b3c3-c7c3acfc6593_1137873117.jpeg?h=225&w=225
Tesco Grated Mozzarella 250G,€1.59,,€6.36/kg,https://www.tesco.ie/groceries/en-IE/products/315163872,https://digitalcontent.api.tesco.com/v2/media/ghs/1789de50-c318-4756-8290-b2493f465682/a1f05d51-4102-4bf4-a758-1cac317f043b_1162659834.jpeg?h=225&w=225
Irish Mild Red Sliced Cheddar 200G,€1.79,,€8.95/kg,https://www.tesco.ie/groceries/en-IE/products/290160752,https://digitalcontent.api.tesco.com/v2/media/ghs/55fab233-a4a1-4046-8ac3-66cefaea2e7d/2decbe8f-9cb7-4fd0-8246-6d004c1696bf_1665016261.jpeg?h=225&w=225
Tesco Grated Irish Mature Red Cheddar 250G,€2.09,,€8.36/kg,https://www.tesco.ie/groceries/en-IE/products/277074234,https://digitalcontent.api.tesco.com/v2/media/ghs/30f76fd6-8432-4a00-a1ba-7943e6de55ae/597d0d90-6833-4e6b-9744-641a95223ce7_239866891.jpeg?h=225&w=225
Tesco Grated Parmigiano Reggiano 100G,€1.99,,€19.90/kg,https://www.tesco.ie/groceries/en-IE/products/255081368,https://digitalcontent.api.tesco.com/v2/media/ghs/5a1f0986-05a3-4645-bd27-2c089b0c0141/7827044e-c0e7-41f0-899d-308436863eed.jpeg?h=225&w=225
Philadelphia Original Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311678197,https://digitalcontent.api.tesco.com/v2/media/ghs/4871bb58-75b9-41b8-b12e-62124d6fd1c0/cc16a017-68b5-40aa-bbf6-109d16712bfe_107500860.jpeg?h=225&w=225
Creamfields Mozzarella 210G,€0.65,,€5.20/kg DR.WT,https://www.tesco.ie/groceries/en-IE/products/299914475,https://digitalcontent.api.tesco.com/v2/media/ghs/73cc1f21-c10b-4f4c-856f-af46f671f0d7/8d6053e4-887e-451e-b25d-35e7ee7bb98e.jpeg?h=225&w=225
Tesco Mild Red Cheddar 400G,€2.27,,€5.68/kg,https://www.tesco.ie/groceries/en-IE/products/300736039,https://digitalcontent.api.tesco.com/v2/media/ghs/766df8f2-d32d-408b-b812-a14464ae2bc6/9082507a-b600-4f5d-856c-0fd2d3e2e4ee_75579824.jpeg?h=225&w=225
Tesco Greek Feta Cheese 200 G,€1.49,,€7.45/kg,https://www.tesco.ie/groceries/en-IE/products/260671607,https://digitalcontent.api.tesco.com/v2/media/ghs/a8298695-cf15-4830-a944-b77478343e2a/174a4705-8eb2-41fc-9775-c236fc6d1027.jpeg?h=225&w=225
Tesco Mature Sliced Irish Red Cheddar 250G,€2.19,,€8.76/kg,https://www.tesco.ie/groceries/en-IE/products/285926344,https://digitalcontent.api.tesco.com/v2/media/ghs/bec87aab-1c09-47c3-ac74-176dcf4fdc1b/64875c93-5ccf-4ef9-8669-18da47bfbcb9_967177136.jpeg?h=225&w=225
