Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Mild Red Cheddar 400G,€2.27,,€5.68/kg,https://www.tesco.ie/groceries/en-IE/products/300736039,https://digitalcontent.api.tesco.com/v2/media/ghs/766df8f2-d32d-408b-b812-a14464ae2bc6/9082507a-b600-4f5d-856c-0fd2d3e2e4ee_75579824.jpeg?h=225&w=225
Kilmeaden Mature Red 200G Fw,€2.99,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€14.95/kg,https://www.tesco.ie/groceries/en-IE/products/268828181,https://digitalcontent.api.tesco.com/v2/media/ghs/9f3b0dd3-55a3-47b1-80ef-1a881f5b1489/snapshotimagehandler_633867728.jpeg?h=225&w=225
Tesco Mature Irish Red Cheddar 400G,€2.89,,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/300742705,https://digitalcontent.api.tesco.com/v2/media/ghs/69c54e6d-5fd1-4281-9522-2702d2539082/ac32f0b2-8176-4a42-9abe-ebd553af7658_297795118.jpeg?h=225&w=225
Tesco Mild White Cheddar 400G,€2.27,,€5.68/kg,https://www.tesco.ie/groceries/en-IE/products/300736431,https://digitalcontent.api.tesco.com/v2/media/ghs/de75c764-611c-4d82-98a2-f7fb20329877/5616f40e-4687-455d-85d8-96e9226aa284_1206385187.jpeg?h=225&w=225
Charleville Select Red Cheddar 200 G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/250841353,https://digitalcontent.api.tesco.com/v2/media/ghs/255dac42-2155-4ae5-82b3-6ff48f8cbcad/bb5723bf-bcfb-4666-9932-00764ea28e7e_1778961167.jpeg?h=225&w=225
Tesco Medium Irish White Cheddar 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/285925679,https://digitalcontent.api.tesco.com/v2/media/ghs/1e83f1a4-4041-4342-ba13-66642ff0e648/dc5e8edd-e126-43d4-9102-f9f5675a02c0_150483320.jpeg?h=225&w=225
Kilmeadan Fully Mature White 200G,€3.50,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/268828215,https://digitalcontent.api.tesco.com/v2/media/ghs/8ee94381-4a13-4fef-87b1-d01c1bc4a34a/snapshotimagehandler_1672027449.jpeg?h=225&w=225
Tesco Mature Irish White Cheddar 400G,€2.89,,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/300742930,https://digitalcontent.api.tesco.com/v2/media/ghs/4e014360-86a3-4901-902d-14906895632e/snapshotimagehandler_1124712677.jpeg?h=225&w=225
Tesco Extra Mature Irish White Cheddar 400G,€3.39,,€8.48/kg,https://www.tesco.ie/groceries/en-IE/products/300736539,https://digitalcontent.api.tesco.com/v2/media/ghs/552cb5b5-5660-4630-978b-4e9fc02d8ffd/snapshotimagehandler_545234458.jpeg?h=225&w=225
Tesco Medium Irish Red Cheddar 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/285925443,https://digitalcontent.api.tesco.com/v2/media/ghs/5fdc1e03-385b-439a-9747-ad3236bc726c/snapshotimagehandler_1735419925.jpeg?h=225&w=225
Tesco Vintage Irish White Cheddar 400G,€3.59,,€8.98/kg,https://www.tesco.ie/groceries/en-IE/products/285925642,https://digitalcontent.api.tesco.com/v2/media/ghs/2c85dd7a-e391-4c2f-9412-de83f90e618e/8aebea6b-9462-4d21-82db-a1c3a0afa9b4_810423442.jpeg?h=225&w=225
Kilmeadan Mature White 200G,€2.99,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€14.95/kg,https://www.tesco.ie/groceries/en-IE/products/268828209,https://digitalcontent.api.tesco.com/v2/media/ghs/7f91c5b1-dd4e-45ab-97e5-e7d1bda27f9e/snapshotimagehandler_1094588655.jpeg?h=225&w=225
Creamfields 10 Mild Red Chedder Slices 200G,€1.65,,€8.25/kg,https://www.tesco.ie/groceries/en-IE/products/313010924,https://digitalcontent.api.tesco.com/v2/media/ghs/c325abd6-1414-448c-988a-b8093a4a278b/3d2698b7-aeeb-4d28-bad8-da8160e3f249_1471665367.jpeg?h=225&w=225
Wexford Strong & Vintage 200G,€3.65,,€18.25/kg,https://www.tesco.ie/groceries/en-IE/products/262524906,https://digitalcontent.api.tesco.com/v2/media/ghs/80eb03e2-57aa-4d3d-91f3-15f83773f649/e5cc78b9-23bd-44ef-aafe-cc9cbe1098dc_729253475.jpeg?h=225&w=225
Tesco 50% Reduced Fat Mature Cheese 200G,€2.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/307364554,https://digitalcontent.api.tesco.com/v2/media/ghs/6128f83d-5be4-4ac7-bc7a-a7625910f5c7/308ed2d6-69d3-4228-8dc0-ba0d1dc65b2b_1516036689.jpeg?h=225&w=225
Charleville Mature Red Cheddar 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/250839604,https://digitalcontent.api.tesco.com/v2/media/ghs/b06cf8e8-26e8-4e9e-bd80-da7c50a30b1d/271cf4fe-371a-43bb-b146-6567f3762e41_303538716.jpeg?h=225&w=225
The Laughing Cow Cheese Dip & Crunch Spead 140 G,€2.75,,€19.64/kg,https://www.tesco.ie/groceries/en-IE/products/282111218,https://digitalcontent.api.tesco.com/v2/media/ghs/f3df58e9-1c55-44a7-a62e-aeb133deac12/f218af79-e090-4e53-9a14-b59dcd63a8bf.jpeg?h=225&w=225
Low Low White Cheddar Cheese Slices 160 G,€3.50,€2.50 Clubcard Price,€21.88/kg,https://www.tesco.ie/groceries/en-IE/products/274560090,https://digitalcontent.api.tesco.com/v2/media/ghs/0c383132-5df5-480e-9e5b-a4cc116af7df/70ffa23b-33d2-475b-92bf-2f00c30b8f41_1410064018.jpeg?h=225&w=225
Tesco Cheddar Irish Mature Red 200G,€2.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/277065562,https://digitalcontent.api.tesco.com/v2/media/ghs/4d9c2c43-631c-4047-ae48-88100f7bdfa3/snapshotimagehandler_1473351285.jpeg?h=225&w=225
Tesco Finest Vintage Irish White Cheddar 250G,€2.49,,€9.96/kg,https://www.tesco.ie/groceries/en-IE/products/310140665,https://digitalcontent.api.tesco.com/v2/media/ghs/b711c59b-1c93-4d23-90f0-d3ba7a5320ad/27a35a0e-dc06-4423-b7cc-37bba88e43f0_714583759.jpeg?h=225&w=225
