Title,Price,Promotional Price,Price Per,Product URL,Image URL
Cheestrings Original 8Pk Cheese Snacks 160G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/273196994,https://digitalcontent.api.tesco.com/v2/media/ghs/08a14dd7-1c8b-4d55-af19-7667009a9020/7432e7b7-d1bb-41e1-afc6-6170ef65ea8d.jpeg?h=225&w=225
Dairylea Dunkers Jumbo Tubes Snacks 4 pack 4x41G,€3.50,€2.50 Clubcard Price,€21.34/kg,https://www.tesco.ie/groceries/en-IE/products/308856345,https://digitalcontent.api.tesco.com/v2/media/ghs/11e05e89-1c95-4081-bd87-4b492b660501/4993fe89-b1f0-4608-899d-1c98f1b8caec_1965826466.jpeg?h=225&w=225
Kerry Easi Singles Original 20 Slices 340G,€3.69,€2.50 Clubcard Price,€10.85/kg,https://www.tesco.ie/groceries/en-IE/products/313844487,https://digitalcontent.api.tesco.com/v2/media/ghs/8872773a-d422-4e08-9851-37efe1e0425d/e7618b6b-5aa1-4bda-aef1-447fea7d2a55_1264046145.jpeg?h=225&w=225
Cheestrings Twisted Cheese Snacks 8Pk 160G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/273197112,https://digitalcontent.api.tesco.com/v2/media/ghs/d5773573-d8b8-41c1-9b8d-b7433e6e6600/e3099ad2-568b-4749-b03b-fb69f78d0171.jpeg?h=225&w=225
Mini Babybel 240G 12 Pack,€3.95,,€16.46/kg,https://www.tesco.ie/groceries/en-IE/products/252971063,https://digitalcontent.api.tesco.com/v2/media/ghs/5a6d5d90-f8d3-4852-8689-58b202265624/069dcf01-7003-4505-9124-e47a8d22faa3.jpeg?h=225&w=225
"Mini Babybel Original Cheese 6 Pack, 120 G",€2.80,€2.25 Clubcard Price,€23.33/kg,https://www.tesco.ie/groceries/en-IE/products/253780736,https://digitalcontent.api.tesco.com/v2/media/ghs/b2412946-f312-4bc3-ab6c-05142a555061/9daff8b9-a4c4-4dd9-896d-30941239d46c.jpeg?h=225&w=225
Laughing Cow Original Cheese Spread Triangles 8 Pack 133G,€2.65,€2.00 Clubcard Price,€19.92/kg,https://www.tesco.ie/groceries/en-IE/products/309490147,https://digitalcontent.api.tesco.com/v2/media/ghs/eb66aa7b-801e-4ef4-8d3e-dd41ed87641f/ea38ffed-c93b-4ff1-9766-9710d5228382_891695459.jpeg?h=225&w=225
Cheestrings Original Cheese Snacks 4 Pack 80G,€2.25,,€28.12/kg,https://www.tesco.ie/groceries/en-IE/products/273197498,https://digitalcontent.api.tesco.com/v2/media/ghs/2b53576e-f1f1-4c69-83a7-a8dd0d077064/6f0c9b56-e5a2-455b-8512-a0c80bb87bb5.jpeg?h=225&w=225
Dairylea Dunkers Nacho Cheese Snacks 4 pack 4x43G,€3.50,€2.50 Clubcard Price,€20.35/kg,https://www.tesco.ie/groceries/en-IE/products/308833879,https://digitalcontent.api.tesco.com/v2/media/ghs/2af4968d-aa97-42c7-b901-079c39388f30/01a31acc-cbb8-4e5a-9a86-a1a1a8847f5d_360880100.jpeg?h=225&w=225
Dairylea Lunchers Ham & Cheese Snacks 74g,€2.25,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€30.40/kg,https://www.tesco.ie/groceries/en-IE/products/314579557,https://digitalcontent.api.tesco.com/v2/media/ghs/4f6e426a-e8ed-43e5-9921-dd61c2eee85a/ecd42354-bb9c-402e-a064-84e42573870a_128080515.jpeg?h=225&w=225
