Title,Price,Promotional Price,Price Per,Product URL,Image URL
Philadelphia Original Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311678197,https://digitalcontent.api.tesco.com/v2/media/ghs/4871bb58-75b9-41b8-b12e-62124d6fd1c0/cc16a017-68b5-40aa-bbf6-109d16712bfe_107500860.jpeg?h=225&w=225
Creamfields Soft Cheese 200G,€0.99,,€4.95/kg,https://www.tesco.ie/groceries/en-IE/products/299982577,https://digitalcontent.api.tesco.com/v2/media/ghs/07ce8bea-cc52-4ccd-b721-1a668eda28fd/51c2623f-367a-49ee-8445-bf88047856b2_336211429.jpeg?h=225&w=225
Tesco Soft Cheese Plain Full Fat 200G,€1.19,,€5.95/kg,https://www.tesco.ie/groceries/en-IE/products/303629634,https://digitalcontent.api.tesco.com/v2/media/ghs/29d0b394-79b8-43cc-b47f-b4a5adcea1ed/31698b2e-2fce-4761-9a5c-d5ca26966a13.jpeg?h=225&w=225
Philadelphia Lightest Low Fat Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311679395,https://digitalcontent.api.tesco.com/v2/media/ghs/4fb4199b-c8cd-41cc-a477-c243a9d866d4/188c1e70-e043-4f97-95dd-a3f56952b1ad_1778006146.jpeg?h=225&w=225
Philadelphia Light Soft Cream Cheese Snacks Mini Tub 4 Pack 140G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€18.93/kg,https://www.tesco.ie/groceries/en-IE/products/255721257,https://digitalcontent.api.tesco.com/v2/media/ghs/f2be3871-2f69-495d-b151-16b6bdcdc8cf/6996d4c6-a9e0-49ed-bc2a-b0283d2e3204.jpeg?h=225&w=225
Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€18.93/kg,https://www.tesco.ie/groceries/en-IE/products/293353820,https://digitalcontent.api.tesco.com/v2/media/ghs/63db54d0-9dea-46a9-8e71-56d99f9a7f3f/d6c15897-fb1a-462e-9fdb-e53fc47de7f5_835133652.jpeg?h=225&w=225
Philadelphia Original Soft Cream Cheese 280G,€4.00,,€14.29/kg,https://www.tesco.ie/groceries/en-IE/products/311687892,https://digitalcontent.api.tesco.com/v2/media/ghs/84571edc-89eb-411e-876a-53e0836e7e03/1498a2c3-105d-41bb-aa4c-d5b484f10ea1_1489895684.jpeg?h=225&w=225
Tesco 50% Less Fat Soft Cheese 200G,€1.19,,€5.95/kg,https://www.tesco.ie/groceries/en-IE/products/303618048,https://digitalcontent.api.tesco.com/v2/media/ghs/5a1ab216-f8e4-4daf-b65b-50597492354a/0c094a17-baf7-4753-a5b0-6f1820123d47.jpeg?h=225&w=225
Philadelphia Garlic & Herbs Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311794004,https://digitalcontent.api.tesco.com/v2/media/ghs/3114c847-2b5e-4637-aef6-b121c1836e87/74b024e5-d09a-45ba-a394-078e687b35e5_781799042.jpeg?h=225&w=225
Philadelphia Light Low Fat Soft Cream Cheese 165G,€2.65,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€16.06/kg,https://www.tesco.ie/groceries/en-IE/products/311786803,https://digitalcontent.api.tesco.com/v2/media/ghs/bef70224-7d5b-467a-a370-39ac1adb328f/e59f1ec2-7240-43eb-ad25-07eda0fc466b_807399682.jpeg?h=225&w=225
