Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Grated Mix Mozzarella And Cheddar 250G,€2.09,,€8.36/kg,https://www.tesco.ie/groceries/en-IE/products/277074332,https://digitalcontent.api.tesco.com/v2/media/ghs/42218733-948e-40c7-9f52-ac3911a785f5/5aff8996-5c9a-4eca-b3c3-c7c3acfc6593_1137873117.jpeg?h=225&w=225
Tesco Grated Mozzarella 250G,€1.59,,€6.36/kg,https://www.tesco.ie/groceries/en-IE/products/315163872,https://digitalcontent.api.tesco.com/v2/media/ghs/1789de50-c318-4756-8290-b2493f465682/a1f05d51-4102-4bf4-a758-1cac317f043b_1162659834.jpeg?h=225&w=225
Irish Mild Red Sliced Cheddar 200G,€1.79,,€8.95/kg,https://www.tesco.ie/groceries/en-IE/products/290160752,https://digitalcontent.api.tesco.com/v2/media/ghs/55fab233-a4a1-4046-8ac3-66cefaea2e7d/2decbe8f-9cb7-4fd0-8246-6d004c1696bf_1665016261.jpeg?h=225&w=225
Tesco Grated Irish Mature Red Cheddar 250G,€2.09,,€8.36/kg,https://www.tesco.ie/groceries/en-IE/products/277074234,https://digitalcontent.api.tesco.com/v2/media/ghs/30f76fd6-8432-4a00-a1ba-7943e6de55ae/597d0d90-6833-4e6b-9744-641a95223ce7_239866891.jpeg?h=225&w=225
Tesco Mature Sliced Irish Red Cheddar 250G,€2.19,,€8.76/kg,https://www.tesco.ie/groceries/en-IE/products/285926344,https://digitalcontent.api.tesco.com/v2/media/ghs/bec87aab-1c09-47c3-ac74-176dcf4fdc1b/64875c93-5ccf-4ef9-8669-18da47bfbcb9_967177136.jpeg?h=225&w=225
Tesco 30% Reduced Fat Mature Cheese Slices 250G,€2.29,,€9.16/kg,https://www.tesco.ie/groceries/en-IE/products/306492962,https://digitalcontent.api.tesco.com/v2/media/ghs/c28dc750-32b3-40ca-b4ea-204cf512e7ae/b913a91c-af1e-41f0-be73-4f5187732440_1611922167.jpeg?h=225&w=225
Tesco 30% Reduced Fat Mature Grated Cheese 250G,€2.19,,€8.76/kg,https://www.tesco.ie/groceries/en-IE/products/306497686,https://digitalcontent.api.tesco.com/v2/media/ghs/dc9e335f-4fe8-4849-80d1-2e140cb42d28/snapshotimagehandler_666989830.jpeg?h=225&w=225
Creamfields 15 Cheese Slices 255G,€0.89,,€3.49/kg,https://www.tesco.ie/groceries/en-IE/products/307760874,https://digitalcontent.api.tesco.com/v2/media/ghs/4ffad837-7082-472d-bafa-bcdbd0e9a221/5b28fc0e-8eea-4e78-afa4-9041f5134dee_47173964.jpeg?h=225&w=225
Tesco Gouda Slices 250G,€2.00,,€8.00/kg,https://www.tesco.ie/groceries/en-IE/products/307758814,https://digitalcontent.api.tesco.com/v2/media/ghs/b0394516-bc5a-45fe-9057-57d2d4a7bf05/8ade85c9-b69b-431b-8dbb-38ed674aba53_1509924243.jpeg?h=225&w=225
Irish Mild White Sliced Cheddar 200G,€1.79,,€8.95/kg,https://www.tesco.ie/groceries/en-IE/products/290160873,https://digitalcontent.api.tesco.com/v2/media/ghs/eea3aa5a-9703-4bb1-8d81-e2eb8ce96523/258dcd1e-8369-4a3c-b89c-a91416868852_288675050.jpeg?h=225&w=225
