Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Grated Mozzarella 250G,€1.59,,€6.36/kg,https://www.tesco.ie/groceries/en-IE/products/315163872,https://digitalcontent.api.tesco.com/v2/media/ghs/1789de50-c318-4756-8290-b2493f465682/a1f05d51-4102-4bf4-a758-1cac317f043b_1162659834.jpeg?h=225&w=225
Tesco Grated Parmigiano Reggiano 100G,€1.99,,€19.90/kg,https://www.tesco.ie/groceries/en-IE/products/255081368,https://digitalcontent.api.tesco.com/v2/media/ghs/5a1f0986-05a3-4645-bd27-2c089b0c0141/7827044e-c0e7-41f0-899d-308436863eed.jpeg?h=225&w=225
Creamfields Mozzarella 210G,€0.65,,€5.20/kg DR.WT,https://www.tesco.ie/groceries/en-IE/products/299914475,https://digitalcontent.api.tesco.com/v2/media/ghs/73cc1f21-c10b-4f4c-856f-af46f671f0d7/8d6053e4-887e-451e-b25d-35e7ee7bb98e.jpeg?h=225&w=225
Tesco Greek Feta Cheese 200 G,€1.49,,€7.45/kg,https://www.tesco.ie/groceries/en-IE/products/260671607,https://digitalcontent.api.tesco.com/v2/media/ghs/a8298695-cf15-4830-a944-b77478343e2a/174a4705-8eb2-41fc-9775-c236fc6d1027.jpeg?h=225&w=225
Tesco Parmigiano Reggiano Cheese 200 G,€3.49,,€17.45/kg,https://www.tesco.ie/groceries/en-IE/products/260663698,https://digitalcontent.api.tesco.com/v2/media/ghs/98fb43b0-2452-4fff-8ac5-70f2d54fc52c/70eb52de-b9e2-4b91-81e5-6e1947d9b668.jpeg?h=225&w=225
Tesco Wensleydale Cranberry Cheese 200 G,€2.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/258771630,https://digitalcontent.api.tesco.com/v2/media/ghs/96727817-1807-4d7c-b81c-fafefd55b615/e460914f-fc59-48b0-ba6d-4de5528091a8.jpeg?h=225&w=225
Boursin Garlic & Herb Soft Cheese 150 G,€3.75,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/250692966,https://digitalcontent.api.tesco.com/v2/media/ghs/427afc6a-c9c7-4605-92d7-f965f6675605/a9997d49-5f6e-48c7-b4ae-71d101cccade.jpeg?h=225&w=225
Tesco Finest Parmigiano Reggiano 170 G,€3.49,Any 3 for €10 Clubcard Price - Selected Cheese Products,€20.53/kg,https://www.tesco.ie/groceries/en-IE/products/276772509,https://digitalcontent.api.tesco.com/v2/media/ghs/14c751cf-0705-477c-bbd8-0f6dccacec0b/e713f553-914a-4fd9-99eb-83e4bac525ba.jpeg?h=225&w=225
Tesco Halloumi 225G,€2.75,,€12.22/kg,https://www.tesco.ie/groceries/en-IE/products/295580293,https://digitalcontent.api.tesco.com/v2/media/ghs/de691b26-2564-4cb2-b4fb-2bd23d381a86/c6f987b5-f1a2-49f0-905a-1df38dbbd5bd.jpeg?h=225&w=225
Tesco Mascarpone Cheese 250 G,€1.39,,€5.56/kg,https://www.tesco.ie/groceries/en-IE/products/258015530,https://digitalcontent.api.tesco.com/v2/media/ghs/a918282a-0b8c-4b5d-9c4a-1866dc8b32f6/7d3378b0-2b84-4d45-8c8f-2c84f36ee87b.jpeg?h=225&w=225
