Title,Price,Promotional Price,Price Per,Product URL,Image URL
Couverture Desserts Chocolate Fudge Cake 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/309171076,https://digitalcontent.api.tesco.com/v2/media/ghs/84a23311-1007-455d-8276-ab2ef83f4955/2a020095-24f6-456b-b127-d01449601d62_930589787.jpeg?h=225&w=225
Galberts Profiteroles 420G,€5.99,,€14.26/kg,https://www.tesco.ie/groceries/en-IE/products/305961708,https://digitalcontent.api.tesco.com/v2/media/ghs/83ba4c41-046a-4524-beb9-930471159a73/400237f8-bdd7-4ac0-a28f-309a04253430_192502220.jpeg?h=225&w=225
Couverture Desserts Cappuccino Cake 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/309206100,https://digitalcontent.api.tesco.com/v2/media/ghs/d26ef7d8-57aa-47a6-9047-800ab7ce0e71/snapshotimagehandler_2122600479.jpeg?h=225&w=225
Couverture Desserts Chocolate Fudge Cake 680G,€9.15,,€13.46/kg,https://www.tesco.ie/groceries/en-IE/products/309185267,https://digitalcontent.api.tesco.com/v2/media/ghs/8b8ef48e-b0f7-4f95-95b7-6afebeea2310/snapshotimagehandler_96880985.jpeg?h=225&w=225
Staffords Bakery Belgian Chocolate Ganache Cake 520G,€7.99,,€15.36/kg,https://www.tesco.ie/groceries/en-IE/products/301745885,https://digitalcontent.api.tesco.com/v2/media/ghs/275d9a44-87ef-48b2-ad1e-a044ee798ce3/1d0c7494-3e17-4009-8dd3-3d7776d0e9ca_1675797407.jpeg?h=225&w=225
Couverture Desserts Zesty Lemon Cake 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/309205124,https://digitalcontent.api.tesco.com/v2/media/ghs/2a5a3b82-59c7-4861-95d5-fa783bc50a29/snapshotimagehandler_309611577.jpeg?h=225&w=225
Stafford's Bkry Biscuit Cake 680G,€7.99,,€10.24/kg,https://www.tesco.ie/groceries/en-IE/products/301745925,https://digitalcontent.api.tesco.com/v2/media/ghs/b1c0be09-674e-47ef-b039-3bd15d5754b1/snapshotimagehandler_1903928621.jpeg?h=225&w=225
Couverture Desserts Vanilla Cake 680G,€9.15,,€13.46/kg,https://www.tesco.ie/groceries/en-IE/products/309176399,https://digitalcontent.api.tesco.com/v2/media/ghs/c83f776f-d610-4c8f-b4a4-8a4f00fb7812/snapshotimagehandler_401856026.jpeg?h=225&w=225
Couverture Desserts Zesty Lemon Cake 680G,€9.15,,€13.46/kg,https://www.tesco.ie/groceries/en-IE/products/309173137,https://digitalcontent.api.tesco.com/v2/media/ghs/f34b6d86-b7bc-4b09-91a1-0ddfbba7de84/snapshotimagehandler_1156455323.jpeg?h=225&w=225
Stafford's Bkry Lemon Meringue Pie 650G,€11.00,,€16.18/kg,https://www.tesco.ie/groceries/en-IE/products/299776460,https://digitalcontent.api.tesco.com/v2/media/ghs/212d1236-55ac-44ef-8200-e6748951405a/8ac8e1a3-b277-4a46-93ce-cd13c20adec9_251451228.jpeg?h=225&w=225
Staffords Bkry Old Sty Victoria Cake 800G,€10.59,,€13.24/kg,https://www.tesco.ie/groceries/en-IE/products/301744892,https://digitalcontent.api.tesco.com/v2/media/ghs/2f24efa6-f84e-439b-bf9f-8334f52e9067/snapshotimagehandler_840706901.jpeg?h=225&w=225
Stafford's Bkry Dairy Cream Cupcakes 450G,€7.99,,€17.76/kg,https://www.tesco.ie/groceries/en-IE/products/289809872,https://digitalcontent.api.tesco.com/v2/media/ghs/da472068-5f36-4d98-b204-29ecf0e883b0/snapshotimagehandler_1030682373.jpeg?h=225&w=225
Rachel H Chocolate Cream Eclair 240G,€5.95,,€24.79/kg,https://www.tesco.ie/groceries/en-IE/products/314711560,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Rachel H's Vanilla Custard Slice 200g,€4.00,,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/314577467,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Staffords Bakeries Fruit Pavlovas 220G,€6.00,,€27.27/kg,https://www.tesco.ie/groceries/en-IE/products/309174159,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Couverture Desserts Cappuccino Cake 680G,€9.15,,€13.46/kg,https://www.tesco.ie/groceries/en-IE/products/309207599,https://digitalcontent.api.tesco.com/v2/media/ghs/22fa28df-9444-41b6-9f61-f1d7f5ec36b2/snapshotimagehandler_387557326.jpeg?h=225&w=225
