Title,Price,Promotional Price,Price Per,Product URL,Image URL
Nestle Rolo Dessert 2X65g,€1.69,€1.25 Clubcard Price,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/310182701,https://digitalcontent.api.tesco.com/v2/media/ghs/d781f24a-72c2-418d-8d34-c952a85fff35/fa4f4905-b483-49d6-a4cd-fc732d9a6020.jpeg?h=225&w=225
Aero Chocolate Mousse 4 X59g,€2.59,,€10.98/kg,https://www.tesco.ie/groceries/en-IE/products/252857372,https://digitalcontent.api.tesco.com/v2/media/ghs/86c46154-04b8-4a02-9b54-0d8416676725/0b60f6f4-da0a-42cf-b644-c66000dc98e9.jpeg?h=225&w=225
Cadbury Wispa Bubbles Of Joy Chocolate Mousse 4X45g,€2.59,€2.00 Clubcard Price,€14.39/kg,https://www.tesco.ie/groceries/en-IE/products/276760656,https://digitalcontent.api.tesco.com/v2/media/ghs/84a6dfc5-8d2e-4341-a1b5-4af7fa153693/2cf38936-255b-460f-9016-28d1032a3f8c.jpeg?h=225&w=225
Cadbury Flake Milk Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311807037,https://digitalcontent.api.tesco.com/v2/media/ghs/6d44927a-56d2-4616-805f-7aab7975bb24/763bc680-5f11-42b2-bf30-ad2208325616.jpeg?h=225&w=225
Cadbury Dairy Milk Buttons Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311781296,https://digitalcontent.api.tesco.com/v2/media/ghs/f90074b1-0744-4546-8afc-b083586ca968/70b24ed3-342a-4b49-9c72-0647072d45f9.jpeg?h=225&w=225
Nestle Milkybar Mousse 4 X55g,€2.59,,€11.77/kg,https://www.tesco.ie/groceries/en-IE/products/289043126,https://digitalcontent.api.tesco.com/v2/media/ghs/d77700fb-02df-4a1f-a70d-cc1eb2aa2797/b6558bf9-befc-4d49-a8e9-4a283f604ba8.jpeg?h=225&w=225
Nestle Milkybar Dessert 2X65g,€1.69,€1.25 Clubcard Price,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/311277755,https://digitalcontent.api.tesco.com/v2/media/ghs/db912b37-725c-4974-8446-0d192366e87f/8fe1a114-e6c4-4ae5-a1f1-a861f45b0535.jpeg?h=225&w=225
Milkybar Milk Slices 4X26g,€2.09,,€20.10/kg,https://www.tesco.ie/groceries/en-IE/products/295790856,https://digitalcontent.api.tesco.com/v2/media/ghs/08921934-4dd1-4516-8ba0-a11d8d1f95f3/c3a3447a-ba92-4d61-872f-db063d7568e8.jpeg?h=225&w=225
Aero Mint Chocolate Mousse 4X58g,€2.59,,€11.16/kg,https://www.tesco.ie/groceries/en-IE/products/259953235,https://digitalcontent.api.tesco.com/v2/media/ghs/4ab0d2cb-2c50-4640-ae34-679b8dac8ec9/bd954d4d-3de6-4f36-ae4f-9818fa9c2b6d.jpeg?h=225&w=225
Nestle Nesquik Milk Slice Chocolate Flavour 4X26g,€1.99,,€19.14/kg,https://www.tesco.ie/groceries/en-IE/products/286690153,https://digitalcontent.api.tesco.com/v2/media/ghs/8ceb832a-50fb-4a35-9568-90b1f2626369/e0fbc696-5724-4a80-97c5-a9671d4764fe.jpeg?h=225&w=225
Cadbury Dairy Milk Chunks Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311202614,https://digitalcontent.api.tesco.com/v2/media/ghs/a049ddf9-4b91-4fac-9815-c1fd9dfe28ef/3916c6c3-a5a7-4e8f-abd4-c24130af6952_976589689.jpeg?h=225&w=225
Aero Creations Chocolate Mousse 4X57g,€2.59,€2.25 Clubcard Price,€11.36/kg,https://www.tesco.ie/groceries/en-IE/products/268895324,https://digitalcontent.api.tesco.com/v2/media/ghs/0f263bdf-2173-4064-bbe3-607e2646bf39/2dd82090-0dee-4a7d-9824-f1fe8bd5ae0b_1364380601.jpeg?h=225&w=225
Cadbury Dairy Milk Pots Of Joy Chocolate Dessert 4X60g,€4.09,€3.25 Clubcard Price,€17.04/kg,https://www.tesco.ie/groceries/en-IE/products/311948209,https://digitalcontent.api.tesco.com/v2/media/ghs/b5cb5018-8416-4d6d-978d-2347d42682bf/cc7a4b80-ce54-4502-a806-e2956b1eed8b.jpeg?h=225&w=225
Oreo Spilt Pot Yogurt Dessert 4X120g,€4.29,€3.69 Clubcard Price,€8.94/kg,https://www.tesco.ie/groceries/en-IE/products/294303889,https://digitalcontent.api.tesco.com/v2/media/ghs/50932160-77ab-4990-a7ab-ab918be5094a/83865d4d-8b2c-46d0-a615-7b7e353ed978_1243691402.jpeg?h=225&w=225
Cadbury Heroes Wispa & Dairy Milk Chocolate Desserts 4X75g,€4.89,€3.69 Clubcard Price,€16.30/kg,https://www.tesco.ie/groceries/en-IE/products/311957360,https://digitalcontent.api.tesco.com/v2/media/ghs/e327bd38-d460-4457-b426-5ada09a60d4a/be390552-e61b-4c44-b3a1-5e40626f23bd.jpeg?h=225&w=225
