Title,Price,Promotional Price,Price Per,Product URL,Image URL
Muller Rice Low Fat Strawberry Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311668391,https://digitalcontent.api.tesco.com/v2/media/ghs/e2399520-b490-40e0-a1f1-cb0fafd72fa3/5ae2ddf1-40ec-45f8-b343-a009cb210128.jpeg?h=225&w=225
Muller Rice Low Fat Original Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311950056,https://digitalcontent.api.tesco.com/v2/media/ghs/4dddb23b-67a9-44b6-9662-310fe3ee4f94/7298e022-1174-40c9-b9aa-b7ffce58a55e.jpeg?h=225&w=225
Muller Rice Low Fat Vanilla Custard Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311252721,https://digitalcontent.api.tesco.com/v2/media/ghs/a03c2853-87c6-4b7b-a27a-692cef4a72ed/ee765f76-ae20-40d5-b722-22392fa7bb94.jpeg?h=225&w=225
Muller Rice Low Fat Apple Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311261606,https://digitalcontent.api.tesco.com/v2/media/ghs/eb12082b-0390-44ee-8633-9f0df0cf99f1/61c288c1-859f-4c65-a5c4-08118d251b53_1214763335.jpeg?h=225&w=225
Nestle Rolo Dessert 2X65g,€1.69,€1.25 Clubcard Price,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/310182701,https://digitalcontent.api.tesco.com/v2/media/ghs/d781f24a-72c2-418d-8d34-c952a85fff35/fa4f4905-b483-49d6-a4cd-fc732d9a6020.jpeg?h=225&w=225
Cadbury Wispa Bubbles Of Joy Chocolate Mousse 4X45g,€2.59,€2.00 Clubcard Price,€14.39/kg,https://www.tesco.ie/groceries/en-IE/products/276760656,https://digitalcontent.api.tesco.com/v2/media/ghs/84a6dfc5-8d2e-4341-a1b5-4af7fa153693/2cf38936-255b-460f-9016-28d1032a3f8c.jpeg?h=225&w=225
Cadbury Flake Milk Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311807037,https://digitalcontent.api.tesco.com/v2/media/ghs/6d44927a-56d2-4616-805f-7aab7975bb24/763bc680-5f11-42b2-bf30-ad2208325616.jpeg?h=225&w=225
Lindahls Salted Caramel Protein Pudding 140G,€1.99,Any 2 for €3 Clubcard Price - Selected Lindahls Pudding 140g,€14.21/kg,https://www.tesco.ie/groceries/en-IE/products/311801406,https://digitalcontent.api.tesco.com/v2/media/ghs/856e3e7c-6bc8-43ee-9430-36eed61b829b/374295a4-6462-475a-91d7-778430a7d69f.jpeg?h=225&w=225
Cadbury Dairy Milk Buttons Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311781296,https://digitalcontent.api.tesco.com/v2/media/ghs/f90074b1-0744-4546-8afc-b083586ca968/70b24ed3-342a-4b49-9c72-0647072d45f9.jpeg?h=225&w=225
Lindahls Protein Pudding Chocolate 140G,€1.99,Any 2 for €3 Clubcard Price - Selected Lindahls Pudding 140g,€14.21/kg,https://www.tesco.ie/groceries/en-IE/products/310130017,https://digitalcontent.api.tesco.com/v2/media/ghs/bb64767e-2fba-4528-89ee-0f64bb220c53/8a6185e0-a68f-4d93-acf5-78f09b99172d.jpeg?h=225&w=225
Nestle Milkybar Dessert 2X65g,€1.69,€1.25 Clubcard Price,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/311277755,https://digitalcontent.api.tesco.com/v2/media/ghs/db912b37-725c-4974-8446-0d192366e87f/8fe1a114-e6c4-4ae5-a1f1-a861f45b0535.jpeg?h=225&w=225
Cadbury Dairy Milk Chunks Chocolate Dessert 75G,€1.48,Any 2 for €2.30 Clubcard Price - Selected Cadbury Products 75g,€19.73/kg,https://www.tesco.ie/groceries/en-IE/products/311202614,https://digitalcontent.api.tesco.com/v2/media/ghs/a049ddf9-4b91-4fac-9815-c1fd9dfe28ef/3916c6c3-a5a7-4e8f-abd4-c24130af6952_976589689.jpeg?h=225&w=225
Muller Light Chocolate Fix & Orange Flavoured Dessert 4X70g,€3.05,€2.00 Clubcard Price,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/314319472,https://digitalcontent.api.tesco.com/v2/media/ghs/17bfc64f-b5df-4139-b9d6-95e7cb86fd26/49065e47-5744-4eee-afdf-b550621098ff.jpeg?h=225&w=225
Aero Creations Chocolate Mousse 4X57g,€2.59,€2.25 Clubcard Price,€11.36/kg,https://www.tesco.ie/groceries/en-IE/products/268895324,https://digitalcontent.api.tesco.com/v2/media/ghs/0f263bdf-2173-4064-bbe3-607e2646bf39/2dd82090-0dee-4a7d-9824-f1fe8bd5ae0b_1364380601.jpeg?h=225&w=225
Cadbury Dairy Milk Pots Of Joy Chocolate Dessert 4X60g,€4.09,€3.25 Clubcard Price,€17.04/kg,https://www.tesco.ie/groceries/en-IE/products/311948209,https://digitalcontent.api.tesco.com/v2/media/ghs/b5cb5018-8416-4d6d-978d-2347d42682bf/cc7a4b80-ce54-4502-a806-e2956b1eed8b.jpeg?h=225&w=225
Muller Light Chocolate Fix Milk Chocolate Dessert 4X70g,€3.05,€2.00 Clubcard Price,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/314121722,https://digitalcontent.api.tesco.com/v2/media/ghs/e1755435-daaf-43cf-8bf0-f37c889e60e9/cc3c203a-36b3-43cd-bef2-767b9146669e.jpeg?h=225&w=225
Muller Light Chocolate Fix & Caramel Layers 4X70g,€3.05,€2.00 Clubcard Price,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/313943407,https://digitalcontent.api.tesco.com/v2/media/ghs/9271be2b-1518-44a5-b713-2b2d56f934df/68942482-c3d3-41d8-bb5c-30fbc0629db4.jpeg?h=225&w=225
Oreo Spilt Pot Yogurt Dessert 4X120g,€4.29,€3.69 Clubcard Price,€8.94/kg,https://www.tesco.ie/groceries/en-IE/products/294303889,https://digitalcontent.api.tesco.com/v2/media/ghs/50932160-77ab-4990-a7ab-ab918be5094a/83865d4d-8b2c-46d0-a615-7b7e353ed978_1243691402.jpeg?h=225&w=225
Muller Light Chocolate Fix & Mint Flavoured Dessert 4X70g,€3.05,€2.00 Clubcard Price,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/314308859,https://digitalcontent.api.tesco.com/v2/media/ghs/b7f8fe79-6e67-404d-bb3b-7a8c6cdc84a2/808ffb5b-871d-4f61-9e46-95530f828f1a.jpeg?h=225&w=225
Muller Light Chocolate Fix White Chocolate Dessert 4X70g,€3.05,€2.00 Clubcard Price,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/313943868,https://digitalcontent.api.tesco.com/v2/media/ghs/1436c7fe-04ad-446a-bf98-e810556f07ee/08f13aae-ae9b-4779-87e2-eacd449a76e2_111738207.jpeg?h=225&w=225
Cadbury Heroes Wispa & Dairy Milk Chocolate Desserts 4X75g,€4.89,€3.69 Clubcard Price,€16.30/kg,https://www.tesco.ie/groceries/en-IE/products/311957360,https://digitalcontent.api.tesco.com/v2/media/ghs/e327bd38-d460-4457-b426-5ada09a60d4a/be390552-e61b-4c44-b3a1-5e40626f23bd.jpeg?h=225&w=225
