Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Strawberry Trifles 405G (3X135g),€1.95,,€4.82/kg,https://www.tesco.ie/groceries/en-IE/products/304398956,https://digitalcontent.api.tesco.com/v2/media/ghs/f70c1e57-5eeb-4037-8e0a-2ec3af946ff7/6fdf3200-e591-41c6-9409-da2b836cc133.jpeg?h=225&w=225
Ms Molly's S/Berrytrifle 2X115g 230G,€0.80,,€3.48/kg,https://www.tesco.ie/groceries/en-IE/products/300990854,https://digitalcontent.api.tesco.com/v2/media/ghs/5d1b2e55-9f9f-4fba-aafa-dbf6164dc09e/34201975-fda4-4056-941d-f05253591874.jpeg?h=225&w=225
Galberts Blackforest Trifle180g (Pm),€1.69,,€9.39/kg,https://www.tesco.ie/groceries/en-IE/products/268942874,https://digitalcontent.api.tesco.com/v2/media/ghs/a4ba753f-81fd-45dc-9473-9833600ce5d6/9346035d-8090-435a-88a1-8c762ad54e5f_760280956.jpeg?h=225&w=225
Tesco Strawberry Cheesecake 3 X 100G,€2.10,,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/253689428,https://digitalcontent.api.tesco.com/v2/media/ghs/554b731e-ce77-4551-a8dd-5feb479f596b/33f0f3b1-7a2f-469d-b0a4-31be234a31a6.jpeg?h=225&w=225
Galberts Fruit Trifle 180G (P/M),€1.69,,€9.39/kg,https://www.tesco.ie/groceries/en-IE/products/268942920,https://digitalcontent.api.tesco.com/v2/media/ghs/dfaa5079-42be-45e6-9ca5-02b9d18c9aae/221b604d-bb4f-4ffa-86f9-4733ed08e1c8_376618527.jpeg?h=225&w=225
Tesco Strawberry Trifle 600G,€3.50,,€5.83/kg,https://www.tesco.ie/groceries/en-IE/products/254154653,https://digitalcontent.api.tesco.com/v2/media/ghs/3b3b2496-168e-4220-88c2-4d731a999884/01c21b25-8432-4ceb-8096-b2d8d8b774c5.jpeg?h=225&w=225
Galberts Twin Pack Tiramisu 2 X 90G,€3.49,,€19.39/kg,https://www.tesco.ie/groceries/en-IE/products/312344337,https://digitalcontent.api.tesco.com/v2/media/ghs/9966f12e-dc40-4338-a6b1-8f06fe405299/d7a5e00d-e7b8-4792-8af6-ac1ef26ba5f3.jpeg?h=225&w=225
Gu Lemon Cheesecake 2X90g,€4.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/257305048,https://digitalcontent.api.tesco.com/v2/media/ghs/bcfe6eec-7b64-40de-a1b7-119d91e5377e/44e272fe-6033-4271-841f-fbd558d62141.jpeg?h=225&w=225
Glenilen Farm Lemon Cheesecake 425G,€5.99,,€14.09/kg,https://www.tesco.ie/groceries/en-IE/products/314098328,https://digitalcontent.api.tesco.com/v2/media/ghs/7073bb8e-2697-4bd7-9674-60053081b9ea/540d69ef-1345-4f10-88cf-c089c559c5bf_475210929.jpeg?h=225&w=225
Glenilen Farm Mango And Passion Fruit Cheesecake 425G,€5.99,,€14.09/kg,https://www.tesco.ie/groceries/en-IE/products/314320636,https://digitalcontent.api.tesco.com/v2/media/ghs/f5a7ed4c-ea23-49f9-a7fc-67cfa73c3bb1/82e5c8fc-f4b9-4244-8045-82850c4fe304_861810818.jpeg?h=225&w=225
Dorigin Sicilian Lemon Cheesecake 440G,€6.00,,€13.64/kg,https://www.tesco.ie/groceries/en-IE/products/312716385,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
