Title,Price,Promotional Price,Price Per,Product URL,Image URL
Keohane's Of Bantry Salmon Fillets 160G,€4.69,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€29.31/kg,https://www.tesco.ie/groceries/en-IE/products/302743199,https://digitalcontent.api.tesco.com/v2/media/ghs/b9e7328b-b650-49bf-9325-9a49850569fc/c9c89219-00ae-4461-aee8-0ccadb8c346b_125643269.jpeg?h=225&w=225
Keohanes Bantry Skin On Salmon Darnes 260G,€6.49,€5.20 Clubcard Price,€24.96/kg,https://www.tesco.ie/groceries/en-IE/products/278757104,https://digitalcontent.api.tesco.com/v2/media/ghs/b5467acd-2bbe-4845-856f-db64ecf951cc/5cc65ab3-69b2-452b-9731-3d74de985a7a_848689319.jpeg?h=225&w=225
Keohane Bantry King Prawns 180G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/304494639,https://digitalcontent.api.tesco.com/v2/media/ghs/fbcf2d8d-c8ce-4c1e-9e7f-8a2f5a4bf996/c928def7-5b99-44fb-be98-6f87bb751899_1021872518.jpeg?h=225&w=225
Tesco 4 Salmon Fillets 440G,€8.00,,€18.18/kg,https://www.tesco.ie/groceries/en-IE/products/314436908,https://digitalcontent.api.tesco.com/v2/media/ghs/f3b5101d-6cbe-4d73-a027-de43689d9914/2b924be5-1602-4177-8a89-e3575c5a0ef5_242442537.jpeg?h=225&w=225
Nolans Atlantic Smoked Salmon 100G,€4.70,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€47.00/kg,https://www.tesco.ie/groceries/en-IE/products/285332502,https://digitalcontent.api.tesco.com/v2/media/ghs/861a0690-3b1c-4d6f-bfd0-5d3f956d644b/518bdac6-31f0-49e9-963c-14aa8adfc8b0_1359309203.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 200G,€4.25,,€21.25/kg,https://www.tesco.ie/groceries/en-IE/products/299685376,https://digitalcontent.api.tesco.com/v2/media/ghs/aa5ae64c-d341-47c0-a308-0e13a647df4e/snapshotimagehandler_1025400907.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 100G,€2.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/299685105,https://digitalcontent.api.tesco.com/v2/media/ghs/b728bd2c-5580-480f-ae44-0fc9a1817aa0/snapshotimagehandler_1592955814.jpeg?h=225&w=225
Tesco Skin On Boneless Salmon Fillets 220G,€4.00,,€18.18/kg,https://www.tesco.ie/groceries/en-IE/products/275047264,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Keohanes Of Bantry Cod Fillets 220G,€5.19,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€23.59/kg,https://www.tesco.ie/groceries/en-IE/products/280106171,https://digitalcontent.api.tesco.com/v2/media/ghs/83940e7f-0a20-47c2-b80d-54642f418d02/d92b62f7-c042-4648-b8d8-aff9240d24ba_1044157780.jpeg?h=225&w=225
Tesco 2 Breaded Chunky Irish Hake Fillets 350G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/312213104,https://digitalcontent.api.tesco.com/v2/media/ghs/f50f0d2c-1222-4703-8496-8a9db5735c98/14398176-b6cf-430d-93e2-997779213369_1565836319.jpeg?h=225&w=225
