Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco 2 Breaded Chunky Irish Hake Fillets 350G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/312213104,https://digitalcontent.api.tesco.com/v2/media/ghs/f50f0d2c-1222-4703-8496-8a9db5735c98/14398176-b6cf-430d-93e2-997779213369_1565836319.jpeg?h=225&w=225
"Tesco Finest 2 Salmon ,Spinach And Lemon Fish Cakes 290G",€3.85,,€13.28/kg,https://www.tesco.ie/groceries/en-IE/products/312105964,https://digitalcontent.api.tesco.com/v2/media/ghs/4cf82a71-b44a-4f22-8b2b-231a0d624a02/db517b5c-1374-47f1-9b05-10daf8394beb_1794276772.jpeg?h=225&w=225
Open Ocean Succulent King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313849257,https://digitalcontent.api.tesco.com/v2/media/ghs/ae34674b-ac97-4b9f-abfd-f056cafe5479/3a07983c-2023-4961-9c35-acc29bd45fc8_516580045.jpeg?h=225&w=225
Tesco Battered Irish Haddock Fillet Goujons 320G,€3.50,€3.20 Clubcard Price,€10.94/kg,https://www.tesco.ie/groceries/en-IE/products/310119507,https://digitalcontent.api.tesco.com/v2/media/ghs/07133ee4-afd6-45d8-a61c-16c063ca4e14/fcd099a6-4580-4534-b3cc-8e4528ce3948_1622214033.jpeg?h=225&w=225
Open Ocean Garlic And Herb King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313967385,https://digitalcontent.api.tesco.com/v2/media/ghs/d1e78096-6fcb-47fd-954b-f13d37d4b8ad/522b900e-ee97-48f1-b069-8bbdd9d65dfb_250691355.jpeg?h=225&w=225
Kilmore Quay Haddock Goujon 250G,€3.99,,€15.96/kg,https://www.tesco.ie/groceries/en-IE/products/274156966,https://digitalcontent.api.tesco.com/v2/media/ghs/946d9856-c49e-48f2-ab8b-3d1cf677142d/snapshotimagehandler_1034221941.jpeg?h=225&w=225
Tesco Brded Irish Hake Fillets 300G,€3.50,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/310130176,https://digitalcontent.api.tesco.com/v2/media/ghs/0bbfb828-0525-43ee-af73-c28a8104d197/2249bfcb-7c09-4ca0-ab3e-de4b0b9ddde7_722600501.jpeg?h=225&w=225
Tesco Finest 2 Cod And Parsley Fish Cakes 290G,€3.85,,€13.28/kg,https://www.tesco.ie/groceries/en-IE/products/312579120,https://digitalcontent.api.tesco.com/v2/media/ghs/9614321e-8531-4c63-85ea-cb97fcfa4e08/836a8ef4-21a6-4dd0-b3d0-bd1ef780b6b9_865745494.jpeg?h=225&w=225
Tesco Finest 2 Smoked Haddock Fish Cakes 290G,€3.85,,€13.28/kg,https://www.tesco.ie/groceries/en-IE/products/313860770,https://digitalcontent.api.tesco.com/v2/media/ghs/bc523ba4-06ad-4ec2-bdd7-a232a88a7c1e/e4534bdc-a443-45ff-b941-b54737cb5d88_558775336.jpeg?h=225&w=225
Open Ocean Pil Pil King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313838383,https://digitalcontent.api.tesco.com/v2/media/ghs/53076327-e9e9-4753-9d9a-62e96275d93d/59f04615-6bca-4624-b7dd-766956f6b055_1652633028.jpeg?h=225&w=225
Tesco Battered Irish Hake Fillet Bites 240G,€3.00,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/312347017,https://digitalcontent.api.tesco.com/v2/media/ghs/976b8429-161d-4f51-af54-01612e2b3661/cdaad2cd-0e58-458a-a4a0-22d956675e84_339510875.jpeg?h=225&w=225
