Title,Price,Promotional Price,Price Per,Product URL,Image URL
Keohanes Of Bantry Cod Fillets 220G,€5.19,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€23.59/kg,https://www.tesco.ie/groceries/en-IE/products/280106171,https://digitalcontent.api.tesco.com/v2/media/ghs/83940e7f-0a20-47c2-b80d-54642f418d02/d92b62f7-c042-4648-b8d8-aff9240d24ba_1044157780.jpeg?h=225&w=225
Keohanes Cod Fillet Wth Lemon And Herb Marinade 220G,€4.89,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€22.23/kg,https://www.tesco.ie/groceries/en-IE/products/295812348,https://digitalcontent.api.tesco.com/v2/media/ghs/b7f46e47-25ef-4113-b9e3-cee880f181ca/5db00e59-4d4d-4e74-9d75-72d09902d8c9_1907270511.jpeg?h=225&w=225
Tesco Sea Bass Fillets 170G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/290570658,https://digitalcontent.api.tesco.com/v2/media/ghs/dd7b3692-caa4-4b4a-92ae-08ba79ec2355/snapshotimagehandler_1872362000.jpeg?h=225&w=225
Keohane's Of Bantry Hake Fillets 400G,€5.99,,€14.98/kg,https://www.tesco.ie/groceries/en-IE/products/290370676,https://digitalcontent.api.tesco.com/v2/media/ghs/4ac9e343-f01f-4e3c-a190-b3f497eee101/85241271-2107-4203-91d0-0b0ee40e8ac6_1706811611.jpeg?h=225&w=225
Tesco Cod Fillet 250G,€4.00,,€16.00/kg,https://www.tesco.ie/groceries/en-IE/products/290391806,https://digitalcontent.api.tesco.com/v2/media/ghs/eeabd479-eba8-4049-9ae2-b3e524f2239e/snapshotimagehandler_349937837.jpeg?h=225&w=225
Tesco Fish Pie Mix 250G,€2.99,,€11.96/kg,https://www.tesco.ie/groceries/en-IE/products/314434127,https://digitalcontent.api.tesco.com/v2/media/ghs/d5b0d6e6-bad6-41d2-87e0-d13ca10115a9/ddedf32b-8775-4738-aeab-0dd88958fba5_961394193.jpeg?h=225&w=225
Tesco 5 Skinless Cod Fillets 600G,€9.99,,€16.65/kg,https://www.tesco.ie/groceries/en-IE/products/312846622,https://digitalcontent.api.tesco.com/v2/media/ghs/85e66c6c-cc69-4687-bc7b-1fb0075def58/cf4fefcf-4db2-474a-91fc-958308cbdd92_857997328.jpeg?h=225&w=225
Tesco Finest 2 Smoked Haddock Fish Cakes 290G,€3.85,,€13.28/kg,https://www.tesco.ie/groceries/en-IE/products/313860770,https://digitalcontent.api.tesco.com/v2/media/ghs/bc523ba4-06ad-4ec2-bdd7-a232a88a7c1e/e4534bdc-a443-45ff-b941-b54737cb5d88_558775336.jpeg?h=225&w=225
Good's Of Cork Cod Fillet With Salsa Verde 250G,€4.70,€4.20 Clubcard Price,€18.80/kg,https://www.tesco.ie/groceries/en-IE/products/310191007,https://digitalcontent.api.tesco.com/v2/media/ghs/f9309809-92a2-4ea1-94a2-98ca198569d2/93472741-91dc-42b7-8622-611bd4e2f6fd_2080246150.jpeg?h=225&w=225
"Tesco 2 Cod Fillets With Lem, Black Pepper And Dill 250G",€4.50,,€18.00/kg,https://www.tesco.ie/groceries/en-IE/products/310119058,https://digitalcontent.api.tesco.com/v2/media/ghs/984fc88b-f141-47a5-bd85-246b84ea9793/b245fea1-ef57-4893-9e1c-08838875a522_1853246813.jpeg?h=225&w=225
