Title,Price,Promotional Price,Price Per,Product URL,Image URL
Keohane's Of Bantry Salmon Fillets 160G,€4.69,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€29.31/kg,https://www.tesco.ie/groceries/en-IE/products/302743199,https://digitalcontent.api.tesco.com/v2/media/ghs/b9e7328b-b650-49bf-9325-9a49850569fc/c9c89219-00ae-4461-aee8-0ccadb8c346b_125643269.jpeg?h=225&w=225
Keohanes Bantry Skin On Salmon Darnes 260G,€6.49,€5.20 Clubcard Price,€24.96/kg,https://www.tesco.ie/groceries/en-IE/products/278757104,https://digitalcontent.api.tesco.com/v2/media/ghs/b5467acd-2bbe-4845-856f-db64ecf951cc/5cc65ab3-69b2-452b-9731-3d74de985a7a_848689319.jpeg?h=225&w=225
Keohane Bantry King Prawns 180G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/304494639,https://digitalcontent.api.tesco.com/v2/media/ghs/fbcf2d8d-c8ce-4c1e-9e7f-8a2f5a4bf996/c928def7-5b99-44fb-be98-6f87bb751899_1021872518.jpeg?h=225&w=225
Nolans Atlantic Smoked Salmon 100G,€4.70,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€47.00/kg,https://www.tesco.ie/groceries/en-IE/products/285332502,https://digitalcontent.api.tesco.com/v2/media/ghs/861a0690-3b1c-4d6f-bfd0-5d3f956d644b/518bdac6-31f0-49e9-963c-14aa8adfc8b0_1359309203.jpeg?h=225&w=225
Keohanes Of Bantry Cod Fillets 220G,€5.19,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€23.59/kg,https://www.tesco.ie/groceries/en-IE/products/280106171,https://digitalcontent.api.tesco.com/v2/media/ghs/83940e7f-0a20-47c2-b80d-54642f418d02/d92b62f7-c042-4648-b8d8-aff9240d24ba_1044157780.jpeg?h=225&w=225
Tesco 2 Breaded Chunky Irish Hake Fillets 350G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/312213104,https://digitalcontent.api.tesco.com/v2/media/ghs/f50f0d2c-1222-4703-8496-8a9db5735c98/14398176-b6cf-430d-93e2-997779213369_1565836319.jpeg?h=225&w=225
Keohanes Cod Fillet Wth Lemon And Herb Marinade 220G,€4.89,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€22.23/kg,https://www.tesco.ie/groceries/en-IE/products/295812348,https://digitalcontent.api.tesco.com/v2/media/ghs/b7f46e47-25ef-4113-b9e3-cee880f181ca/5db00e59-4d4d-4e74-9d75-72d09902d8c9_1907270511.jpeg?h=225&w=225
Keohanes Bantry Prawns Pil Pil Mariande 180G,€4.00,€3.50 Clubcard Price,€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/306314309,https://digitalcontent.api.tesco.com/v2/media/ghs/2d5d3ff8-7ca7-4765-9956-d0084d7c06ec/471c4caf-7d4f-4971-ba03-316295e096ad_1740228907.jpeg?h=225&w=225
Nolans Smoked Salmon 130G,€5.00,€4.50 Clubcard Price,€38.46/kg,https://www.tesco.ie/groceries/en-IE/products/297460772,https://digitalcontent.api.tesco.com/v2/media/ghs/0022f36b-827d-4a6b-b30e-d446b210a044/snapshotimagehandler_1158121610.jpeg?h=225&w=225
Tesco Battered Irish Haddock Fillet Goujons 320G,€3.50,€3.20 Clubcard Price,€10.94/kg,https://www.tesco.ie/groceries/en-IE/products/310119507,https://digitalcontent.api.tesco.com/v2/media/ghs/07133ee4-afd6-45d8-a61c-16c063ca4e14/fcd099a6-4580-4534-b3cc-8e4528ce3948_1622214033.jpeg?h=225&w=225
Keoh/Ob Asian Style Tuna Stir Fry 300G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/315347091,https://digitalcontent.api.tesco.com/v2/media/ghs/c610dc49-55c8-42b4-9279-957fa4b26546/c2e4da0c-6a58-4825-bcec-6093dc68527e_577188827.jpeg?h=225&w=225
Good's Of Cork Cod Fillet With Salsa Verde 250G,€4.70,€4.20 Clubcard Price,€18.80/kg,https://www.tesco.ie/groceries/en-IE/products/310191007,https://digitalcontent.api.tesco.com/v2/media/ghs/f9309809-92a2-4ea1-94a2-98ca198569d2/93472741-91dc-42b7-8622-611bd4e2f6fd_2080246150.jpeg?h=225&w=225
