Title,Price,Promotional Price,Price Per,Product URL,Image URL
Keohane Bantry King Prawns 180G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/304494639,https://digitalcontent.api.tesco.com/v2/media/ghs/fbcf2d8d-c8ce-4c1e-9e7f-8a2f5a4bf996/c928def7-5b99-44fb-be98-6f87bb751899_1021872518.jpeg?h=225&w=225
Keohanes Bantry Prawns Pil Pil Mariande 180G,€4.00,€3.50 Clubcard Price,€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/306314309,https://digitalcontent.api.tesco.com/v2/media/ghs/2d5d3ff8-7ca7-4765-9956-d0084d7c06ec/471c4caf-7d4f-4971-ba03-316295e096ad_1740228907.jpeg?h=225&w=225
Nolans Prawn Cocktail Regular 170G,€3.80,,€22.35/kg,https://www.tesco.ie/groceries/en-IE/products/294285581,https://digitalcontent.api.tesco.com/v2/media/ghs/677bb643-741a-4ce8-b0a9-68d63a2afb51/snapshotimagehandler_1277500505.jpeg?h=225&w=225
Vici Classic Sea Food Sticks 200G,€1.25,,€6.25/kg,https://www.tesco.ie/groceries/en-IE/products/308866886,https://digitalcontent.api.tesco.com/v2/media/ghs/2d8f06a5-9e28-446f-bcaf-44c59308b385/snapshotimagehandler_1912249399.jpeg?h=225&w=225
Nolans Cooked & Peeled Tail Off Jumbo King Prawns 150G,€5.50,,€36.67/kg,https://www.tesco.ie/groceries/en-IE/products/312584574,https://digitalcontent.api.tesco.com/v2/media/ghs/8a5d8e61-6ba8-4cf0-b2df-c62b38f96e8d/5a50977d-2f5f-41a4-b341-a63d738d6b84_775681399.jpeg?h=225&w=225
Open Ocean Succulent King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313849257,https://digitalcontent.api.tesco.com/v2/media/ghs/ae34674b-ac97-4b9f-abfd-f056cafe5479/3a07983c-2023-4961-9c35-acc29bd45fc8_516580045.jpeg?h=225&w=225
Open Ocean Garlic And Herb King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313967385,https://digitalcontent.api.tesco.com/v2/media/ghs/d1e78096-6fcb-47fd-954b-f13d37d4b8ad/522b900e-ee97-48f1-b069-8bbdd9d65dfb_250691355.jpeg?h=225&w=225
Shell Fish De La Mer West Cork Crab Meat 100G,€4.50,,€45.00/kg,https://www.tesco.ie/groceries/en-IE/products/302530636,https://digitalcontent.api.tesco.com/v2/media/ghs/e064b2f6-5b4b-4668-be8f-a764dc3d803b/snapshotimagehandler_375799582.jpeg?h=225&w=225
Carr&Sons Garlic Butter Coked Irish Mussels 450G,€3.50,,€7.78/kg,https://www.tesco.ie/groceries/en-IE/products/292621291,https://digitalcontent.api.tesco.com/v2/media/ghs/9d8835d3-182b-4ea3-88c1-75ff6abbe097/snapshotimagehandler_1421307848.jpeg?h=225&w=225
Keoh/Ob King Prawns Garlic Mixed Herb Butter 180G,€4.00,,€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/307156870,https://digitalcontent.api.tesco.com/v2/media/ghs/49b86b4d-1a1d-48ae-9572-ce51e84556ef/8cced5d2-ce28-46db-abb9-a3d1b952a81a_415637596.jpeg?h=225&w=225
Shell Fish De La Mer West Cork Crab Claws 100G,€6.65,,€66.50/kg,https://www.tesco.ie/groceries/en-IE/products/302532686,https://digitalcontent.api.tesco.com/v2/media/ghs/9e606440-770a-46ff-bd52-88d15a33bd44/snapshotimagehandler_1347877055.jpeg?h=225&w=225
Open Ocean Pil Pil King Prawns 90G,€2.99,,€33.22/kg,https://www.tesco.ie/groceries/en-IE/products/313838383,https://digitalcontent.api.tesco.com/v2/media/ghs/53076327-e9e9-4753-9d9a-62e96275d93d/59f04615-6bca-4624-b7dd-766956f6b055_1652633028.jpeg?h=225&w=225
