Title,Price,Promotional Price,Price Per,Product URL,Image URL
Keohane's Of Bantry Salmon Fillets 160G,€4.69,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€29.31/kg,https://www.tesco.ie/groceries/en-IE/products/302743199,https://digitalcontent.api.tesco.com/v2/media/ghs/b9e7328b-b650-49bf-9325-9a49850569fc/c9c89219-00ae-4461-aee8-0ccadb8c346b_125643269.jpeg?h=225&w=225
Keohanes Bantry Skin On Salmon Darnes 260G,€6.49,€5.20 Clubcard Price,€24.96/kg,https://www.tesco.ie/groceries/en-IE/products/278757104,https://digitalcontent.api.tesco.com/v2/media/ghs/b5467acd-2bbe-4845-856f-db64ecf951cc/5cc65ab3-69b2-452b-9731-3d74de985a7a_848689319.jpeg?h=225&w=225
Tesco 4 Salmon Fillets 440G,€8.00,,€18.18/kg,https://www.tesco.ie/groceries/en-IE/products/314436908,https://digitalcontent.api.tesco.com/v2/media/ghs/f3b5101d-6cbe-4d73-a027-de43689d9914/2b924be5-1602-4177-8a89-e3575c5a0ef5_242442537.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 200G,€4.25,,€21.25/kg,https://www.tesco.ie/groceries/en-IE/products/299685376,https://digitalcontent.api.tesco.com/v2/media/ghs/aa5ae64c-d341-47c0-a308-0e13a647df4e/snapshotimagehandler_1025400907.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 100G,€2.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/299685105,https://digitalcontent.api.tesco.com/v2/media/ghs/b728bd2c-5580-480f-ae44-0fc9a1817aa0/snapshotimagehandler_1592955814.jpeg?h=225&w=225
Tesco Skin On Boneless Salmon Fillets 220G,€4.00,,€18.18/kg,https://www.tesco.ie/groceries/en-IE/products/275047264,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Nolans Smoked Salmon 250 G,€7.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/294958062,https://digitalcontent.api.tesco.com/v2/media/ghs/07553fd0-3687-4e2a-ae9a-a29bc6d5243f/c556384a-28d4-4df6-95e2-37ad11d47889_977808831.jpeg?h=225&w=225
Nolans Smoked Salmon 130G,€5.00,€4.50 Clubcard Price,€38.46/kg,https://www.tesco.ie/groceries/en-IE/products/297460772,https://digitalcontent.api.tesco.com/v2/media/ghs/0022f36b-827d-4a6b-b30e-d446b210a044/snapshotimagehandler_1158121610.jpeg?h=225&w=225
Nolans Irish Organic Smoked Salmon 100G,€5.00,,€50.00/kg,https://www.tesco.ie/groceries/en-IE/products/291226530,https://digitalcontent.api.tesco.com/v2/media/ghs/d3c6ea18-9e4f-443a-b2dd-398a7d279f96/4728e337-4fe2-4156-9b36-1d8bd9798906_650074899.jpeg?h=225&w=225
Keoh/ Ob 2 Hot Smoked Salmon Fillets 180G,€5.00,,€27.78/kg,https://www.tesco.ie/groceries/en-IE/products/311936108,https://digitalcontent.api.tesco.com/v2/media/ghs/26e244fd-be21-43a5-aac4-d74e7a127aca/df388729-569c-4dc9-90b2-190baa0d7acb_1549284894.jpeg?h=225&w=225
