Title,Price,Promotional Price,Price Per,Product URL,Image URL
Nolans Atlantic Smoked Salmon 100G,€4.70,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€47.00/kg,https://www.tesco.ie/groceries/en-IE/products/285332502,https://digitalcontent.api.tesco.com/v2/media/ghs/861a0690-3b1c-4d6f-bfd0-5d3f956d644b/518bdac6-31f0-49e9-963c-14aa8adfc8b0_1359309203.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 200G,€4.25,,€21.25/kg,https://www.tesco.ie/groceries/en-IE/products/299685376,https://digitalcontent.api.tesco.com/v2/media/ghs/aa5ae64c-d341-47c0-a308-0e13a647df4e/snapshotimagehandler_1025400907.jpeg?h=225&w=225
Suempol Norwegian Smoked Salmon 100G,€2.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/299685105,https://digitalcontent.api.tesco.com/v2/media/ghs/b728bd2c-5580-480f-ae44-0fc9a1817aa0/snapshotimagehandler_1592955814.jpeg?h=225&w=225
Nolans Smoked Salmon 250 G,€7.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/294958062,https://digitalcontent.api.tesco.com/v2/media/ghs/07553fd0-3687-4e2a-ae9a-a29bc6d5243f/c556384a-28d4-4df6-95e2-37ad11d47889_977808831.jpeg?h=225&w=225
Nolans Smoked Salmon 130G,€5.00,€4.50 Clubcard Price,€38.46/kg,https://www.tesco.ie/groceries/en-IE/products/297460772,https://digitalcontent.api.tesco.com/v2/media/ghs/0022f36b-827d-4a6b-b30e-d446b210a044/snapshotimagehandler_1158121610.jpeg?h=225&w=225
Nolans Irish Organic Smoked Salmon 100G,€5.00,,€50.00/kg,https://www.tesco.ie/groceries/en-IE/products/291226530,https://digitalcontent.api.tesco.com/v2/media/ghs/d3c6ea18-9e4f-443a-b2dd-398a7d279f96/4728e337-4fe2-4156-9b36-1d8bd9798906_650074899.jpeg?h=225&w=225
Keohanes Bantry Smoked Coley 380G,€5.80,,€15.26/kg,https://www.tesco.ie/groceries/en-IE/products/273861870,https://digitalcontent.api.tesco.com/v2/media/ghs/8c72260e-8e55-4db5-af01-8ea2913b2088/dd206caa-cf0f-4e6d-83aa-3482fa9d6792_144573781.jpeg?h=225&w=225
Nolans Wild Alaskan Smoked Salmon 100G,€7.00,,€70.00/kg,https://www.tesco.ie/groceries/en-IE/products/271402628,https://digitalcontent.api.tesco.com/v2/media/ghs/16d8511f-26ed-4ba3-bbff-7fd7bbba9dcd/snapshotimagehandler_1848832123.jpeg?h=225&w=225
Union Hall Irish Smoked Kipper 180G,€1.99,,€11.06/kg,https://www.tesco.ie/groceries/en-IE/products/308824585,https://digitalcontent.api.tesco.com/v2/media/ghs/bc9cbaa9-a871-4c90-97b2-e75100a2000a/8cdee969-5a4f-4cc0-b6e0-21cd27174598_360730337.jpeg?h=225&w=225
Tesco Smoked Cod 250G,€4.49,,€17.96/kg,https://www.tesco.ie/groceries/en-IE/products/294292134,https://digitalcontent.api.tesco.com/v2/media/ghs/d6b1a447-bc93-4cc0-9385-5685d0f90341/snapshotimagehandler_29052302.jpeg?h=225&w=225
