Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Spanish Chorizo 225G,€2.70,,€12.00/kg,https://www.tesco.ie/groceries/en-IE/products/261781844,https://digitalcontent.api.tesco.com/v2/media/ghs/d7e48e6a-11e0-45e8-a1d6-35a1b036017e/fa3ab446-2f09-4b2f-b71c-f1163560fa48.jpeg?h=225&w=225
Tesco Pizza Pepperoni 120G,€1.46,,€12.17/kg,https://www.tesco.ie/groceries/en-IE/products/291124830,https://digitalcontent.api.tesco.com/v2/media/ghs/d903fd07-907d-42a3-a042-0c9d6d316062/0e2491ca-e9e8-4662-b5bf-46409af086c2.jpeg?h=225&w=225
Tesco Finest 14 Month Genuine Parma Ham 78G,€2.75,,€35.26/kg,https://www.tesco.ie/groceries/en-IE/products/295981947,https://digitalcontent.api.tesco.com/v2/media/ghs/81c3b005-8773-4134-9c20-5d9418f729ea/0b1732a0-a444-4b91-b9bc-aef3b5145e0f_1244010970.jpeg?h=225&w=225
Tesco Diced Chorizo 130G,€2.15,,€16.54/kg,https://www.tesco.ie/groceries/en-IE/products/277570378,https://digitalcontent.api.tesco.com/v2/media/ghs/6935637c-8d24-40f4-8ca2-5894a887b5b6/4a462d54-23a9-41b7-9a30-15f32c593d20.jpeg?h=225&w=225
Tesco Spanish Chorizo Sausage Slices 150G,€1.75,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/273429784,https://digitalcontent.api.tesco.com/v2/media/ghs/c1241bc4-ebdf-466a-96a5-3c93dbdfb30b/1dc7010f-3ee2-4aa9-90ce-5acc00c22f7b.jpeg?h=225&w=225
Tesco Italian Unsmoked Pancetta 2 X65g,€1.10,,€8.46/kg,https://www.tesco.ie/groceries/en-IE/products/268380708,https://digitalcontent.api.tesco.com/v2/media/ghs/9af567ae-e41f-43ed-ae99-242d1e25715f/0dc88f96-499c-4b65-a49a-2f1419b86e10.jpeg?h=225&w=225
Horgan's Sliced Pepperoni 80G,€1.95,,€24.38/kg,https://www.tesco.ie/groceries/en-IE/products/308834383,https://digitalcontent.api.tesco.com/v2/media/ghs/82e5f31f-8cef-4c54-beb5-f2d4b3342738/8afefa90-7eaa-4655-a3cb-f29deac38a38_1371685714.jpeg?h=225&w=225
Tesco 10 Salami Slices 100G,€1.60,€1.40 Clubcard Price,€16.00/kg,https://www.tesco.ie/groceries/en-IE/products/261764986,https://digitalcontent.api.tesco.com/v2/media/ghs/7969d0c7-4951-4cbe-9c15-6f2af34b642e/bf88d4d5-5864-441a-993b-4cd841487a30.jpeg?h=225&w=225
Tesco German Style Salami 12 Slices 125G,€1.39,,€11.12/kg,https://www.tesco.ie/groceries/en-IE/products/254898538,https://digitalcontent.api.tesco.com/v2/media/ghs/1fd8b4de-946b-4e62-940b-d28db1734b6f/fe81cc42-d74d-44bb-b539-41ae8b166e2b.jpeg?h=225&w=225
Tesco Smoked Pancetta 2 X 65G,€1.10,,€8.46/kg,https://www.tesco.ie/groceries/en-IE/products/268334344,https://digitalcontent.api.tesco.com/v2/media/ghs/b6dd8824-36b7-4dcc-8c94-9544dc965d11/ee264bc2-406a-4b91-a5fc-bedf4f1e53f1.jpeg?h=225&w=225
