Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Spanish Chorizo 225G,€2.70,,€12.00/kg,https://www.tesco.ie/groceries/en-IE/products/261781844,https://digitalcontent.api.tesco.com/v2/media/ghs/d7e48e6a-11e0-45e8-a1d6-35a1b036017e/fa3ab446-2f09-4b2f-b71c-f1163560fa48.jpeg?h=225&w=225
Tesco Diced Chorizo 130G,€2.15,,€16.54/kg,https://www.tesco.ie/groceries/en-IE/products/277570378,https://digitalcontent.api.tesco.com/v2/media/ghs/6935637c-8d24-40f4-8ca2-5894a887b5b6/4a462d54-23a9-41b7-9a30-15f32c593d20.jpeg?h=225&w=225
Tesco Spanish Chorizo Sausage Slices 150G,€1.75,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/273429784,https://digitalcontent.api.tesco.com/v2/media/ghs/c1241bc4-ebdf-466a-96a5-3c93dbdfb30b/1dc7010f-3ee2-4aa9-90ce-5acc00c22f7b.jpeg?h=225&w=225
Tesco Italian Unsmoked Pancetta 2 X65g,€1.10,,€8.46/kg,https://www.tesco.ie/groceries/en-IE/products/268380708,https://digitalcontent.api.tesco.com/v2/media/ghs/9af567ae-e41f-43ed-ae99-242d1e25715f/0dc88f96-499c-4b65-a49a-2f1419b86e10.jpeg?h=225&w=225
Tesco Smoked Pancetta 2 X 65G,€1.10,,€8.46/kg,https://www.tesco.ie/groceries/en-IE/products/268334344,https://digitalcontent.api.tesco.com/v2/media/ghs/b6dd8824-36b7-4dcc-8c94-9544dc965d11/ee264bc2-406a-4b91-a5fc-bedf4f1e53f1.jpeg?h=225&w=225
Tesco Finest Spanish Spicy Chorizo Ring 225G,€2.70,,€12.00/kg,https://www.tesco.ie/groceries/en-IE/products/275318555,https://digitalcontent.api.tesco.com/v2/media/ghs/9c03be66-3191-45d6-878d-30c7d64086a6/3873d6b3-4bed-470e-bc33-9e66ae0422a6.jpeg?h=225&w=225
Tesco Finest Smoked Pancetta Slices 110G,€2.75,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/266520697,https://digitalcontent.api.tesco.com/v2/media/ghs/0f6bc102-372d-43d8-b3d9-136879619fb4/30af17b0-aaa0-495d-9be1-b7c9842f3ad9.jpeg?h=225&w=225
Tesco 16 Spicy Chorizo Slices 80G,€1.55,,€19.38/kg,https://www.tesco.ie/groceries/en-IE/products/285401032,https://digitalcontent.api.tesco.com/v2/media/ghs/aff365a6-90d1-439c-b22c-f9af40d76e76/60dc5f23-f598-4aa6-8f2d-48d7555b866e.jpeg?h=225&w=225
Noel Spicy Cooking Chorizo 200G,€2.69,,€13.45/kg,https://www.tesco.ie/groceries/en-IE/products/297046566,https://digitalcontent.api.tesco.com/v2/media/ghs/b01b765a-6b28-4276-af97-9a0a5d0bf04d/snapshotimagehandler_1578326919.jpeg?h=225&w=225
Noel Mediterranean Barbecue Chorizo Mild 4 Pack 200G,€2.69,,€13.45/kg,https://www.tesco.ie/groceries/en-IE/products/305963430,https://digitalcontent.api.tesco.com/v2/media/ghs/68fe888c-8292-4906-840a-a860aff722ae/snapshotimagehandler_735901538.jpeg?h=225&w=225
Noel Chorizo Iberico Ring 170G,€5.00,,€29.41/kg,https://www.tesco.ie/groceries/en-IE/products/307352879,https://digitalcontent.api.tesco.com/v2/media/ghs/7727350a-519d-40a4-92d3-158c96c7b170/f6e8fc29-2219-47a6-84eb-38afaf368803_80620234.jpeg?h=225&w=225
