Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Prosciutto Crudo & Salami Platter 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/299910479,https://digitalcontent.api.tesco.com/v2/media/ghs/95fda972-f605-4805-9d6d-a8968572f2df/ed3b6e15-e9ed-48e9-a577-ec053e56d436.jpeg?h=225&w=225
Tesco Continental Meat Platter 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/266452276,https://digitalcontent.api.tesco.com/v2/media/ghs/59b01472-1290-495d-824f-12bb532d0d75/7073ff09-fcaa-429d-8ecf-a905c3079c97.jpeg?h=225&w=225
Tesco Spanish Inspired Selection 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/304417532,https://digitalcontent.api.tesco.com/v2/media/ghs/6603d81d-9953-48ce-bbc8-2920e835d580/8126d02c-646a-4764-ba90-50ccd91e87d3_91439582.jpeg?h=225&w=225
Noel Sliced Tapas Selection 120G,€3.50,,€29.17/kg,https://www.tesco.ie/groceries/en-IE/products/304377780,https://digitalcontent.api.tesco.com/v2/media/ghs/045024be-208f-4171-8c05-b3ebd9d5d9a0/c0609979-0490-4899-a8a8-1af0f55ad73c_1294976023.jpeg?h=225&w=225
Tesco Smoked Prosciutto & Salami Plat 200G,€5.25,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/285415004,https://digitalcontent.api.tesco.com/v2/media/ghs/8b2bff2f-e469-4269-b6f2-75b85bf62926/dab20f88-772f-4689-bb04-ea4c3c9a8b2e_786441788.jpeg?h=225&w=225
Tesco German Style Smoked Selection 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/305970899,https://digitalcontent.api.tesco.com/v2/media/ghs/45b80eb2-d66c-45f7-9981-c859e7c18b35/331981fd-804d-484b-8f19-e2638a714eb6.jpeg?h=225&w=225
Tesco 8 Gouda & Chorizo Rollitos 88G,€3.15,,€35.80/kg,https://www.tesco.ie/groceries/en-IE/products/297149440,https://digitalcontent.api.tesco.com/v2/media/ghs/a4579366-2d0e-4e80-a60b-5d31382a1c88/4a67e2c7-a6d9-43e9-8800-4775d0c1ff16.jpeg?h=225&w=225
Tesco 8 Iberico Cheese & Serrano Rollitos 88G,€3.15,,€35.80/kg DR.WT,https://www.tesco.ie/groceries/en-IE/products/305985726,https://digitalcontent.api.tesco.com/v2/media/ghs/dd4b4bfe-432e-4902-a678-65cff9494369/be24873d-4d9e-42ff-a020-f26f63b0109a_738342148.jpeg?h=225&w=225
Tesco Italian Inspired Smoked Selection 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/296233444,https://digitalcontent.api.tesco.com/v2/media/ghs/75765c83-ec10-430f-972c-3c5fb24258c3/1dcd40ba-4003-445c-8f20-d20c9abf0d72.jpeg?h=225&w=225
Tesco Finest Italian Antipasto Platter 188G,€6.50,,€34.57/kg,https://www.tesco.ie/groceries/en-IE/products/311270987,https://digitalcontent.api.tesco.com/v2/media/ghs/599ec913-6704-4f8c-a347-a92bf8ca0e44/0b88088f-6fab-420a-a2d0-9fad875a6dbd_2015823783.jpeg?h=225&w=225
Beretta Antipasto 120G,€3.30,,€27.50/kg,https://www.tesco.ie/groceries/en-IE/products/306926449,https://digitalcontent.api.tesco.com/v2/media/ghs/aa35091f-0908-4ace-be58-19587d5b4b59/73b3b085-f3ee-40c8-bb78-fc324dde7619_936018118.jpeg?h=225&w=225
Tesco Finest Spanish Meat & Cheese Selection 200G,€6.50,,€32.50/kg,https://www.tesco.ie/groceries/en-IE/products/311279281,https://digitalcontent.api.tesco.com/v2/media/ghs/54bde21d-aa03-4a9b-b32a-3474a0b60650/c739c52c-ace8-4329-9c57-c8b477f91841_137237542.jpeg?h=225&w=225
Tesco Finest Continental Meat With Cheese 310G,€9.00,,€29.03/kg,https://www.tesco.ie/groceries/en-IE/products/307136669,https://digitalcontent.api.tesco.com/v2/media/ghs/7b09f11e-7e07-4fa3-addd-e40629f99f48/10a43e89-1092-48eb-9f87-c9630e360a73_1564424266.jpeg?h=225&w=225
Chianti Salumi Mixed Antipasto Pork Platter 120G,€4.79,,€39.92/kg,https://www.tesco.ie/groceries/en-IE/products/309759509,https://digitalcontent.api.tesco.com/v2/media/ghs/bbe3ac39-a75f-486c-a83b-1137eae91695/ce18de83-12a0-4be1-8a41-3a7245fdab3f_1854627562.jpeg?h=225&w=225
