Title,Price,Promotional Price,Price Per,Product URL,Image URL
Horgans Pitted Green Olives With Herbs 150G,€1.75,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/309199280,https://digitalcontent.api.tesco.com/v2/media/ghs/2ce6c58b-428c-4d07-9710-19aeb0d5813a/873c2faf-2b49-498d-a541-7d29989a2993_1858821160.jpeg?h=225&w=225
Horgans Greek Halkidiki Green Olives Feta 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309170555,https://digitalcontent.api.tesco.com/v2/media/ghs/1eb0a503-8996-4842-a4e3-5dd487bd59d3/494727f5-1914-485e-a774-b56f8091a45c_1548293647.jpeg?h=225&w=225
Horgans Green Nocellara Olives 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309163178,https://digitalcontent.api.tesco.com/v2/media/ghs/717fa1a5-0fae-49ba-baf4-434959558d24/57f8a9d4-95f1-4c18-8a20-f708bb64621a_1252141658.jpeg?h=225&w=225
Horgans Hldiki Greek Green Olives With Garlic 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309196110,https://digitalcontent.api.tesco.com/v2/media/ghs/80c03c45-8880-4914-b373-6848e519b38a/f61271fd-a43b-400b-a25b-05cbf7f83c3c_1351013734.jpeg?h=225&w=225
Horgans Kalamata Olives 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309162352,https://digitalcontent.api.tesco.com/v2/media/ghs/ab7dd26e-0ae4-4deb-83b3-10018d0c34af/92f51790-7f26-48ae-8b42-131e1bec80bf_1324153153.jpeg?h=225&w=225
Horgans Semi Dried Tomatoes Mozzarella Pesto 120G,€2.29,,€19.08/kg,https://www.tesco.ie/groceries/en-IE/products/309178570,https://digitalcontent.api.tesco.com/v2/media/ghs/bbb7da4e-7530-47ec-b497-4659e043d61d/206a5db0-30aa-4a1a-89ed-6d65ce83597a_2112124183.jpeg?h=225&w=225
Horgans Mixed Green And Black Olives 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309163086,https://digitalcontent.api.tesco.com/v2/media/ghs/0ce67f6e-eeb3-425a-958f-b4e96f124001/782db0b9-34be-4ce9-bce6-cb55a0b3c0d8_821673237.jpeg?h=225&w=225
Piel De Torro Spanish Potato Onin Omelette 500G,€4.60,,€9.20/kg,https://www.tesco.ie/groceries/en-IE/products/308455186,https://digitalcontent.api.tesco.com/v2/media/ghs/944244d4-205b-4c2d-bdda-531e32a9f9f4/snapshotimagehandler_920874038.jpeg?h=225&w=225
Horgans Duo Of Olives Kalamata And Hldiki 150G,€2.29,,€15.27/kg,https://www.tesco.ie/groceries/en-IE/products/309197570,https://digitalcontent.api.tesco.com/v2/media/ghs/0181e7da-9e60-482b-ac08-62e382ed2771/7085fd2a-8af9-4a61-ad23-f134b1bb6437_1191915753.jpeg?h=225&w=225
Tesco 8 Gouda & Chorizo Rollitos 88G,€3.15,,€35.80/kg,https://www.tesco.ie/groceries/en-IE/products/297149440,https://digitalcontent.api.tesco.com/v2/media/ghs/a4579366-2d0e-4e80-a60b-5d31382a1c88/4a67e2c7-a6d9-43e9-8800-4775d0c1ff16.jpeg?h=225&w=225
Horgans Hldiki Greek Green Olives With Chilli 150G,€1.75,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/309201347,https://digitalcontent.api.tesco.com/v2/media/ghs/0e1095f0-f5fd-439a-9666-866628d21bd8/80881737-2ec4-4d15-8038-9ffd0d9ab67d_738133933.jpeg?h=225&w=225
Horgan's Mixed Red And Yellow Peppers And Cream Cheese 120G,€3.20,,€26.67/kg,https://www.tesco.ie/groceries/en-IE/products/309743022,https://digitalcontent.api.tesco.com/v2/media/ghs/8fef6efb-c1f9-476a-a765-bcf71c3bf556/6afe9994-fb01-4cad-90c1-0f3561f72e27_12178185.jpeg?h=225&w=225
