Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest 14 Month Genuine Parma Ham 78G,€2.75,,€35.26/kg,https://www.tesco.ie/groceries/en-IE/products/295981947,https://digitalcontent.api.tesco.com/v2/media/ghs/81c3b005-8773-4134-9c20-5d9418f729ea/0b1732a0-a444-4b91-b9bc-aef3b5145e0f_1244010970.jpeg?h=225&w=225
Tesco Spanish Serrano Ham 80G,€1.65,,€20.62/kg,https://www.tesco.ie/groceries/en-IE/products/273429726,https://digitalcontent.api.tesco.com/v2/media/ghs/12c43ce9-100c-4b1f-b998-895537daa01e/c5df9673-3f0f-4dec-bfc1-b679c6654e22.jpeg?h=225&w=225
Tesco 6 Prosciutto Crudo Slices 84G,€1.75,€1.55 Clubcard Price,€20.83/kg,https://www.tesco.ie/groceries/en-IE/products/266517333,https://digitalcontent.api.tesco.com/v2/media/ghs/069a564b-81dc-4b06-b304-e284ee45888b/ae639bc2-8d58-44ca-a05e-315186b186eb.jpeg?h=225&w=225
Tesco Finest Bresaola 8 Slices 70G,€2.75,,€0.04/kg,https://www.tesco.ie/groceries/en-IE/products/304404829,https://digitalcontent.api.tesco.com/v2/media/ghs/aca438a5-dcb2-4550-8ca3-7aae3757f6d8/b1105e66-b3c0-4da6-9a75-6cfecfd282e5_1671008787.jpeg?h=225&w=225
Tesco Finest Prosciutto Cotto With Herbs 100G,€2.75,,€27.50/kg,https://www.tesco.ie/groceries/en-IE/products/304790382,https://digitalcontent.api.tesco.com/v2/media/ghs/bcc5535f-9eb4-4a86-99dd-e57c646ee156/dc415b87-34b7-41c6-a2ec-cd8829436d6f.jpeg?h=225&w=225
Beretta Prosciutto Crudo 100G,€2.75,,€27.50/kg,https://www.tesco.ie/groceries/en-IE/products/306804589,https://digitalcontent.api.tesco.com/v2/media/ghs/bda5dbec-bc9e-4614-bfd3-46851822ab10/008023f6-f276-4234-a946-bea6254a5403_279229138.jpeg?h=225&w=225
Beretta Carpegna Prosciutto 100G,€4.80,,€48.00/kg,https://www.tesco.ie/groceries/en-IE/products/307137052,https://digitalcontent.api.tesco.com/v2/media/ghs/0eac1cc6-87a1-438e-a3c3-c64a96a028da/4151442f-4b54-491a-b3c1-fb18696d9dae_1647672569.jpeg?h=225&w=225
Noel Iberico Pork Shoulder 50G,€3.65,,€73.00/kg,https://www.tesco.ie/groceries/en-IE/products/307757965,https://digitalcontent.api.tesco.com/v2/media/ghs/7ce3fa3c-2f6c-44bf-80ea-dfd13831638a/e2f0ec19-757f-4ca9-9e5b-c07d14375dad_426913130.jpeg?h=225&w=225
Chianti Salumi Prosciutto Crudo Stagionato 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310116418,https://digitalcontent.api.tesco.com/v2/media/ghs/85529cb1-9085-4bc5-ab0e-a04a202934ef/2d6a4ef9-7297-4d50-983a-c3f92a6d8236_1606434620.jpeg?h=225&w=225
Chainti Salumi Coppa Stagionata 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310137451,https://digitalcontent.api.tesco.com/v2/media/ghs/f9017476-7171-4093-8c4a-d5b6d6113d8a/29a76ae5-d9d1-431e-b2e7-1bcda80ef94b_165920122.jpeg?h=225&w=225
