Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Pizza Pepperoni 120G,€1.46,,€12.17/kg,https://www.tesco.ie/groceries/en-IE/products/291124830,https://digitalcontent.api.tesco.com/v2/media/ghs/d903fd07-907d-42a3-a042-0c9d6d316062/0e2491ca-e9e8-4662-b5bf-46409af086c2.jpeg?h=225&w=225
Horgan's Sliced Pepperoni 80G,€1.95,,€24.38/kg,https://www.tesco.ie/groceries/en-IE/products/308834383,https://digitalcontent.api.tesco.com/v2/media/ghs/82e5f31f-8cef-4c54-beb5-f2d4b3342738/8afefa90-7eaa-4655-a3cb-f29deac38a38_1371685714.jpeg?h=225&w=225
Tesco 10 Salami Slices 100G,€1.60,€1.40 Clubcard Price,€16.00/kg,https://www.tesco.ie/groceries/en-IE/products/261764986,https://digitalcontent.api.tesco.com/v2/media/ghs/7969d0c7-4951-4cbe-9c15-6f2af34b642e/bf88d4d5-5864-441a-993b-4cd841487a30.jpeg?h=225&w=225
Tesco German Style Salami 12 Slices 125G,€1.39,,€11.12/kg,https://www.tesco.ie/groceries/en-IE/products/254898538,https://digitalcontent.api.tesco.com/v2/media/ghs/1fd8b4de-946b-4e62-940b-d28db1734b6f/fe81cc42-d74d-44bb-b539-41ae8b166e2b.jpeg?h=225&w=225
Tesco Finest Salami Milano 90G,€2.75,,€30.56/kg,https://www.tesco.ie/groceries/en-IE/products/273635925,https://digitalcontent.api.tesco.com/v2/media/ghs/4e015f90-2338-480d-9543-95be5e4f3bf9/d6094cb9-64b3-4d91-bd67-8fe50f580260.jpeg?h=225&w=225
Tesco German Salami Selection 120G,€1.99,,€16.58/kg,https://www.tesco.ie/groceries/en-IE/products/277615281,https://digitalcontent.api.tesco.com/v2/media/ghs/3e2acba1-8536-4915-abbc-770e91d461e2/68a7e53f-0857-425c-a68f-3a40fb6d9d0b.jpeg?h=225&w=225
Tesco German Style Peppered Salami 11 Slices 110G,€1.60,,€14.54/kg,https://www.tesco.ie/groceries/en-IE/products/300412329,https://digitalcontent.api.tesco.com/v2/media/ghs/8ffb9e76-be12-4537-9f96-936a3ac56608/dd268fdb-0d5c-417c-ba6b-87dc74102423_1759696166.jpeg?h=225&w=225
Tesco Italian Salami Selection Platter 120G,€3.15,,€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/258091461,https://digitalcontent.api.tesco.com/v2/media/ghs/e46198d8-4250-401e-9e8d-7735c5f39bc2/3208465d-2d9a-4a0d-bf7b-d6d02f326ced.jpeg?h=225&w=225
Tesco Finest Nduja 70G,€2.75,,€39.29/kg,https://www.tesco.ie/groceries/en-IE/products/309455501,https://digitalcontent.api.tesco.com/v2/media/ghs/beca54b0-38c8-434a-9d87-6882f9c78b37/1b15614f-dbd9-4de2-820a-ec04cbc97430_939772603.jpeg?h=225&w=225
Beretta Salami Milano 85G,€2.15,,€25.29/kg,https://www.tesco.ie/groceries/en-IE/products/306826010,https://digitalcontent.api.tesco.com/v2/media/ghs/33869c8d-474a-4124-a0d8-bff683be8526/38beb075-a949-4246-8ffb-48eafaebdcfb_1152262372.jpeg?h=225&w=225
Noel Fuet Catalan 170G,€2.25,,€13.24/kg,https://www.tesco.ie/groceries/en-IE/products/307750120,https://digitalcontent.api.tesco.com/v2/media/ghs/f16e7e0a-c729-498f-ab88-132bf98bcb49/ada048ab-a66f-4905-bf9a-8b3387a884f3_1137795525.jpeg?h=225&w=225
Horgan's German Traditional Salami Slices 80G,€2.39,,€29.88/kg,https://www.tesco.ie/groceries/en-IE/products/308458753,https://digitalcontent.api.tesco.com/v2/media/ghs/1bd59401-9d5f-496a-a5b1-3dd916d374de/snapshotimagehandler_728148412.jpeg?h=225&w=225
Beretta Salami 120G,€2.15,,€17.92/kg,https://www.tesco.ie/groceries/en-IE/products/306807442,https://digitalcontent.api.tesco.com/v2/media/ghs/2dd1d4ee-7433-4b5b-b730-344056640854/9f550299-36cf-421b-868d-ad6dc7803c72_458452986.jpeg?h=225&w=225
Bracigliano Salumi Nduja Sausage 300G,€4.99,,€16.63/kg,https://www.tesco.ie/groceries/en-IE/products/310113888,https://digitalcontent.api.tesco.com/v2/media/ghs/08f314db-1527-44fa-85ae-8e8e650463bc/1dab3a4a-deaf-410d-812f-d245aa3c7f38_951378421.jpeg?h=225&w=225
Beretta Spianta Italiana 80G,€2.45,,€30.62/kg,https://www.tesco.ie/groceries/en-IE/products/310096498,https://digitalcontent.api.tesco.com/v2/media/ghs/d8a05017-2962-4189-b895-6fc0255add3f/500205b7-74c7-4edc-99f9-e01f74a14a8e_1043086853.jpeg?h=225&w=225
Chianti Salumi Salame Milano 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310117141,https://digitalcontent.api.tesco.com/v2/media/ghs/a966a1a0-27a8-407d-98b2-2c251bbe0edb/2e7b0ffc-1abb-4c2a-af98-34c1c5692575_1797310075.jpeg?h=225&w=225
Chianti Salumi Spianata Romana 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310100483,https://digitalcontent.api.tesco.com/v2/media/ghs/d417f46d-3b44-4092-a9c1-885173faeadd/2fe0de3c-4b7e-4c19-8cc8-c92eebc4e26c_694217399.jpeg?h=225&w=225
Chianti Saliumi Pgi Finocchiona 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310188384,https://digitalcontent.api.tesco.com/v2/media/ghs/97fc0a56-d42a-45fa-aea2-d5818cce6ef0/ab8eae61-3949-4dcb-9257-7ac151acb0dd_1942533179.jpeg?h=225&w=225
Chianti Salumi Spianata Piccante 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310143408,https://digitalcontent.api.tesco.com/v2/media/ghs/c6d0c383-68d9-429b-9218-f5d134a29709/bc4e367c-f74b-44a8-a73f-5c8567d576c5_224316000.jpeg?h=225&w=225
Chianti Salumi Salame Toscano 100G,€3.29,,€32.90/kg,https://www.tesco.ie/groceries/en-IE/products/310178091,https://digitalcontent.api.tesco.com/v2/media/ghs/ecc638de-287c-486b-8cad-832deb45830b/54a623e7-8c15-41c8-b8d4-3de0341f902c_1264885095.jpeg?h=225&w=225
