Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brady Family Traditional Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/312351533,https://digitalcontent.api.tesco.com/v2/media/ghs/21b48d31-7d98-4c44-91e1-c751c3a264aa/4748ef32-02b5-4185-b745-a5e7f8004be8_892479747.jpeg?h=225&w=225
Tesco Deli Style Traditional Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/282482976,https://digitalcontent.api.tesco.com/v2/media/ghs/b0b92885-7205-48dc-ba37-9429886c49e4/snapshotimagehandler_959056279.jpeg?h=225&w=225
Tesco Big Buy Crumbed Ham 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/288090071,https://digitalcontent.api.tesco.com/v2/media/ghs/207fede9-d5b0-492c-b31d-3aeb32cb83de/snapshotimagehandler_488939789.jpeg?h=225&w=225
Tesco Deli Style Crumbed Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/268854609,https://digitalcontent.api.tesco.com/v2/media/ghs/f642344f-395e-447b-a39d-ec1f0e5e028b/snapshotimagehandler_520356859.jpeg?h=225&w=225
Tesco Chicken Breast Slices 150g,€2.25,,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/278020988,https://digitalcontent.api.tesco.com/v2/media/ghs/fd8c52c1-fda8-4bf9-9bbc-348b23791c51/bc3102f1-003d-44ab-bbbc-0559098e9494_1952179425.jpeg?h=225&w=225
Tesco Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/315077974,https://digitalcontent.api.tesco.com/v2/media/ghs/07984b2f-d0c7-4211-a4dc-65a31a82fe26/9427c0e9-135b-4c69-a634-09dcf15dc523_64410245.jpeg?h=225&w=225
Tesco Big Buy Traditional 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/304425096,https://digitalcontent.api.tesco.com/v2/media/ghs/bc8ff077-586e-410e-ba7e-7d23b013454f/ccd6afd5-c052-46d3-86b3-76506bddeb28_640509155.jpeg?h=225&w=225
Brady Family Crumbed Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/311427740,https://digitalcontent.api.tesco.com/v2/media/ghs/705a5f19-cabe-42c2-9979-5bd5b5ed3ddd/b47cce67-2488-46b7-87f7-db3b9a197ab4_386648048.jpeg?h=225&w=225
TESCO WAFER THIN TRADITIONAL IRISH HAM SLICES 100g,€1.30,,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/314708985,https://digitalcontent.api.tesco.com/v2/media/ghs/fee5c040-ee11-402a-a9b5-1eeddf735f9c/abab50be-7437-43a8-87c9-5cef8a364d7d_1390531133.jpeg?h=225&w=225
Denny Luncheon Roll 4X4 90G,€1.25,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/277374236,https://digitalcontent.api.tesco.com/v2/media/ghs/5cfbf905-6be0-46fd-a25c-4fcbf4302804/e67cc16d-ab7c-45a1-8a06-83839dcaffe5_858382743.jpeg?h=225&w=225
