Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Chicken Breast Slices 150g,€2.25,,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/278020988,https://digitalcontent.api.tesco.com/v2/media/ghs/fd8c52c1-fda8-4bf9-9bbc-348b23791c51/bc3102f1-003d-44ab-bbbc-0559098e9494_1952179425.jpeg?h=225&w=225
Tesco Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/315077974,https://digitalcontent.api.tesco.com/v2/media/ghs/07984b2f-d0c7-4211-a4dc-65a31a82fe26/9427c0e9-135b-4c69-a634-09dcf15dc523_64410245.jpeg?h=225&w=225
Tesco Cajun Chicken Breast Slices 150g,€2.25,,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/278021221,https://digitalcontent.api.tesco.com/v2/media/ghs/94e509ae-1b0b-4644-99c7-910dd983bb25/c5bc4e08-ad1c-4a63-927d-358af059e54a_832880269.jpeg?h=225&w=225
Tesco Wafer Thin Roast Chicken Slices 200 G,€2.40,,€12.00/kg,https://www.tesco.ie/groceries/en-IE/products/273885444,https://digitalcontent.api.tesco.com/v2/media/ghs/cb66abc8-7bbe-42be-b474-4ddf4e0ca7f7/e0fd8efc-f548-48c0-a03b-5d2ffeacb2a0_1531067045.jpeg?h=225&w=225
Tesco Finest Carved Turkey Breast 120G,€3.15,"Any 2 for €5.50 Clubcard Price - Selected Tesco Finest* Ham, Chicken Or Beef 100g - 140g",€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/309482664,https://digitalcontent.api.tesco.com/v2/media/ghs/1b167662-4bb5-48fa-8a7e-14e41bdc5949/b078a411-33cb-4160-977c-55a87ee6e8d8_2110106389.jpeg?h=225&w=225
Tesco Cajun Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/314953797,https://digitalcontent.api.tesco.com/v2/media/ghs/cd053bbf-6846-4feb-b69e-ff9532eca3c8/33f25ef6-978b-44d3-a89d-088606a3ee71_1041593424.jpeg?h=225&w=225
Green Farm Foods Sliced Roast Turkey Breast90g,€3.29,€2.50 Clubcard Price,€36.56/kg,https://www.tesco.ie/groceries/en-IE/products/298116062,https://digitalcontent.api.tesco.com/v2/media/ghs/a870493f-cdd8-4ffc-8783-3ff2f3b28cb4/6762b81b-dd9d-42b8-90b6-bae4df735280_296605557.jpeg?h=225&w=225
Carroll's New York Deli Shaved Roast Turkey 90G,€3.49,€2.75 Clubcard Price,€38.78/kg,https://www.tesco.ie/groceries/en-IE/products/298303635,https://digitalcontent.api.tesco.com/v2/media/ghs/c9e23bd3-0493-4122-885c-d7ab60921541/73461bba-689c-43cd-bae5-431488be8ecb.jpeg?h=225&w=225
Tesco Tikka Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/314928027,https://digitalcontent.api.tesco.com/v2/media/ghs/27560004-c3df-47f7-a738-b4429bde3802/4a4ffd65-4e7f-46d6-bf17-ab5557a868af_657375.jpeg?h=225&w=225
Carroll's Signature Roast Carved Turkey 90G,€3.00,€2.50 Clubcard Price,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/304096835,https://digitalcontent.api.tesco.com/v2/media/ghs/efb67bdd-4224-4009-b63e-c6d03d00883d/cc5629bb-0808-4533-80fb-3bb881a04058_1269500477.jpeg?h=225&w=225
Tesco Fajita Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/314692517,https://digitalcontent.api.tesco.com/v2/media/ghs/c2383126-4e6a-4c39-b958-ef5fa598a553/0313a9d1-8b3a-40d9-83de-d33399128691_1749006696.jpeg?h=225&w=225
Tesco Ready To Eat Bbq Roast Chicken Wings 525G,€3.75,,€7.14/kg,https://www.tesco.ie/groceries/en-IE/products/279819342,https://digitalcontent.api.tesco.com/v2/media/ghs/cea2c0d1-28d6-4c1a-9caf-0f2a78c46d6a/601d9e67-8901-4813-a801-3484dfb03027.jpeg?h=225&w=225
Green Farm Sliced Chicken Breast 90G,€3.29,€2.50 Clubcard Price,€36.56/kg,https://www.tesco.ie/groceries/en-IE/products/312699997,https://digitalcontent.api.tesco.com/v2/media/ghs/c06b0b52-4844-4159-87ec-2703d9adccb9/e26e5d72-2a93-46ff-80e1-b946a684c236_1595984427.jpeg?h=225&w=225
Tesco Family Pack Chicken Breast Pieces 240G,€3.29,,€13.71/kg,https://www.tesco.ie/groceries/en-IE/products/314932321,https://digitalcontent.api.tesco.com/v2/media/ghs/69cddff9-74eb-4e1b-b18f-a36d96ff81e9/ce87d314-3c12-4f8c-b5a0-9ce0c31f48e1_327947885.jpeg?h=225&w=225
Tesco 2 Cooked Skinless Chicken Breast Fillets 220G,€3.75,,€17.04/kg,https://www.tesco.ie/groceries/en-IE/products/306938004,https://digitalcontent.api.tesco.com/v2/media/ghs/7ba956aa-f168-4110-bf3e-86de31ff032c/1d5f084e-e30b-4a9e-b17c-0b96d657101d.jpeg?h=225&w=225
Tesco Roast Turkey Slices 120G X 12,€1.69,,€14.08/kg,https://www.tesco.ie/groceries/en-IE/products/304696389,https://digitalcontent.api.tesco.com/v2/media/ghs/8ec0ad44-7d89-41ac-98c9-45557108739a/snapshotimagehandler_1493197149.jpeg?h=225&w=225
