Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Grab And Go Crumbed Ham 90G,€2.50,,€27.78/kg,https://www.tesco.ie/groceries/en-IE/products/304527199,https://digitalcontent.api.tesco.com/v2/media/ghs/98581a9c-2514-4895-a0df-a01890adf68e/snapshotimagehandler_1947176695.jpeg?h=225&w=225
Green Farm Roasted And Carved Turkey Slices 140G,€4.00,,€28.57/kg,https://www.tesco.ie/groceries/en-IE/products/306933545,https://digitalcontent.api.tesco.com/v2/media/ghs/2d34d890-b602-4b9e-9ec5-e956c3b671ad/7893ef50-3a5a-49e7-884f-d3bc4551589e_1812422970.jpeg?h=225&w=225
Brady Family At The Deli Traditional Ham Slices 120G,€4.00,,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/312705398,https://digitalcontent.api.tesco.com/v2/media/ghs/dab73e04-14c5-4f3f-b05a-c036401d4e02/3045ca39-77ef-42aa-a85e-274b80ab65f8_522261344.jpeg?h=225&w=225
Tesco Cooked Irish Ham 170G,€4.50,,€26.47/kg,https://www.tesco.ie/groceries/en-IE/products/310145533,https://digitalcontent.api.tesco.com/v2/media/ghs/9b42481e-90f7-43ce-9eb5-bbc2de1fc951/63f5f4b9-9fdc-4de1-a89e-023db0590719_713494327.jpeg?h=225&w=225
Tesco Family Pack Crumbed Irish Ham 300G,€4.50,,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/309750007,https://digitalcontent.api.tesco.com/v2/media/ghs/a8b7af22-3370-490b-a78e-631eb3b80ed5/84ed5053-eb2d-4598-97c9-73ec04d52d70_2008999761.jpeg?h=225&w=225
Brady Family At The Deli Thinly Crumbed Ham 120G,€4.00,,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/312693957,https://digitalcontent.api.tesco.com/v2/media/ghs/a72aa2f9-3af0-44ee-8669-cf7d4218738b/7baaac8e-1f38-4a8c-9caa-8788aad92c78_1310043454.jpeg?h=225&w=225
Brady Family At The Deli Baked Ham Slices 120G,€4.00,,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/312585613,https://digitalcontent.api.tesco.com/v2/media/ghs/3ad20e8d-2b67-48de-b8cb-e5c6b3355bc1/5105d930-0597-42ea-8461-bd01516eaf7a_731198019.jpeg?h=225&w=225
Tesco Family Pack Cooked Irish Ham 300G,€4.50,,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/310692898,https://digitalcontent.api.tesco.com/v2/media/ghs/de4aabc2-218a-4372-a896-16f52cc2f696/cff71168-f10c-431e-93c1-9c421050bc59_1732386926.jpeg?h=225&w=225
Carroll's Of Tullamore Honey Shaved Ham 150G,€4.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/310142467,https://digitalcontent.api.tesco.com/v2/media/ghs/c45965f0-d055-41f3-a929-3f85a49b6d40/e7f2c827-0f30-41eb-8c69-6cae9efe3204_795270164.jpeg?h=225&w=225
Green Farm Deli Peppered And Carve Turkey Slices 140G,€4.00,,€28.57/kg,https://www.tesco.ie/groceries/en-IE/products/309770277,https://digitalcontent.api.tesco.com/v2/media/ghs/2662e811-7805-487e-bc2b-2c92e8236ea2/ee88c80c-5d64-4b0a-9529-0369b27e205d_540187243.jpeg?h=225&w=225
Brady Family At The Deli Shaved Ham Slices 120G,€4.00,,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/312699527,https://digitalcontent.api.tesco.com/v2/media/ghs/e1ccfb46-e58c-47c9-b78c-d326a58ac1ba/c5347d24-0efe-4de0-84dc-707394398ca2_1612468654.jpeg?h=225&w=225
Carrol's Of Tullamore Oven Baked Ham 150G,€4.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/310676307,https://digitalcontent.api.tesco.com/v2/media/ghs/b6951c04-bdc4-4f87-86db-0d9e29211d73/ba80a09f-8035-4abf-bae5-3bac00321fe2_375869388.jpeg?h=225&w=225
Carroll's Of Tullamore Deli Crumbed Ham 150G,€4.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/310698045,https://digitalcontent.api.tesco.com/v2/media/ghs/3b07aad8-66ff-4f05-8cf1-4cf63a7d7c2d/10344ba0-1b2a-4c4f-852f-e0cb3a24c79d_1876710611.jpeg?h=225&w=225
Tesco Crumbed Irish Ham 170G,€4.50,,€26.47/kg,https://www.tesco.ie/groceries/en-IE/products/310688662,https://digitalcontent.api.tesco.com/v2/media/ghs/3f80fedd-c830-418b-9b8b-6598057934a4/e71bef36-ae6d-4272-bc18-93983fdd0d5b_65522890.jpeg?h=225&w=225
Carroll's Of Tullamore Smokey Bbq Ham 150G,€4.50,,€30.00/kg,https://www.tesco.ie/groceries/en-IE/products/310697806,https://digitalcontent.api.tesco.com/v2/media/ghs/c408d58d-3ef4-4600-bf95-beb10d0cb7e0/438ecad1-2a0b-45f4-bc1a-8618c780eae1_1204327054.jpeg?h=225&w=225
Brady Family At The Deli Turf Smoked Ham 120G,€4.00,,€33.33/kg,https://www.tesco.ie/groceries/en-IE/products/312587179,https://digitalcontent.api.tesco.com/v2/media/ghs/ba5bad98-35fc-4a75-8862-40afcc90c7bd/491df1ba-e37e-4e99-9a7b-bd62ef486ce2_1198135906.jpeg?h=225&w=225
Tesco Grab And Go Beechwood Smoked Bbq Ham 90G,€2.50,,€27.78/kg,https://www.tesco.ie/groceries/en-IE/products/304579989,https://digitalcontent.api.tesco.com/v2/media/ghs/fe2a7615-3adb-466f-aae8-ae11e8907900/snapshotimagehandler_221502165.jpeg?h=225&w=225
Denny Deli Traditional Irish Ham Slices 130G,€4.00,,€30.77/kg,https://www.tesco.ie/groceries/en-IE/products/306663674,https://digitalcontent.api.tesco.com/v2/media/ghs/d402d778-b39a-4b64-9cba-42a9d3eee840/388ce712-5771-497f-a8cc-8ca338281242_1336746192.jpeg?h=225&w=225
