Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brady Family Traditional Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/312351533,https://digitalcontent.api.tesco.com/v2/media/ghs/21b48d31-7d98-4c44-91e1-c751c3a264aa/4748ef32-02b5-4185-b745-a5e7f8004be8_892479747.jpeg?h=225&w=225
Tesco Deli Style Traditional Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/282482976,https://digitalcontent.api.tesco.com/v2/media/ghs/b0b92885-7205-48dc-ba37-9429886c49e4/snapshotimagehandler_959056279.jpeg?h=225&w=225
Tesco Big Buy Crumbed Ham 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/288090071,https://digitalcontent.api.tesco.com/v2/media/ghs/207fede9-d5b0-492c-b31d-3aeb32cb83de/snapshotimagehandler_488939789.jpeg?h=225&w=225
Tesco Deli Style Crumbed Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/268854609,https://digitalcontent.api.tesco.com/v2/media/ghs/f642344f-395e-447b-a39d-ec1f0e5e028b/snapshotimagehandler_520356859.jpeg?h=225&w=225
Tesco Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/315077974,https://digitalcontent.api.tesco.com/v2/media/ghs/07984b2f-d0c7-4211-a4dc-65a31a82fe26/9427c0e9-135b-4c69-a634-09dcf15dc523_64410245.jpeg?h=225&w=225
Tesco Big Buy Traditional 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/304425096,https://digitalcontent.api.tesco.com/v2/media/ghs/bc8ff077-586e-410e-ba7e-7d23b013454f/ccd6afd5-c052-46d3-86b3-76506bddeb28_640509155.jpeg?h=225&w=225
Brady Family Crumbed Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/311427740,https://digitalcontent.api.tesco.com/v2/media/ghs/705a5f19-cabe-42c2-9979-5bd5b5ed3ddd/b47cce67-2488-46b7-87f7-db3b9a197ab4_386648048.jpeg?h=225&w=225
Tesco Finest Carved Turkey Breast 120G,€3.15,"Any 2 for €5.50 Clubcard Price - Selected Tesco Finest* Ham, Chicken Or Beef 100g - 140g",€26.25/kg,https://www.tesco.ie/groceries/en-IE/products/309482664,https://digitalcontent.api.tesco.com/v2/media/ghs/1b167662-4bb5-48fa-8a7e-14e41bdc5949/b078a411-33cb-4160-977c-55a87ee6e8d8_2110106389.jpeg?h=225&w=225
Tesco Cajun Chicken Breast Pieces 120G,€2.20,Any 2 for €4 Clubcard Price - Selected Tesco Chicken Pieces 120g,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/314953797,https://digitalcontent.api.tesco.com/v2/media/ghs/cd053bbf-6846-4feb-b69e-ff9532eca3c8/33f25ef6-978b-44d3-a89d-088606a3ee71_1041593424.jpeg?h=225&w=225
Eastmans Big Buy Honey Roast Ham 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/288089952,https://digitalcontent.api.tesco.com/v2/media/ghs/712f26e0-8fef-40de-b0ac-998ef49c775c/snapshotimagehandler_1719406232.jpeg?h=225&w=225
