Title,Price,Promotional Price,Price Per,Product URL,Image URL
Sokolow Bukowe Poultry & Pork Sausages 600G,€3.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/307346674,https://digitalcontent.api.tesco.com/v2/media/ghs/b090a6b9-21c3-4634-9ab5-7e405e95b5bd/dbb728fe-8a0f-4472-b533-3d05d7846ffe.jpeg?h=225&w=225
Tarczynski Poultry Kabanos With Pork 105G,€2.10,,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/306801264,https://digitalcontent.api.tesco.com/v2/media/ghs/89b680a7-266a-452a-a549-ef38204ef3b4/f45147a0-731d-4170-9f62-83f0ac58a9e9.jpeg?h=225&w=225
Morliny Berlinki Chicken 250G,€2.55,,€10.20/kg,https://www.tesco.ie/groceries/en-IE/products/291347980,https://digitalcontent.api.tesco.com/v2/media/ghs/3f0ce09a-d196-4ee5-95a7-ecb0bebb78c6/de257a0e-9903-417e-878d-b1e6b20f2192.jpeg?h=225&w=225
Morliny Wiejska Slices 100G,€1.90,,€19.00/kg,https://www.tesco.ie/groceries/en-IE/products/288591313,https://digitalcontent.api.tesco.com/v2/media/ghs/d7709bf4-5a44-4209-a776-874593c11267/b0d843a4-0601-41ce-8669-7ae2bcf8c0f5.jpeg?h=225&w=225
Morliny Masurian Sausage 520G,€4.20,,€8.08/kg,https://www.tesco.ie/groceries/en-IE/products/285983908,https://digitalcontent.api.tesco.com/v2/media/ghs/0e2f115c-72f7-468c-be18-d2e62f78e696/199c8b82-9f0c-4085-8955-fc585f28b0d9.jpeg?h=225&w=225
Morliny Smoked Pork Belly 400G,€4.05,,€10.12/kg,https://www.tesco.ie/groceries/en-IE/products/278832091,https://digitalcontent.api.tesco.com/v2/media/ghs/2010c808-1e5f-45aa-9cdd-d78fd46af792/8f43f263-de20-4b14-8dd7-3d4c693d2639.jpeg?h=225&w=225
Krakus Polish Smoked Pork Snack 180G,€3.70,,€20.56/kg,https://www.tesco.ie/groceries/en-IE/products/268613056,https://digitalcontent.api.tesco.com/v2/media/ghs/9d6307e6-600d-48b0-96ad-53001ac82944/fee4d970-1e21-41d4-8f1a-0a87b2c8ab29.jpeg?h=225&w=225
Krakus Zywiecka Sausages 286G,€3.70,,€12.94/kg,https://www.tesco.ie/groceries/en-IE/products/268614007,https://digitalcontent.api.tesco.com/v2/media/ghs/004a4576-a83b-4a3d-8313-0e99b8ab05fc/f1169a9b-2d1f-4725-8369-846eb1ffa973_1845079628.jpeg?h=225&w=225
Morliny Chicken Krakowska 400G,€3.95,,€9.88/kg,https://www.tesco.ie/groceries/en-IE/products/305971656,https://digitalcontent.api.tesco.com/v2/media/ghs/6fba3484-ba08-46cc-815a-ea45f347b9f0/a03a26a5-3bd1-4f50-a916-fdec6c5f8174.jpeg?h=225&w=225
Sokolow Hunter's Polish Sausge 200G,€3.10,,€15.50/kg,https://www.tesco.ie/groceries/en-IE/products/282443666,https://digitalcontent.api.tesco.com/v2/media/ghs/ff5ab85a-f4d7-48f7-bc0a-620a87109f3f/snapshotimagehandler_78774736.jpeg?h=225&w=225
Morliny Chicken Breast Sausages 400G,€4.10,,€10.25/kg,https://www.tesco.ie/groceries/en-IE/products/286184695,https://digitalcontent.api.tesco.com/v2/media/ghs/87d230b0-9f5c-42a3-85b0-efc49284c62b/ad9a0bdd-dacf-4fd2-ae1d-68614284b713.jpeg?h=225&w=225
Morliny Szynka Ham Slices 250G,€4.35,,€17.40/kg,https://www.tesco.ie/groceries/en-IE/products/302353742,https://digitalcontent.api.tesco.com/v2/media/ghs/5eacdaa2-80b5-4d66-a654-c313167a9467/1b235bd3-696a-4b43-91c6-ae8bfd9b7b23_744275131.jpeg?h=225&w=225
