Title,Price,Promotional Price,Price Per,Product URL,Image URL
Brady Family Traditional Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/312351533,https://digitalcontent.api.tesco.com/v2/media/ghs/21b48d31-7d98-4c44-91e1-c751c3a264aa/4748ef32-02b5-4185-b745-a5e7f8004be8_892479747.jpeg?h=225&w=225
Tesco Deli Style Traditional Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/282482976,https://digitalcontent.api.tesco.com/v2/media/ghs/b0b92885-7205-48dc-ba37-9429886c49e4/snapshotimagehandler_959056279.jpeg?h=225&w=225
Tesco Deli Style Crumbed Ham 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/268854609,https://digitalcontent.api.tesco.com/v2/media/ghs/f642344f-395e-447b-a39d-ec1f0e5e028b/snapshotimagehandler_520356859.jpeg?h=225&w=225
Brady Family Crumbed Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/311427740,https://digitalcontent.api.tesco.com/v2/media/ghs/705a5f19-cabe-42c2-9979-5bd5b5ed3ddd/b47cce67-2488-46b7-87f7-db3b9a197ab4_386648048.jpeg?h=225&w=225
TESCO WAFER THIN TRADITIONAL IRISH HAM SLICES 100g,€1.30,,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/314708985,https://digitalcontent.api.tesco.com/v2/media/ghs/fee5c040-ee11-402a-a9b5-1eeddf735f9c/abab50be-7437-43a8-87c9-5cef8a364d7d_1390531133.jpeg?h=225&w=225
Tesco Traditional Irish Ham Slices 100G,€1.30,,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/314955518,https://digitalcontent.api.tesco.com/v2/media/ghs/0b4ea8b6-ff71-43d6-b561-d62875e9cbc9/f1def3f7-85b7-4f53-9caf-6164489cb776_459659470.jpeg?h=225&w=225
Henry Denny And Sons Carved Irish Ham 80G,€2.00,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/314104236,https://digitalcontent.api.tesco.com/v2/media/ghs/20e05019-9188-4e8e-bd71-e0bfb3d4e0e1/b6f9b284-2227-4833-ac7b-b19e38f40560_27487698.jpeg?h=225&w=225
Tesco Crumbed Irish Ham Slices 100G,€1.30,,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/314932197,https://digitalcontent.api.tesco.com/v2/media/ghs/1ea3cc73-4eee-4228-a8d8-d225e25821f0/63555488-f970-4c57-8043-98aae7146db0_2020563685.jpeg?h=225&w=225
Carrolls Banded Pack Traditional 2 X 90G,€4.00,,€22.22/kg,https://www.tesco.ie/groceries/en-IE/products/294119278,https://digitalcontent.api.tesco.com/v2/media/ghs/c34e0fae-ef8c-4c7e-b27a-6767abd6f1a8/54e0ae87-6cee-49e9-af00-bbaafba72195_1003228866.jpeg?h=225&w=225
Tesco Wafer Thin Traditional Irish Ham Slices 200G,€3.30,€2.55 Clubcard Price,€16.50/kg,https://www.tesco.ie/groceries/en-IE/products/315165947,https://digitalcontent.api.tesco.com/v2/media/ghs/d6d493dd-656f-4638-a905-a64a7b214af8/2afbaf5a-cc87-4b4b-b06e-f8077a89ed0d_265477107.jpeg?h=225&w=225
