Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Big Buy Crumbed Ham 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/288090071,https://digitalcontent.api.tesco.com/v2/media/ghs/207fede9-d5b0-492c-b31d-3aeb32cb83de/snapshotimagehandler_488939789.jpeg?h=225&w=225
Tesco Big Buy Traditional 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/304425096,https://digitalcontent.api.tesco.com/v2/media/ghs/bc8ff077-586e-410e-ba7e-7d23b013454f/ccd6afd5-c052-46d3-86b3-76506bddeb28_640509155.jpeg?h=225&w=225
Denny Luncheon Roll 4X4 90G,€1.25,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/277374236,https://digitalcontent.api.tesco.com/v2/media/ghs/5cfbf905-6be0-46fd-a25c-4fcbf4302804/e67cc16d-ab7c-45a1-8a06-83839dcaffe5_858382743.jpeg?h=225&w=225
Eastmans Big Buy Honey Roast Ham 320G,€3.29,€2.99 Clubcard Price,€10.28/kg,https://www.tesco.ie/groceries/en-IE/products/288089952,https://digitalcontent.api.tesco.com/v2/media/ghs/712f26e0-8fef-40de-b0ac-998ef49c775c/snapshotimagehandler_1719406232.jpeg?h=225&w=225
Denny Chicken And Ham 90G,€1.25,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/277374098,https://digitalcontent.api.tesco.com/v2/media/ghs/74df8227-5a5f-41b5-b94a-22935bf127a6/e3f9d9e7-d82a-4bf5-974e-ddbcb88adf95_536638373.jpeg?h=225&w=225
Carroll's Of Tullamore Wafer Thin Ham 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/310686255,https://digitalcontent.api.tesco.com/v2/media/ghs/00dc47bb-cb87-49a3-84be-b504182351d9/bee7a0e7-5dc0-4a97-95cb-cab5618e34a7_836041506.jpeg?h=225&w=225
"Denny Pork, Onion And Tomato 90G",€1.25,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/277374167,https://digitalcontent.api.tesco.com/v2/media/ghs/bf5ad20a-fe79-4656-89a7-9b7976634197/19396ee6-ac8b-42d6-bbe4-47972b2baf13_474534281.jpeg?h=225&w=225
Carroll's Crumbed Ham 245G,€4.50,,€18.37/kg,https://www.tesco.ie/groceries/en-IE/products/281492286,https://digitalcontent.api.tesco.com/v2/media/ghs/dea7b698-0a22-495b-8cc8-0cf4addb7e06/43bbc605-adce-459e-a042-e766deaadfb1_1212405464.jpeg?h=225&w=225
Carrolls Big Pack Traditional Ham 245G,€4.50,,€18.37/kg,https://www.tesco.ie/groceries/en-IE/products/287838923,https://digitalcontent.api.tesco.com/v2/media/ghs/e6e8c387-5982-46a4-a620-d3d46a55ba70/d15a1b6e-206a-4958-b2c2-6688d425a190_1563670212.jpeg?h=225&w=225
Billy Bear Slices Of Pork Sausage 90G,€2.49,,€27.67/kg,https://www.tesco.ie/groceries/en-IE/products/311957817,https://digitalcontent.api.tesco.com/v2/media/ghs/bc92fd33-c846-45ed-bd02-a4ac55851393/109df570-c5cf-4252-8e86-a3611d2de464_80263471.jpeg?h=225&w=225
Denny Corned Beef 100G,€2.45,,€24.50/kg,https://www.tesco.ie/groceries/en-IE/products/287943896,https://digitalcontent.api.tesco.com/v2/media/ghs/787a72ca-905d-4ea9-8c24-c4f71343a2a8/3ce7c0cb-7bde-46bf-9d3d-c2f5fcb95475_284865854.jpeg?h=225&w=225
Denny Pork Onion & Tomato Roll 200G,€2.55,,€12.75/kg,https://www.tesco.ie/groceries/en-IE/products/253911479,https://digitalcontent.api.tesco.com/v2/media/ghs/1b050620-218a-4a32-8a1d-242ccf7af1bc/7555f6d8-e86d-4dcc-8925-823d89f87ee1.jpeg?h=225&w=225
Paw Patrol Slices Of Pork Sausage 90G,€2.49,,€27.67/kg,https://www.tesco.ie/groceries/en-IE/products/311941522,https://digitalcontent.api.tesco.com/v2/media/ghs/5f0318ca-716e-431f-86e8-10e91dcbc2ab/b764b7cd-0831-4ee8-af30-94a45863a2e2_1454458092.jpeg?h=225&w=225
Carroll's Of Tullamore Wafer Crumbed Ham 200G,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/310117417,https://digitalcontent.api.tesco.com/v2/media/ghs/8c65d6d8-a8d7-49dc-a43d-e497a96d5102/591cf674-98fc-4ff0-8cef-8d3ade45cb78_1125460259.jpeg?h=225&w=225
Denny Hand Crumbed Irish Ham Family Pack 210G,€4.00,,€19.05/kg,https://www.tesco.ie/groceries/en-IE/products/313839762,https://digitalcontent.api.tesco.com/v2/media/ghs/0e9b753d-29b7-4dbd-9613-20689b8760f4/24617803-03c8-4508-9c60-81144741573f_1196071616.jpeg?h=225&w=225
Henry Denny And Sons Carved Irish Ham 210G,€4.00,,€19.05/kg,https://www.tesco.ie/groceries/en-IE/products/313959320,https://digitalcontent.api.tesco.com/v2/media/ghs/87c46789-ab85-457c-80cb-9e155ee3fbbc/4402925f-cd10-427e-a357-8f939556a51c_663161283.jpeg?h=225&w=225
