Title,Price,Promotional Price,Price Per,Product URL,Image URL
Alpro Vanilla Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/264930746,https://digitalcontent.api.tesco.com/v2/media/ghs/897900c3-5c35-421c-b33e-874d475da094/273c6e3c-0d96-4482-a5f7-eee42ec60021.jpeg?h=225&w=225
Alpro Greek Style Plain Dairy Free Yoghurt Alternative 400g,€2.49,€2.00 Clubcard Price,€6.22/kg,https://www.tesco.ie/groceries/en-IE/products/293836686,https://digitalcontent.api.tesco.com/v2/media/ghs/152ead69-ddb2-4193-807c-4ced19d7d3fd/46cc32e2-ffc2-4629-8b51-808042d52f6b.jpeg?h=225&w=225
Free From Violife Sliced Cheese Alternative 200G,€3.69,€3.00 Clubcard Price,€18.45/kg,https://www.tesco.ie/groceries/en-IE/products/285363364,https://digitalcontent.api.tesco.com/v2/media/ghs/47bcfa39-c519-4719-ac4c-95412e91cd3b/93b3f2af-1bba-437c-bf4d-b15811f35319.jpeg?h=225&w=225
Alpro Cherry Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/293836945,https://digitalcontent.api.tesco.com/v2/media/ghs/69d6c5dc-587e-4151-a1c3-3705095c1d0c/1e3939e6-3257-4e25-a45d-078e3aca7dae.jpeg?h=225&w=225
Alpro Greek Style Strawberry Raspberry Yoghurt Alternative 150g,€1.59,€1.30 Clubcard Price,€10.60/kg,https://www.tesco.ie/groceries/en-IE/products/296151638,https://digitalcontent.api.tesco.com/v2/media/ghs/f3ab252a-4bb9-4b7b-a322-ac7bc6d5c27f/bda2d972-0af2-437a-9799-1cd74180a41f.jpeg?h=225&w=225
Alpro Plain No Sugars Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/300161315,https://digitalcontent.api.tesco.com/v2/media/ghs/f1aa492f-9bb3-4437-8cd9-412799b86def/2eacb779-fccc-406d-b57b-d35e1ab1c025.jpeg?h=225&w=225
Alpro Strawberry Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/284254950,https://digitalcontent.api.tesco.com/v2/media/ghs/1a04f171-9108-4d20-a6fb-5c385a46b829/919f122f-44cb-4ddb-add3-c065707cfa72.jpeg?h=225&w=225
Alpro Plain Coconut Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/287042159,https://digitalcontent.api.tesco.com/v2/media/ghs/cb0e90a2-f4be-4282-a6f3-2d7255bdd2e5/0e5ae6fa-d510-4885-b512-d9fa720fec2e.jpeg?h=225&w=225
Alpro Strawberry Gut Health Dairy Free Soya Yoghurt Alternative 4x125g,€3.49,€2.50 Clubcard Price,€6.98/kg,https://www.tesco.ie/groceries/en-IE/products/314324062,https://digitalcontent.api.tesco.com/v2/media/ghs/79d42e84-4949-4d21-924c-88f5766d6e6d/df3d563d-c226-4ed0-b172-27bfe4d7a8df.jpeg?h=225&w=225
Alpro Blueberry Dairy Free Soya Yoghurt Alternative 500g,€2.49,€2.00 Clubcard Price,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/293836997,https://digitalcontent.api.tesco.com/v2/media/ghs/47cc61f9-b37d-4ec8-8f6d-8af8b161fe76/c7c5580f-141e-4d7f-a2ea-7f932f3cc64c.jpeg?h=225&w=225
