Title,Price,Promotional Price,Price Per,Product URL,Image URL
Chrysanthemums (Metro),€3.99,,€3.99/each,https://www.tesco.ie/groceries/en-IE/products/266586941,https://digitalcontent.api.tesco.com/v2/media/ghs/0ae6dcfd-2f76-4225-903c-be69489e4011/snapshotimagehandler_52253879.jpeg?h=225&w=225
Tesco Oriental Lilies 3 Stems,€5.75,,€5.75/each,https://www.tesco.ie/groceries/en-IE/products/294175066,https://digitalcontent.api.tesco.com/v2/media/ghs/9017a0e9-fbe5-4e7e-8311-5061c838e1d4/snapshotimagehandler_1960357491.jpeg?h=225&w=225
Tesco Temple Street Bouquet,€10.00,,€10.00/each,https://www.tesco.ie/groceries/en-IE/products/292633674,https://digitalcontent.api.tesco.com/v2/media/ghs/fc5da1fc-f428-4e1e-8109-b0bbc207ac1f/snapshotimagehandler_1087856294.jpeg?h=225&w=225
Tesco Rainbow Tulips Bunch,€6.00,,€6.00/each,https://www.tesco.ie/groceries/en-IE/products/261721110,https://digitalcontent.api.tesco.com/v2/media/ghs/2e593195-1ec0-4b7c-bc47-a1a7aa87284b/snapshotimagehandler_552092035.jpeg?h=225&w=225
Tesco Charming Bouquet,€5.00,,€5.00/each,https://www.tesco.ie/groceries/en-IE/products/311226154,https://digitalcontent.api.tesco.com/v2/media/ghs/b5a21fab-6f69-48c1-ba54-c1291f22971c/96a075c7-80bd-449e-bc66-2cc56fd9de4f_1285722481.jpeg?h=225&w=225
Mixed Roses Bouquet,€11.00,,€11.00/each,https://www.tesco.ie/groceries/en-IE/products/267720303,https://digitalcontent.api.tesco.com/v2/media/ghs/23d73140-9d29-42b2-a744-9f46d046a458/snapshotimagehandler_1613991480.jpeg?h=225&w=225
Tesco Exotic Bouquet,€10.00,,€10.00/each,https://www.tesco.ie/groceries/en-IE/products/287305828,https://digitalcontent.api.tesco.com/v2/media/ghs/afa5508e-1fd9-49b3-ad13-6de80eea2413/snapshotimagehandler_2072844272.jpeg?h=225&w=225
Tesco Candy Bouquet,€8.00,,€8.00/each,https://www.tesco.ie/groceries/en-IE/products/311205916,https://digitalcontent.api.tesco.com/v2/media/ghs/899937dd-061a-4248-ac34-255c772615b9/2ea12dc6-81d2-4cf1-8a1d-5d5ed4fe38f7_1214337433.jpeg?h=225&w=225
Tesco Rosees XL,€16.00,,€5.33/each,https://www.tesco.ie/groceries/en-IE/products/305065053,https://digitalcontent.api.tesco.com/v2/media/ghs/4dfb94f1-113a-4f44-beb6-16c2d7d0a580/1c4f8435-eae6-4527-9cc9-d9dd8eb81ef7_1078438331.jpeg?h=225&w=225
Tesco Irish Grown Daffodils,€1.39,2 for €2.20 Clubcard Price - Buy Tesco Irish Grown Daffodils,€1.39/each,https://www.tesco.ie/groceries/en-IE/products/295685941,https://digitalcontent.api.tesco.com/v2/media/ghs/e208429a-7e64-40b5-a888-837b503fa52b/snapshotimagehandler_1468290622.jpeg?h=225&w=225
