Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fun-Sized Apples 10 Pack,€1.79,,€0.18/each,https://www.tesco.ie/groceries/en-IE/products/268508082,https://digitalcontent.api.tesco.com/v2/media/ghs/b0d55776-aa09-4856-9aef-3a48af4c5650/6b8b6994-093e-4255-8416-fc9417ca25cb_1257199050.jpeg?h=225&w=225
Tesco Pink Lady Apple Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284182372,https://digitalcontent.api.tesco.com/v2/media/ghs/05e177a0-aed6-40d3-8763-804d8ae24b50/snapshotimagehandler_280265651.jpeg?h=225&w=225
Tesco Pink Lady Apple Minimum 5 Pack,€2.99,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/284477542,https://digitalcontent.api.tesco.com/v2/media/ghs/f8ade93e-6ef9-4f80-8c41-23ac8d72b1fc/6ec59d9d-4bcd-401a-b986-ec6d9a99769d.jpeg?h=225&w=225
Kids Pink Lady Apple Tray 5 Pack,€2.19,,€0.44/each,https://www.tesco.ie/groceries/en-IE/products/303007973,https://digitalcontent.api.tesco.com/v2/media/ghs/202d794e-91fe-42a3-8c50-f4e3d5468327/b1c0b63a-7c5c-4c6e-9902-f422c87363bd.jpeg?h=225&w=225
Tesco Granny Smith Apple Minimum 5 Pack,€1.59,,€0.26/each,https://www.tesco.ie/groceries/en-IE/products/284475832,https://digitalcontent.api.tesco.com/v2/media/ghs/bd5ce117-8ee6-46df-9a21-6c44ae4998c5/47b6490b-7dc4-4b5a-a1ca-05325e9586c7.jpeg?h=225&w=225
Tesco Conference Pear Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284183146,https://digitalcontent.api.tesco.com/v2/media/ghs/efa344ba-c790-4904-a7d7-b60f3b68b792/76f2dd85-e74b-4f66-bc1d-6588a7e28822.jpeg?h=225&w=225
Tesco Fun-Sized Pears Min 7 Pack,€1.29,,€0.18/each,https://www.tesco.ie/groceries/en-IE/products/266921263,https://digitalcontent.api.tesco.com/v2/media/ghs/b6ee7064-01fc-45f7-918e-1e1d5547226e/be3ccd31-55c2-40d0-98d4-64006c52fba4_582037424.jpeg?h=225&w=225
Tesco Gala Apple 7 Pack,€2.09,,€0.30/each,https://www.tesco.ie/groceries/en-IE/products/305138313,https://digitalcontent.api.tesco.com/v2/media/ghs/2a8279c0-e2f2-4960-a51d-4d799e1f2fd2/477fbaf8-98c5-4e9b-90d3-33f4380ba199_1437955838.jpeg?h=225&w=225
Tesco Fun-Sized Apples 6 Pack,€0.89,59c Clubcard Price,€0.15/each,https://www.tesco.ie/groceries/en-IE/products/309193401,https://digitalcontent.api.tesco.com/v2/media/ghs/ef517377-e575-4b86-90fb-f5c2c8c3d516/7ecb3f1e-420f-48f8-8bce-1d2330ae110b.jpeg?h=225&w=225
Tesco Pink Lady Apple Fridge Minimum 4,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/284477450,https://digitalcontent.api.tesco.com/v2/media/ghs/b599b39f-4e68-42bc-861a-09832828bb67/8af27e28-2042-4dcd-96c8-b3c7f7449d83.jpeg?h=225&w=225
Tesco Perfectly Ripe Conference Minimum 4 Pack Pear,€2.99,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/284475129,https://digitalcontent.api.tesco.com/v2/media/ghs/0077bc6e-6dd1-4034-bf51-b3c251e7e034/e48d3e85-c81c-41de-8bba-632d1cacd59c.jpeg?h=225&w=225
Tesco Ripen At Home Conference Pears 1Kg,€2.65,,€2.65/kg,https://www.tesco.ie/groceries/en-IE/products/307749497,https://digitalcontent.api.tesco.com/v2/media/ghs/4da64e14-2496-4497-879a-27fd8411c8d6/5470b1ce-4ff7-4d85-a65b-df6d8e5b8d73.jpeg?h=225&w=225
Tesco Golden Delicious Apple Minimum 5 Pack,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/284475890,https://digitalcontent.api.tesco.com/v2/media/ghs/dea69143-b6dc-4ae9-a54a-d4386bd526ac/be17c802-7c1e-4175-99a0-19a703524a1f.jpeg?h=225&w=225
Keeling Perfectly Ripe Conference Pear 6 Pack,€2.99,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/313389504,https://digitalcontent.api.tesco.com/v2/media/ghs/fb3d2a84-bc7d-46c9-95ae-0d5bc392e1cf/b6c19cdb-b1a5-4f94-aa57-70368a3631c6.jpeg?h=225&w=225
Tesco Ready To Eat Seasonal Pears 4Pack 550G,€2.75,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/284475164,https://digitalcontent.api.tesco.com/v2/media/ghs/5bb69def-62f0-4aab-ad1d-176cc785a8ed/3edd2648-35be-4e90-9a88-9989fa179c0e.jpeg?h=225&w=225
Tesco Gala Apple 4 Pack,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/284477156,https://digitalcontent.api.tesco.com/v2/media/ghs/ea432166-cf84-4d3b-aa0d-8fd2e3a7cc9d/snapshotimagehandler_1332297147.jpeg?h=225&w=225
Tesco Bramley Cooking Apples Loose,€0.55,,€2.19/kg,https://www.tesco.ie/groceries/en-IE/products/253558033,https://digitalcontent.api.tesco.com/v2/media/ghs/6087c9de-e141-430e-a883-f8faca34ee71/b10f541b-7f0f-45f5-acd1-5bcb47d44835.jpeg?h=225&w=225
Keelings Irish Bramley Apple Bag 900G,€1.79,€1.39 Clubcard Price,€1.99/kg,https://www.tesco.ie/groceries/en-IE/products/305367289,https://digitalcontent.api.tesco.com/v2/media/ghs/88246ab1-3d44-4479-aecf-e8b7bd9953ee/9a57d343-6a71-43d9-ac6a-7e9e62e806d3_224944775.jpeg?h=225&w=225
Honeycrunch Apple 6 Pack,€3.00,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/306803953,https://digitalcontent.api.tesco.com/v2/media/ghs/65f3df7b-6519-4111-b90c-f4111e33ddcb/174397b7-2cc7-4180-affe-46fd7286083c.jpeg?h=225&w=225
Keelings Irish Bramley Apple 4 Pack,€1.99,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/265590551,https://digitalcontent.api.tesco.com/v2/media/ghs/9fca3117-8a80-4410-bf9c-0a7514b4d02c/8c613a93-8762-46cc-b8b4-3680131d5815_1247679432.jpeg?h=225&w=225
Tesco Braeburn Apple 5 Pack,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/284475671,https://digitalcontent.api.tesco.com/v2/media/ghs/8e5eb1c1-e8e6-4624-830e-ff5a42928ec2/3d5d9cf9-aa67-4497-a15b-4e56471524d6.jpeg?h=225&w=225
Blue Whale Organic Premium Red Apples 4 Pack,€2.99,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/308857062,https://digitalcontent.api.tesco.com/v2/media/ghs/e23561a2-01a2-44fb-b1cf-524797b6179d/de22bcdb-1d23-4708-89aa-3ac0e55e465d_1712238932.jpeg?h=225&w=225
Tesco Gala Apple Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284182579,https://digitalcontent.api.tesco.com/v2/media/ghs/302f7796-456b-42f8-b53e-219b39672355/840f4f32-11e5-4fef-beb1-d8890e4cc10b_1062369376.jpeg?h=225&w=225
Tesco Honeycrunch Apples 4 Pack,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/305118458,https://digitalcontent.api.tesco.com/v2/media/ghs/23e217d8-072b-419f-a65c-f5d574c7ff4e/091f8231-a432-494a-8a89-58acf8c738e8.jpeg?h=225&w=225
Tesco Granny Smith Apple Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284182692,https://digitalcontent.api.tesco.com/v2/media/ghs/755b7969-2c12-4553-bddd-8ecb05b0214e/74450ceb-4704-4a16-ac60-1ccd6f1c9b11_392832996.jpeg?h=225&w=225
Tesco Kanzi Apples 4 Pack,€3.00,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/305296539,https://digitalcontent.api.tesco.com/v2/media/ghs/9f148d02-3cf8-486d-83b8-a23514c068d9/36152859-1b06-42b5-a041-298c0b3f1f79.jpeg?h=225&w=225
Qtee Pears 4 Pack,€2.29,,€0.57/each,https://www.tesco.ie/groceries/en-IE/products/312577787,https://digitalcontent.api.tesco.com/v2/media/ghs/11c0b7d9-9d45-435e-bc77-cfe04d8575ff/6355d476-c54a-483a-8db3-979b8cc4e692.jpeg?h=225&w=225
Tesco Irish Apple 6 Pack,€1.99,,€0.33/each,https://www.tesco.ie/groceries/en-IE/products/284477179,https://digitalcontent.api.tesco.com/v2/media/ghs/a1cc3ce9-983d-41a9-a905-e77ec1c55949/1191cdf9-bb90-43f4-9729-d84ce091823e_677259123.jpeg?h=225&w=225
Keelings Best In Season Red Apples 4 Pack,€2.99,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/312362407,https://digitalcontent.api.tesco.com/v2/media/ghs/47c1e6df-5a66-4ce2-adcd-6ce0a8d80cf9/38190032-3662-432c-955f-d96386cd9b51.jpeg?h=225&w=225
Keelings Irish Apple Tray 4 Pack,€2.29,,€0.57/each,https://www.tesco.ie/groceries/en-IE/products/280905705,https://digitalcontent.api.tesco.com/v2/media/ghs/dbc2b5d1-07ef-4343-93a9-df102f3a03be/2936daab-2da3-4457-b838-ef000a633fe1_889889641.jpeg?h=225&w=225
