Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Blueberry 150G,€1.99,,€13.27/kg,https://www.tesco.ie/groceries/en-IE/products/304074280,https://digitalcontent.api.tesco.com/v2/media/ghs/85397ee0-fda3-4439-b0d0-229535fee232/408ca3a4-f53f-4171-9f7e-45b510cd4e5b_846476842.jpeg?h=225&w=225
Tesco Strawberry 227G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/278001994,https://digitalcontent.api.tesco.com/v2/media/ghs/834023cf-8931-482b-8b2a-799cfd849394/166b4f4d-21ca-478b-9215-dbb339047564_44260473.jpeg?h=225&w=225
Tesco Raspberries 125G,€1.95,,€15.60/kg,https://www.tesco.ie/groceries/en-IE/products/256078792,https://digitalcontent.api.tesco.com/v2/media/ghs/13aabd0c-5e38-485a-b9dc-746a637a2c9e/6444dbef-731b-4bf4-b498-5398e3203b36_504014066.jpeg?h=225&w=225
Tesco Blueberry 375G,€5.00,,€13.33/kg,https://www.tesco.ie/groceries/en-IE/products/296482989,https://digitalcontent.api.tesco.com/v2/media/ghs/f8f66e46-7ddb-416d-9672-c55314103f42/2bf06e35-8bf0-4a6c-ae6a-dbdbeb3eb922_1450331823.jpeg?h=225&w=225
Keelings Raspberry 125G,€2.99,,€23.92/kg,https://www.tesco.ie/groceries/en-IE/products/265585419,https://digitalcontent.api.tesco.com/v2/media/ghs/30a9ded7-32ff-4203-8265-75f8c9070c42/da88fd8a-7fdb-4955-bbb8-f6f169841dbe_614310363.jpeg?h=225&w=225
Keelings Strawberry 227G,€2.99,,€13.17/kg,https://www.tesco.ie/groceries/en-IE/products/274923634,https://digitalcontent.api.tesco.com/v2/media/ghs/bf1d5ac9-0b82-49b6-b525-f4f48888f0d9/8dc9cff5-c179-4990-9df3-e9fba0b9e9fa_1778964397.jpeg?h=225&w=225
Keelings Blueberry 125G,€2.99,,€23.92/kg,https://www.tesco.ie/groceries/en-IE/products/283348599,https://digitalcontent.api.tesco.com/v2/media/ghs/846bb8d5-2b1f-49eb-952c-6b7dd7ca5cbf/4148d092-d382-4822-822b-87e7ca0a5cd8_1999025843.jpeg?h=225&w=225
Tesco Strawberry 400G,€3.99,,€9.98/kg,https://www.tesco.ie/groceries/en-IE/products/292962071,https://digitalcontent.api.tesco.com/v2/media/ghs/a1b6ac43-f1b3-495a-9ac4-a590258199da/4e2c55ca-ee0a-4fba-9b42-bab7aa4e0a84_1779660229.jpeg?h=225&w=225
Keelings Family Pack Strawberry 400G,€4.79,,€11.98/kg,https://www.tesco.ie/groceries/en-IE/products/280573555,https://digitalcontent.api.tesco.com/v2/media/ghs/a0cab5fd-87e0-4b8f-9e92-ffc30bf5acef/0b25e7a1-5efe-4a11-ae00-3a701c36c31a_686156848.jpeg?h=225&w=225
Keelings Blackberries 125G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/266724485,https://digitalcontent.api.tesco.com/v2/media/ghs/12939fd2-dba0-4d43-a3c8-825a37fb3ca2/9ca93db4-5bdf-42bf-9034-57407214e4b4_1625338053.jpeg?h=225&w=225
Tesco Finest Blueberries 125G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/311941447,https://digitalcontent.api.tesco.com/v2/media/ghs/58d5e510-5c9d-467b-8a74-519e6893fc9a/336e5696-598b-4cb4-8cbc-7844f97f403a_2130023298.jpeg?h=225&w=225
Tesco Cranberries 300G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/264878186,https://digitalcontent.api.tesco.com/v2/media/ghs/2386cbb8-3639-434c-aa8d-f06a5a4da083/99cf2748-7113-416d-9f7f-fc5994d0f01a_1705803711.jpeg?h=225&w=225
Tesco Raspberries 250G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/287377736,https://digitalcontent.api.tesco.com/v2/media/ghs/27807a2d-245f-449e-9fd4-adb7181ca111/241e9e07-9ae6-48ab-8f4e-c9d831a2bbca.jpeg?h=225&w=225
