Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fun-Sized Easy Peeler 500G,€0.99,59c Clubcard Price,€1.98/kg,https://www.tesco.ie/groceries/en-IE/products/288116774,https://digitalcontent.api.tesco.com/v2/media/ghs/9bde00ae-7127-447c-b546-d33547793aaf/snapshotimagehandler_38488965.jpeg?h=225&w=225
Tesco Lemon Net 4 Pack,€1.32,,€0.33/each,https://www.tesco.ie/groceries/en-IE/products/303153545,https://digitalcontent.api.tesco.com/v2/media/ghs/9981fd65-f182-4baa-9631-691431f64523/97c74f84-72b2-4683-b1ad-40c83332b336_806741923.jpeg?h=225&w=225
Tesco Easy Peeler Pack 750G,€2.29,,€3.05/kg,https://www.tesco.ie/groceries/en-IE/products/303759559,https://digitalcontent.api.tesco.com/v2/media/ghs/fc0898ce-63b4-4957-87bc-9fafee7380c0/e4fb4ff5-b8fd-4391-a133-08543d36d13d.jpeg?h=225&w=225
Tesco Lemon And Lime Pack,€1.79,€1.19 Clubcard Price,€0.30/each,https://www.tesco.ie/groceries/en-IE/products/251193357,https://digitalcontent.api.tesco.com/v2/media/ghs/5dd89bda-bb57-4d64-a175-2cf7c18cba32/5deca280-5b87-4d9c-b3e6-e7ded3a8d96e.jpeg?h=225&w=225
Tesco Sweet Easy Peeler Box 1Kg,€3.29,,€3.29/kg,https://www.tesco.ie/groceries/en-IE/products/290526113,https://digitalcontent.api.tesco.com/v2/media/ghs/429a2328-9e65-4dfd-b83b-6e60cc3efd13/68c2340c-96af-4b42-aa6b-caa0daed44eb.jpeg?h=225&w=225
Tesco Limes 4 Pack,€0.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/303174831,https://digitalcontent.api.tesco.com/v2/media/ghs/3b5f3dc6-fd42-4103-999b-7ee8cb9dba8a/6819efe6-9b31-4418-a395-3c76bc0d47cd.jpeg?h=225&w=225
Tesco Lemons Each,€0.45,,€0.45/each,https://www.tesco.ie/groceries/en-IE/products/253556398,https://digitalcontent.api.tesco.com/v2/media/ghs/f3c37287-6e96-4c28-b508-ea7a52dd404f/69f11f32-f7e8-4660-af8e-c0b59b1f6632.jpeg?h=225&w=225
Tesco Oranges Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/253554014,https://digitalcontent.api.tesco.com/v2/media/ghs/20f4142a-75b2-480a-86e9-8fe3822bb80f/a9861baf-1fe8-4dff-b998-f2eae58fd3d7.jpeg?h=225&w=225
Bagu Naturally Sweet Easy Peelers 600G,€2.29,,€3.82/kg,https://www.tesco.ie/groceries/en-IE/products/308466379,https://digitalcontent.api.tesco.com/v2/media/ghs/67ee1f70-c7ac-49ed-a413-4d07a5ccb00f/6beb3244-3b64-4334-ae42-d3fcd1d560e4_821255405.jpeg?h=225&w=225
Tesco Juicing Orange Net 1.9Kg,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/305118625,https://digitalcontent.api.tesco.com/v2/media/ghs/e79308f9-baaf-4e61-bed3-e42fd3a5f402/7f93e0eb-4a4b-4731-995d-da0d55aa1202.jpeg?h=225&w=225
Bagu Naturally Sweet Juicy Oranges 5 Pack,€2.99,,€0.60/each,https://www.tesco.ie/groceries/en-IE/products/310695359,https://digitalcontent.api.tesco.com/v2/media/ghs/d909b7fe-d882-4e69-a47b-500d731eb3ae/468eb0ed-8967-479c-a50f-9d836318bdbb_1088639457.jpeg?h=225&w=225
Tesco Emperor Orange Tray 4 Pack,€2.19,,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/290526096,https://digitalcontent.api.tesco.com/v2/media/ghs/a165e566-6c67-4306-a864-7c108a40bb17/821b5320-261c-420b-b70b-e3cfc65d0915.jpeg?h=225&w=225
Bagu Fresh And Tangy Grapefruit 3 Pack,€1.99,,€0.66/each,https://www.tesco.ie/groceries/en-IE/products/310673731,https://digitalcontent.api.tesco.com/v2/media/ghs/0a4a91b1-a495-49e7-b008-8cde63e71c51/8eee7e96-370f-45f7-8c4b-8e7042957777.jpeg?h=225&w=225
Tesco Limes Each,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/253560634,https://digitalcontent.api.tesco.com/v2/media/ghs/d0d4e386-0420-4d3f-8ad6-511457f2a69f/9fcd4d42-cb9f-4777-8251-8d541abf1d46.jpeg?h=225&w=225
Bagu Naturally Sweet Juicy Oranges 4 Pack,€2.99,,€0.75/each,https://www.tesco.ie/groceries/en-IE/products/312105503,https://digitalcontent.api.tesco.com/v2/media/ghs/684c2cef-3bbf-4fc2-84e3-123a1bf5dceb/0345b994-d59d-4b0d-a5e6-3dfc87270411.jpeg?h=225&w=225
Lapaz Organic Lemon 500G,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/308455111,https://digitalcontent.api.tesco.com/v2/media/ghs/9e471cbc-fa09-4df2-b894-7d9fca880a46/e0adeda2-27d4-4132-8eb6-1cf909b9a64a.jpeg?h=225&w=225
Bagu Naturally Sweet Leafy Clementines 750G,€2.99,,€3.99/kg,https://www.tesco.ie/groceries/en-IE/products/308461345,https://digitalcontent.api.tesco.com/v2/media/ghs/067105fe-2eaf-4628-9132-09a456423d79/b53bbe52-8157-4866-b438-4456be1ee919_589423470.jpeg?h=225&w=225
Keelings Orange Each,€0.55,,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/312840398,https://digitalcontent.api.tesco.com/v2/media/ghs/8c4a8bd9-f342-441c-8813-454efe97c5c3/6aae2e87-5bfe-4a1b-a5af-dd27b8def221_2010123347.jpeg?h=225&w=225
Bagu Seedless Lemons 3 Pack,€1.45,,€0.48/each,https://www.tesco.ie/groceries/en-IE/products/312846150,https://digitalcontent.api.tesco.com/v2/media/ghs/4507c8e3-b4da-4756-81dd-1dd645f61ac4/f6a710ed-f5e5-4fbb-b9fb-df26eef744d8.jpeg?h=225&w=225
Tesco Oranges 4 Pack,€0.89,59c Clubcard Price,€0.22/each,https://www.tesco.ie/groceries/en-IE/products/309478416,https://digitalcontent.api.tesco.com/v2/media/ghs/43460a0a-07c6-43e4-a4df-157900fd66ce/99e738f2-5e42-4dbd-8793-1bff920a9a2b_2122108936.jpeg?h=225&w=225
Bagu Naturally Sweet Easy Peelers 2.3Kg,€6.50,,€2.83/kg,https://www.tesco.ie/groceries/en-IE/products/305965065,https://digitalcontent.api.tesco.com/v2/media/ghs/28eb3dd8-d049-44b3-9ad6-2dc4d5624a96/3abfbaec-7e7d-4952-b3fa-76c37308197b_977623686.jpeg?h=225&w=225
