Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Cashew Nuts 200G,€2.45,,€12.25/kg,https://www.tesco.ie/groceries/en-IE/products/266376222,https://digitalcontent.api.tesco.com/v2/media/ghs/77dfcca1-2e6b-456a-a95e-202e58b319a2/86d1707e-3f46-4c02-ab4a-bb897467d4ec.jpeg?h=225&w=225
Tesco Chia Seeds 150G,€1.39,,€9.27/kg,https://www.tesco.ie/groceries/en-IE/products/290594510,https://digitalcontent.api.tesco.com/v2/media/ghs/bb861872-3d63-4f5e-b6ae-62292eb718ed/d32d406d-abd2-49d9-8b94-1ba8f5be84f3.jpeg?h=225&w=225
Tesco Walnuts 200G,€2.69,,€13.45/kg,https://www.tesco.ie/groceries/en-IE/products/296546961,https://digitalcontent.api.tesco.com/v2/media/ghs/4a77dbab-ec52-44ed-bea1-d0a50ad5f3d9/7726c1b7-5cf6-43c2-8129-06760a0069b0.jpeg?h=225&w=225
Tesco Almonds 200G,€2.20,,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/266357101,https://digitalcontent.api.tesco.com/v2/media/ghs/ff7c9829-557a-4c70-a229-30278b77cb75/018650a6-a584-4ab3-a52d-d513cb925a20.jpeg?h=225&w=225
Tesco Dried Mango 100G,€1.49,,€14.90/kg,https://www.tesco.ie/groceries/en-IE/products/260733201,https://digitalcontent.api.tesco.com/v2/media/ghs/bd489df4-8369-48db-a9c7-d4a764806c67/931c9733-1ab7-4783-a382-c801dd988da4.jpeg?h=225&w=225
Tesco Mixed Nuts 200G,€2.65,,€13.25/kg,https://www.tesco.ie/groceries/en-IE/products/266375033,https://digitalcontent.api.tesco.com/v2/media/ghs/23ea8351-aafc-4b33-882d-454314802242/7f3badc1-a018-4ed9-9b24-5225361dc41f.jpeg?h=225&w=225
Tesco Wholefoods Pine Nuts 100G,€3.69,,€36.90/kg,https://www.tesco.ie/groceries/en-IE/products/254142569,https://digitalcontent.api.tesco.com/v2/media/ghs/90bc2d78-c337-4d2c-83b4-4fee0082b81e/ffa7818e-6f83-41d7-a3c2-5fd13d4c1f01.jpeg?h=225&w=225
Tesco Cranberries 100G,€1.46,,€14.60/kg,https://www.tesco.ie/groceries/en-IE/products/305585658,https://digitalcontent.api.tesco.com/v2/media/ghs/f722f230-7f6e-4c03-8c67-8c4ee133e7ef/snapshotimagehandler_1031198921.jpeg?h=225&w=225
Tesco Brazil Nuts 200G,€2.52,,€12.60/kg,https://www.tesco.ie/groceries/en-IE/products/302685533,https://digitalcontent.api.tesco.com/v2/media/ghs/b4c05c23-c494-4e9c-9eb3-fc1c62b206f4/14e4f82c-59c7-4de8-8014-76db8bb74040.jpeg?h=225&w=225
Tesco Flax Seeds 150G,€1.39,,€9.27/kg,https://www.tesco.ie/groceries/en-IE/products/290594532,https://digitalcontent.api.tesco.com/v2/media/ghs/ca307c20-079f-44fb-be0e-d59131665b28/9a111f7f-56bb-40be-a845-a59477c7248c_1746842150.jpeg?h=225&w=225
