Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fun-Sized Easy Peeler 500G,€0.99,59c Clubcard Price,€1.98/kg,https://www.tesco.ie/groceries/en-IE/products/288116774,https://digitalcontent.api.tesco.com/v2/media/ghs/9bde00ae-7127-447c-b546-d33547793aaf/snapshotimagehandler_38488965.jpeg?h=225&w=225
Tesco Ripe Bananas 5 Pack,€1.89,€1.50 Clubcard Price,€0.38/each,https://www.tesco.ie/groceries/en-IE/products/266419328,https://digitalcontent.api.tesco.com/v2/media/ghs/54c35d62-4546-4361-9431-50dab88695fd/707aa633-461f-4373-bf7d-5c1295641921.jpeg?h=225&w=225
Tesco Pink Lady Apple Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284182372,https://digitalcontent.api.tesco.com/v2/media/ghs/05e177a0-aed6-40d3-8763-804d8ae24b50/snapshotimagehandler_280265651.jpeg?h=225&w=225
Tesco Lemon And Lime Pack,€1.79,€1.19 Clubcard Price,€0.30/each,https://www.tesco.ie/groceries/en-IE/products/251193357,https://digitalcontent.api.tesco.com/v2/media/ghs/5dd89bda-bb57-4d64-a175-2cf7c18cba32/5deca280-5b87-4d9c-b3e6-e7ded3a8d96e.jpeg?h=225&w=225
Tesco Oranges Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/253554014,https://digitalcontent.api.tesco.com/v2/media/ghs/20f4142a-75b2-480a-86e9-8fe3822bb80f/a9861baf-1fe8-4dff-b998-f2eae58fd3d7.jpeg?h=225&w=225
Tesco Pineapple,€1.19,99c Clubcard Price,€1.19/each,https://www.tesco.ie/groceries/en-IE/products/255230763,https://digitalcontent.api.tesco.com/v2/media/ghs/00217009-25d7-4ef2-b33b-8c3f541e2d83/a0858532-ba2b-4b09-bc3b-c74e4672bc99.jpeg?h=225&w=225
Tesco Conference Pear Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/284183146,https://digitalcontent.api.tesco.com/v2/media/ghs/efa344ba-c790-4904-a7d7-b60f3b68b792/76f2dd85-e74b-4f66-bc1d-6588a7e28822.jpeg?h=225&w=225
Farm Select Puro Gusto Ready To Eat Mango,€1.79,€1.09 Clubcard Price,€1.79/each,https://www.tesco.ie/groceries/en-IE/products/315384103,https://digitalcontent.api.tesco.com/v2/media/ghs/37758079-b5e6-4ced-9d0c-d47daa55c4b2/2ecfc22a-617a-4429-aea5-805c4e2d60f6_104729960.jpeg?h=225&w=225
Tesco Fun-Sized Apples 6 Pack,€0.89,59c Clubcard Price,€0.15/each,https://www.tesco.ie/groceries/en-IE/products/309193401,https://digitalcontent.api.tesco.com/v2/media/ghs/ef517377-e575-4b86-90fb-f5c2c8c3d516/7ecb3f1e-420f-48f8-8bce-1d2330ae110b.jpeg?h=225&w=225
Tesco Large Kiwi Fruit Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/253554285,https://digitalcontent.api.tesco.com/v2/media/ghs/500d40b5-1116-4dd8-b962-94d1902b6816/d9c537cc-96ee-4efb-b65e-80dbc01b85f2_315904427.jpeg?h=225&w=225
Tesco Finest Black Grapes Seedless 400G,€2.99,Any 2 for €5.50 Clubcard Price - Selected Tesco Finest* Grapes Seedless Or Strawberries Or Raspberries,€7.48/kg,https://www.tesco.ie/groceries/en-IE/products/310164562,https://digitalcontent.api.tesco.com/v2/media/ghs/12444ecb-349b-4ca9-a0ac-6ca954e27713/64597a2b-852b-4a0d-838b-a64b17cb74c8_1170081877.jpeg?h=225&w=225
