Title,Price,Promotional Price,Price Per,Product URL,Image URL
Simplyfruit Watermelon Fans 300G,€1.49,,€4.97/kg,https://www.tesco.ie/groceries/en-IE/products/308828172,https://digitalcontent.api.tesco.com/v2/media/ghs/a9930ada-dc0e-41e0-8248-b7f09f8b4505/snapshotimagehandler_681917251.jpeg?h=225&w=225
Simplyfruit Melon Medley 300G,€2.29,,€7.63/kg,https://www.tesco.ie/groceries/en-IE/products/308470991,https://digitalcontent.api.tesco.com/v2/media/ghs/0781a8c6-0f56-47c2-bb56-e5c1a2cff849/6fbf25ca-4a0c-4a91-b988-95fefad5dfa9_1816442314.jpeg?h=225&w=225
Keelings Mixed Berry Twin Pack 200G,€4.00,,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/298383700,https://digitalcontent.api.tesco.com/v2/media/ghs/cfbf580a-4485-457e-9587-58bf60aa875b/5b9ae4e0-78c1-4d50-8efb-863616bdb008_1422219499.jpeg?h=225&w=225
Keelings Mixed Fruit Platter 360G,€5.29,,€14.69/kg,https://www.tesco.ie/groceries/en-IE/products/297187479,https://digitalcontent.api.tesco.com/v2/media/ghs/90f9cecd-d324-41a5-b07c-4623a4d540df/139db788-df06-4467-bc66-d89938895c9a_1693324098.jpeg?h=225&w=225
Simplyfruit Pineapple Chunks 320G,€3.00,,€9.38/kg,https://www.tesco.ie/groceries/en-IE/products/308826024,https://digitalcontent.api.tesco.com/v2/media/ghs/b00af167-3f0d-4248-b438-a36e40ea34ae/91d7d6a1-bd12-41bd-a208-e7a60a07dc9a_600353538.jpeg?h=225&w=225
Simplyfruit Pineapple Fingers 400G,€3.75,,€9.38/kg,https://www.tesco.ie/groceries/en-IE/products/309206676,https://digitalcontent.api.tesco.com/v2/media/ghs/9d2d2633-3555-43dd-97f2-f9341cdb306c/snapshotimagehandler_1970884545.jpeg?h=225&w=225
Simplyfruit Pineapple Chunks 130G,€1.45,,€11.15/kg,https://www.tesco.ie/groceries/en-IE/products/308858078,https://digitalcontent.api.tesco.com/v2/media/ghs/60f91c89-95f8-4274-97ee-160a02932acb/snapshotimagehandler_125978986.jpeg?h=225&w=225
Tesco Apple Snack Pack 80G,€0.75,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€9.38/kg,https://www.tesco.ie/groceries/en-IE/products/286681924,https://digitalcontent.api.tesco.com/v2/media/ghs/971c3f2d-7c61-4625-808e-f2f8c90659e7/dfaa440f-9d75-4e3d-95b6-73fce15fbb57.jpeg?h=225&w=225
Simplyfruit Exotic Fruit Salad 280G,€3.00,,€10.71/kg,https://www.tesco.ie/groceries/en-IE/products/313950560,https://digitalcontent.api.tesco.com/v2/media/ghs/ed7813d6-17cd-4279-8a00-71e2626c5e7f/d0ec0f00-42c2-4887-ab36-b009bb710f5c_1835783670.jpeg?h=225&w=225
Simplyfruit Fruit Medley 300G,€3.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/308866569,https://digitalcontent.api.tesco.com/v2/media/ghs/b9302b96-c6e4-409e-a2a1-aa5aaa19e240/snapshotimagehandler_1097937158.jpeg?h=225&w=225
Tesco Pink Lady Apple & Grape Pot 100G,€1.25,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/301513371,https://digitalcontent.api.tesco.com/v2/media/ghs/e618d239-0d3a-40bd-acd7-a68288556941/c8f385f9-7cd0-4786-8606-c4c0f75c81d2.jpeg?h=225&w=225
Freshcut Fruits Tropical Fruit Salad 270G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/302244848,https://digitalcontent.api.tesco.com/v2/media/ghs/a9f0d200-36c2-43ef-b647-513653e282ca/snapshotimagehandler_443233628.jpeg?h=225&w=225
Simplyfruit Classic Fruit Salad 280G,€3.00,,€10.71/kg,https://www.tesco.ie/groceries/en-IE/products/314695975,https://digitalcontent.api.tesco.com/v2/media/ghs/36d6099e-d935-4a50-9f1a-91b7b55fe333/0dc7f305-a3f2-41cd-86aa-869df6a0449a_2121975929.jpeg?h=225&w=225
Simplyfruit Carrot Pack 80G,€0.89,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€11.12/kg,https://www.tesco.ie/groceries/en-IE/products/315745443,https://digitalcontent.api.tesco.com/v2/media/ghs/ec6a2ac9-be82-467c-88fe-2caa9ed1af28/6bc6ec1f-b829-4626-afc1-1492bec38934_1340203554.jpeg?h=225&w=225
Simplyfruit Mango Chunks 275G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/308081190,https://digitalcontent.api.tesco.com/v2/media/ghs/0afd80de-f4a8-4d46-b915-59e9c0387804/snapshotimagehandler_1851441245.jpeg?h=225&w=225
