Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Honeydew Melon,€2.29,,€2.29/each,https://www.tesco.ie/groceries/en-IE/products/254384645,https://digitalcontent.api.tesco.com/v2/media/ghs/d5a4a5e3-c66d-42c4-852e-5baab58a9a43/77f96e41-f3e1-434b-9b0f-5fb8a9d45f74.jpeg?h=225&w=225
Tesco Pineapple,€1.19,99c Clubcard Price,€1.19/each,https://www.tesco.ie/groceries/en-IE/products/255230763,https://digitalcontent.api.tesco.com/v2/media/ghs/00217009-25d7-4ef2-b33b-8c3f541e2d83/a0858532-ba2b-4b09-bc3b-c74e4672bc99.jpeg?h=225&w=225
Tesco Ripen At Home Kiwi,€1.39,,€0.23/each,https://www.tesco.ie/groceries/en-IE/products/259417448,https://digitalcontent.api.tesco.com/v2/media/ghs/43676c3a-9502-499e-91c0-6990e86d50d3/9964bc63-5dbc-4870-a144-ef9e338bf2b3_445294732.jpeg?h=225&w=225
Farm Select Puro Gusto Ready To Eat Mango,€1.79,€1.09 Clubcard Price,€1.79/each,https://www.tesco.ie/groceries/en-IE/products/315384103,https://digitalcontent.api.tesco.com/v2/media/ghs/37758079-b5e6-4ced-9d0c-d47daa55c4b2/2ecfc22a-617a-4429-aea5-805c4e2d60f6_104729960.jpeg?h=225&w=225
Tesco Large Kiwi Fruit Each,€0.55,Any 5 for €2 Clubcard Price - Selected Tesco Apple Or Pear Or Kiwi Or Easy Peeler,€0.55/each,https://www.tesco.ie/groceries/en-IE/products/253554285,https://digitalcontent.api.tesco.com/v2/media/ghs/500d40b5-1116-4dd8-b962-94d1902b6816/d9c537cc-96ee-4efb-b65e-80dbc01b85f2_315904427.jpeg?h=225&w=225
Tesco Watermelon,€4.25,,€4.25/each,https://www.tesco.ie/groceries/en-IE/products/254638605,https://digitalcontent.api.tesco.com/v2/media/ghs/11492337-0b8e-437b-b77d-d909b47d01fd/e15c1f69-67a2-455d-8139-c8036e2f48bd.jpeg?h=225&w=225
Tesco Perfectly Ripe Kiwi,€2.19,,€2.19/each,https://www.tesco.ie/groceries/en-IE/products/252496118,https://digitalcontent.api.tesco.com/v2/media/ghs/e9447a52-d552-4fce-af79-4a825f84b1fe/7a7979ca-20dc-4d2d-839c-5a150c86c878.jpeg?h=225&w=225
Tesco Galia Melon Each,€2.29,,€2.29/each,https://www.tesco.ie/groceries/en-IE/products/254385356,https://digitalcontent.api.tesco.com/v2/media/ghs/75fca8b1-cd52-410a-8568-dfbc987a717b/a9064ce6-ae01-4f51-9826-835a8ac955aa.jpeg?h=225&w=225
Tesco Perfectly Ripe Mango,€0.99,,€0.99/each,https://www.tesco.ie/groceries/en-IE/products/255805844,https://digitalcontent.api.tesco.com/v2/media/ghs/811d18b0-03c5-4aae-8db7-1acd06f37895/382d75d5-4e16-4673-ada7-0cd2dedbd558.jpeg?h=225&w=225
Zespri Sungold Kiwi 3 Pack,€2.19,,€0.73/each,https://www.tesco.ie/groceries/en-IE/products/310685008,https://digitalcontent.api.tesco.com/v2/media/ghs/2f5f6060-45a6-4058-ac72-86ff7cf0dd6a/1bf361ab-9fde-418d-a299-bc0dd7173a9e_1105722587.jpeg?h=225&w=225
