Title,Price,Promotional Price,Price Per,Product URL,Image URL
Mash Direct Mashed Potato 400G,€2.40,Any 3 for €6 Clubcard Price - Selected Mash Direct Ready Meals 280g-400g,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/260715563,https://digitalcontent.api.tesco.com/v2/media/ghs/2d725c02-4541-47bf-b675-67a28c262397/46d295fd-d40b-46cf-8375-6dc4341c2910.jpeg?h=225&w=225
Mash Direct Carrot & Parsnip Mash 400G,€2.40,Any 3 for €6 Clubcard Price - Selected Mash Direct Ready Meals 280g-400g,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/260178456,https://digitalcontent.api.tesco.com/v2/media/ghs/535fc84a-26c5-4e88-8319-6471e78b2e91/ce6e491b-f0ef-42ef-aedf-7b21316b90a1.jpeg?h=225&w=225
Fit Foods Wholemeal Pasta Minced Beef And Vegetable Sauce 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313605117,https://digitalcontent.api.tesco.com/v2/media/ghs/b2cdcc09-d9c4-4398-bc6d-9b8cfd2b08c4/3423080b-5aa3-4f9e-9179-c99244ce1e7f_1357257636.jpeg?h=225&w=225
Meals Made Easy Chicken And Broccoli Potato Bake 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/312587467,https://digitalcontent.api.tesco.com/v2/media/ghs/015bcfb0-2b5b-49e2-8d0b-0e3f1152ef18/f8ba4c11-9596-4698-a24b-7e83d8d42f0d_691955318.jpeg?h=225&w=225
Carroll Cuisine Fresh Lasagne 350G,€3.99,€3.00 Clubcard Price,€11.40/kg,https://www.tesco.ie/groceries/en-IE/products/261507439,https://digitalcontent.api.tesco.com/v2/media/ghs/55881194-4b57-446c-a58e-b9b1454d9280/snapshotimagehandler_1488948870.jpeg?h=225&w=225
Fit Foods Chicken Chicken Korma With Brown Rice 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313737531,https://digitalcontent.api.tesco.com/v2/media/ghs/8906bc9f-eb3f-4fd1-9f64-0c1d494a16e8/9344d2c7-87c3-4f81-b840-5e4bf9393e78_664705914.jpeg?h=225&w=225
Carroll Cuisine Fresh Lasagne 1Kg,€7.69,,€7.69/kg,https://www.tesco.ie/groceries/en-IE/products/261858386,https://digitalcontent.api.tesco.com/v2/media/ghs/9ebaca7b-5f99-456d-992c-373ea21dcae4/snapshotimagehandler_1799225962.jpeg?h=225&w=225
Mash Direct Mashed Turnip 400G,€2.40,Any 3 for €6 Clubcard Price - Selected Mash Direct Ready Meals 280g-400g,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/260178443,https://digitalcontent.api.tesco.com/v2/media/ghs/ef227d00-3b41-4143-a6aa-9d5a7a0e2cdf/ed331a06-6b68-4061-9535-b8cf0c60bb1a.jpeg?h=225&w=225
Fit Foods Chicken And Chorizo With Baby Potatoes 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313502982,https://digitalcontent.api.tesco.com/v2/media/ghs/75b2d2b7-01ef-480c-8394-7f71fcc1afa9/dc0e7409-c60f-484a-956f-7211fea35ee8_949767010.jpeg?h=225&w=225
Mash Direct Potato Croquette 300G,€2.70,,€9.00/kg,https://www.tesco.ie/groceries/en-IE/products/279322554,https://digitalcontent.api.tesco.com/v2/media/ghs/45ed1bc2-d247-46f9-8345-8e15ec7db2eb/b6ce10b6-6b77-4074-85ec-89098acb7153.jpeg?h=225&w=225
