Title,Price,Promotional Price,Price Per,Product URL,Image URL
Hearty Food Co. Garlic Baguette 170G,€0.34,,€2.00/kg,https://www.tesco.ie/groceries/en-IE/products/300917822,https://digitalcontent.api.tesco.com/v2/media/ghs/05d3808e-b9f3-4374-ad8a-48a33a7e0542/07ce576a-b80a-4d6e-aadc-63dcb381805d.jpeg?h=225&w=225
Tesco 2 Garlic Baguettes 410g,€1.50,,€3.66/kg,https://www.tesco.ie/groceries/en-IE/products/307362677,https://digitalcontent.api.tesco.com/v2/media/ghs/aafc72fb-ecf3-46da-b0b3-78c56581a513/82eaf410-7d16-4618-ae35-e01cf410c6ed.jpeg?h=225&w=225
Tesco Garlic Flatbread 255G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€7.84/kg,https://www.tesco.ie/groceries/en-IE/products/288610223,https://digitalcontent.api.tesco.com/v2/media/ghs/b3fee48f-23e2-4f1d-bdc9-b24e30f017b0/1a52c55b-919d-4fdf-b144-a372c08798ee.jpeg?h=225&w=225
"Tesco Garlic Ciabatta Slice 8 Pack, 360 G",€2.50,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€6.94/kg,https://www.tesco.ie/groceries/en-IE/products/267114791,https://digitalcontent.api.tesco.com/v2/media/ghs/8ba960c3-35cd-47cb-8245-13d0c7054b3b/38e6483c-9f03-495a-8736-7dcc5948257e.jpeg?h=225&w=225
Carroll's Garlic Butter Baguette 175G,€2.59,€2.00 Clubcard Price,€14.80/kg,https://www.tesco.ie/groceries/en-IE/products/306500194,https://digitalcontent.api.tesco.com/v2/media/ghs/f9d07b44-4cbe-4335-bd4c-4470149dd333/62dfc169-81b8-459c-9e3a-8074e170d4c8.jpeg?h=225&w=225
Tesco Finest Garlic & Parsley Ciabatta 255G,€3.00,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€11.76/kg,https://www.tesco.ie/groceries/en-IE/products/296481201,https://digitalcontent.api.tesco.com/v2/media/ghs/fa381b0b-89d9-47a5-a8fa-4538c7ff0771/c53cf8e9-562e-4878-9e2d-ac51172f79ff.jpeg?h=225&w=225
Tesco Garlic Baguette 205G,€0.85,,€4.15/kg,https://www.tesco.ie/groceries/en-IE/products/307339562,https://digitalcontent.api.tesco.com/v2/media/ghs/267264c2-3d41-4f9e-93b0-3fbb30df7d9f/7716ca48-ba79-4564-975b-dbd4491f49ed.jpeg?h=225&w=225
Carrolls Twin Pack Garlic Baguette 2 X 175G,€4.00,,€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/306665194,https://digitalcontent.api.tesco.com/v2/media/ghs/ddc524c0-6534-4469-9cfb-26ec8d4b65b7/1f14ac59-7447-43bc-bf2f-f1f6a1a45ab9.jpeg?h=225&w=225
Pizza Express Dough Balls 200G,€3.95,Any 2 for €6 Clubcard Price - Selected Pizza Express Pizza Or Dough Balls 200g-292g,€19.75/kg,https://www.tesco.ie/groceries/en-IE/products/257466628,https://digitalcontent.api.tesco.com/v2/media/ghs/afab3f9c-b969-4c69-97c7-93964ccd2a07/b1ffc1fa-e62b-4518-bdcd-37ab1288751d.jpeg?h=225&w=225
Tesco Cheese & Garlic Flatbread 230G,€2.50,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€10.87/kg,https://www.tesco.ie/groceries/en-IE/products/286265277,https://digitalcontent.api.tesco.com/v2/media/ghs/35ffa092-2f6e-4167-8728-daedf8389a0a/8f4d91ff-8277-481c-9802-e9968742880a.jpeg?h=225&w=225
